token_symbol,final_outcome,spot_pair,spot_missing,futures_pair,futures_missing,exact_futures_contract,futures_class,fallback_required,fallback_provider,fallback_market
GMT,spot_pair_removed_only,GMTUSDT,no,GMTUSDT,no,,,no,,
GNS,spot_pair_removed_only,GNSUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
GPS,tag_removed,GPSUSDT,no,GPSUSDT,no,,,no,,
GRT,spot_pair_removed_only,GRTUSDT,no,GRTUSDT,no,,,no,,
GTC,still_tagged,GTCUSDT,no,GTCUSDT,no,,,no,,
GUN,spot_pair_removed_only,GUNUSDT,no,GUNUSDT,no,,,no,,
HAEDAL,spot_pair_removed_only,HAEDALUSDT,no,HAEDALUSDT,no,,,no,,
HARD,delisted_after_tag,HARDUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
HBAR,spot_pair_removed_only,HBARUSDT,no,HBARUSDT,no,,,no,,
HEI,still_tagged,HEIUSDT,no,HEIUSDT,no,,,no,,
HEMI,spot_pair_removed_only,HEMIUSDT,no,HEMIUSDT,no,,,no,,
HFT,still_tagged,HFTUSDT,no,HFTUSDT,no,,,no,,
HIFI,delisted_after_tag,HIFIUSDT,no,HIFIUSDT,no,HIFIUSDT,risk_relevant_or_contract_specific_review,yes,ccxt_mexc,HIFI/USDT
HIGH,still_tagged,HIGHUSDT,no,HIGHUSDT,no,,,no,,
HIPPO,futures_only_delisting,,yes,HIPPOUSDT,no,,,no,,
HIVE,spot_pair_removed_only,HIVEUSDT,no,HIVEUSDT,no,,,no,,
HMSTR,spot_pair_removed_only,HMSTRUSDT,no,HMSTRUSDT,no,,,no,,
HOLO,spot_pair_removed_only,HOLOUSDT,no,HOLOUSDT,no,,,no,,
HOME,spot_pair_removed_only,HOMEUSDT,no,HOMEUSDT,no,,,no,,
HOOK,delisted_after_tag,HOOKUSDT,no,HOOKUSDT,no,,,yes,ccxt_gateio,HOOK/USDT
HOT,spot_pair_removed_only,HOTUSDT,no,HOTUSDT,no,,,no,,
HUMA,spot_pair_removed_only,HUMAUSDT,no,HUMAUSDT,no,,,no,,
HYPER,spot_pair_removed_only,HYPERUSDT,no,HYPERUSDT,no,,,no,,
ICP,spot_pair_removed_only,ICPUSDT,no,ICPUSDT,no,,,no,,
ICX,spot_pair_removed_only,ICXUSDT,no,ICXUSDT,no,,,no,,
