token_symbol,fallback_provider_unavailable,true_data_gap,expected_post_delisting_missing,low_liquidity_fallback,suspicious_fallback_spike,fallback_exchange,fallback_pair,fallback_rows_count,fallback_quote_volume,reason,notes
POLYX,no,no,no,no,no,,,0,nan,,
POND,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
PONKE,no,no,no,no,no,,,0,nan,,
PORT3,no,no,no,no,no,,,0,nan,,
PORTAL,no,no,no,no,no,,,0,nan,,
PORTO,no,no,no,no,no,,,0,nan,,
POWR,no,no,no,no,no,,,0,nan,,
PROM,no,no,no,no,no,,,0,nan,,
PROS,yes,yes,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
PROVE,no,no,no,no,no,,,0,nan,,
PSG,no,no,no,no,no,,,0,nan,,
PUFFER,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
PUMP,no,yes,no,no,no,,,0,nan,true_data_gap,
PUNDIX,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
PYR,no,no,no,no,no,,,0,nan,,
PYTH,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
QI,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
QKC,no,no,no,no,no,,,0,nan,,
QNT,no,no,no,no,no,,,0,nan,,
QTUM,no,no,no,no,no,,,0,nan,,
QUICK,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
RAD,no,no,no,no,no,,,0,nan,,
RARE,no,no,no,no,no,,,0,nan,,
RAY,no,no,no,no,no,,,0,nan,,
RDNT,yes,yes,yes,no,no,ccxt_gateio,RDNT/USDT,811,192035421.855215,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
