token_symbol,fallback_provider_unavailable,true_data_gap,expected_post_delisting_missing,low_liquidity_fallback,suspicious_fallback_spike,fallback_exchange,fallback_pair,fallback_rows_count,fallback_quote_volume,reason,notes
SAPIEN,no,no,no,no,no,,,0,nan,,
SC,no,no,no,no,no,,,0,nan,,
SCR,no,yes,no,no,no,,,0,nan,true_data_gap,
SCRT,no,no,no,no,no,,,0,nan,,
SENT,no,yes,no,no,no,,,0,nan,true_data_gap,
SFP,no,no,no,no,no,,,0,nan,,
SHELL,no,no,no,no,no,,,0,nan,,
SHIB,no,no,no,no,no,,,0,nan,,
SIGN,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
SKATE,no,no,no,no,no,,,0,nan,,
SKL,no,no,no,no,no,,,0,nan,,
SLERF,no,no,no,no,no,,,0,nan,,
SLF,no,no,no,no,no,ccxt_mexc,SLF/USDT,188,96938268.92561218,,
SLP,no,yes,no,no,no,,,0,nan,true_data_gap,
SNM,no,no,no,no,no,,,0,nan,unresolved_pair_or_symbol,
SNT,no,no,no,no,no,ccxt_gateio,SNT/USDT,467,236428070.36303005,,
SNX,no,no,no,no,no,,,0,nan,,
SOL,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
SOLV,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
SOMI,no,no,no,no,no,,,0,nan,,
SOPH,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
SPK,no,no,no,no,no,,,0,nan,,
SRM,yes,yes,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
SSV,no,no,no,no,no,,,0,nan,,
STEEM,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
