token_symbol,fallback_provider_unavailable,true_data_gap,expected_post_delisting_missing,low_liquidity_fallback,suspicious_fallback_spike,fallback_exchange,fallback_pair,fallback_rows_count,fallback_quote_volume,reason,notes
MANTA,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
MASK,no,no,no,no,no,,,0,nan,,
MATIC,no,yes,no,no,no,,,0,nan,true_data_gap,
MAV,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
MAVIA,no,yes,no,no,no,,,0,nan,true_data_gap,
MBL,no,no,no,no,no,,,0,nan,,
MBOX,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
MDT,yes,no,yes,no,no,ccxt_gateio,MDT/USDT,783,90999561.53012864,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable,
MDX,no,no,no,no,no,ccxt_gateio,MDX/USDT,316,12162783.84340479,,
ME,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
MEGA,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
MEME,no,no,no,no,no,,,0,nan,,
MET,no,yes,no,no,no,,,0,nan,true_data_gap,
METIS,no,yes,no,no,no,,,0,nan,true_data_gap,
MILK,no,no,no,no,no,,,0,nan,,
MINA,no,no,no,no,no,,,0,nan,,
MIRA,no,no,no,no,no,,,0,nan,,
MITO,no,no,no,no,no,,,0,nan,,
MKR,no,no,no,no,no,,,0,nan,,
MLN,yes,yes,yes,no,no,ccxt_gateio,MLN/USDT,729,128863845.63639434,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
MMT,no,no,no,no,no,,,0,nan,,
MOB,no,no,no,no,no,ccxt_gateio,MOB/USDT,206,67621730.27055034,,
MORPHO,no,no,no,no,no,,,0,nan,,
MOVE,no,no,no,no,no,,,0,nan,,
MOVR,no,no,no,no,no,,,0,nan,,
