token_symbol,final_outcome,spot_pair,spot_missing,futures_pair,futures_missing,exact_futures_contract,futures_class,fallback_required,fallback_provider,fallback_market
MANTA,spot_pair_removed_only,MANTAUSDT,no,MANTAUSDT,no,,,no,,
MASK,spot_pair_removed_only,MASKUSDT,no,MASKUSDT,no,,,no,,
MATIC,futures_only_delisting,MATICUSDT,no,,yes,MATICBUSD,normal_contract_sunset_or_migration_review,no,,
MAV,spot_pair_removed_only,MAVUSDT,no,MAVUSDT,no,,,no,,
MAVIA,futures_only_delisting,,yes,MAVIAUSDT,no,MAVIAUSDT,risk_relevant_or_contract_specific_review,no,,
MBL,tag_removed,MBLUSDT,no,,yes,MBLUSDT,risk_relevant_or_contract_specific_review,no,,
MBOX,still_tagged,MBOXUSDT,no,MBOXUSDT,no,,,no,,
MDT,delisted_after_tag,MDTUSDT,no,MDTUSDT,no,MDTUSDT,risk_relevant_or_contract_specific_review,yes,ccxt_gateio,MDT/USDT
MDX,delisted_after_tag,MDXUSDT,no,,yes,,no_usdm_pair_in_exchange_info,yes,ccxt_gateio,MDX/USDT
ME,seed_tag_only,MEUSDT,no,MEUSDT,no,,,no,,
MEGA,seed_tag_only,MEGAUSDT,no,MEGAUSDT,no,,,no,,
MEME,spot_pair_removed_only,MEMEUSDT,no,MEMEUSDT,no,,,no,,
MET,seed_tag_only,METUSDT,no,METUSDT,no,,,no,,
METIS,seed_tag_only,METISUSDT,no,METISUSDT,no,,,no,,
MILK,futures_only_delisting,,yes,MILKUSDT,no,,,no,,
MINA,spot_pair_removed_only,MINAUSDT,no,MINAUSDT,no,,,no,,
MIRA,spot_pair_removed_only,MIRAUSDT,no,MIRAUSDT,no,,,no,,
MITO,spot_pair_removed_only,MITOUSDT,no,MITOUSDT,no,,,no,,
MKR,spot_pair_removed_only,MKRUSDT,no,MKRUSDT,no,,,no,,
MLN,delisted_after_tag,MLNUSDT,no,MLNUSDT,no,,,yes,ccxt_gateio,MLN/USDT
MMT,spot_pair_removed_only,MMTUSDT,no,MMTUSDT,no,,,no,,
MOB,delisted_after_tag,MOBUSDT,no,,yes,,no_usdm_pair_in_exchange_info,yes,ccxt_gateio,MOB/USDT
MORPHO,spot_pair_removed_only,MORPHOUSDT,no,MORPHOUSDT,no,,,no,,
MOVE,still_tagged,MOVEUSDT,no,MOVEUSDT,no,,,no,,
MOVR,spot_pair_removed_only,MOVRUSDT,no,MOVRUSDT,no,,,no,,
