token_symbol,anchor_event_id,anchor_event_type,baseline_price,recovery_90_touch,recovery_100_touch,recovery_90_sustained,recovery_100_sustained,never_recovered,missing_price_flag,fallback_used
CETUS,ca664f770d0880d3,SEED_TAG_ADDED,0.2992,yes,yes,yes,yes,no,no,no
CFG,9749ab8c384c6077,SEED_TAG_ADDED,0.186,yes,yes,yes,yes,no,no,no
CGPT,218ec5eef470ca4a,SEED_TAG_ADDED,0.3764,yes,yes,yes,no,no,no,no
CHESS,1fe11492402051b0,MONITORING_TAG_ADDED,0.030770441523461152,yes,yes,yes,yes,no,no,no
CHIP,b8a0bae933655bfc,SEED_TAG_ADDED,0.06132,yes,yes,yes,yes,no,no,no
CLV,b4b89fcf3e2d9d8d,MONITORING_TAG_ADDED,0.039288019007521824,yes,yes,yes,yes,no,no,no
COMBO,ddd8722fcd3a9596,MONITORING_TAG_ADDED,0.2343911806525123,no,no,no,no,yes,no,no
COMMON,7ab11993de9dbe26,FUTURES_CONTRACT_DELISTING_ANNOUNCED,0.002116458396794115,no,no,no,no,yes,no,no
COOKIE,a5602175aafd748b,MONITORING_TAG_ADDED,0.017426032293208785,no,no,no,no,yes,no,no
COS,a69cfb015113f6cc,MONITORING_TAG_ADDED,0.0011137532504623352,yes,yes,yes,yes,no,no,no
COW,d5011dfc2567d20c,SEED_TAG_ADDED,0.522,yes,yes,yes,yes,no,no,no
CREAM,c7f6923d690b160e,SPOT_TOKEN_DELISTING_ANNOUNCED,2.4979818518231633,yes,no,no,no,no,no,no
CTK,f07760477732c88d,FUTURES_CONTRACT_DELISTING_ANNOUNCED,nan,unknown,unknown,unknown,unknown,unknown,yes,no
CTXC,73bd41c12e1c9037,MONITORING_TAG_ADDED,0.20145648039128583,yes,yes,yes,yes,no,no,yes
