token_symbol,fallback_provider_unavailable,true_data_gap,expected_post_delisting_missing,low_liquidity_fallback,suspicious_fallback_spike,fallback_exchange,fallback_pair,fallback_rows_count,fallback_quote_volume,reason,notes
CATI,no,no,no,no,no,,,0,nan,,
CELO,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
CELR,no,no,no,no,no,,,0,nan,,
CETUS,no,yes,no,no,no,,,0,nan,true_data_gap,
CFG,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
CFX,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
CGPT,no,yes,no,no,no,,,0,nan,true_data_gap,
CHESS,yes,yes,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
CHIP,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
CHR,no,no,no,no,no,,,0,nan,,
CHZ,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
CITY,no,no,no,no,no,,,0,nan,,
CLV,yes,no,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable,
COMBO,yes,yes,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
COMMON,no,no,no,no,no,,,0,nan,,
COMP,no,no,no,no,no,,,0,nan,,
COOKIE,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
COS,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
COTI,no,no,no,no,no,,,0,nan,,
COW,no,yes,no,no,no,,,0,nan,true_data_gap,
CREAM,yes,yes,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
CRV,no,no,no,no,no,,,0,nan,,
CTK,no,yes,no,no,no,,,0,nan,true_data_gap,
CTSI,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
CTXC,yes,yes,yes,no,no,ccxt_mexc,CTXC/USDT,500,49119588.091276504,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
