token_symbol,final_outcome,spot_pair,spot_missing,futures_pair,futures_missing,exact_futures_contract,futures_class,fallback_required,fallback_provider,fallback_market
CATI,spot_pair_removed_only,CATIUSDT,no,CATIUSDT,no,,,no,,
CELO,spot_pair_removed_only,CELOUSDT,no,CELOUSDT,no,,,no,,
CELR,spot_pair_removed_only,CELRUSDT,no,CELRUSDT,no,,,no,,
CETUS,seed_tag_only,CETUSUSDT,no,CETUSUSDT,no,,,no,,
CFG,seed_tag_only,CFGUSDT,no,CFGUSDT,no,,,no,,
CFX,spot_pair_removed_only,CFXUSDT,no,CFXUSDT,no,,,no,,
CGPT,seed_tag_only,CGPTUSDT,no,CGPTUSDT,no,,,no,,
CHESS,delisted_after_tag,CHESSUSDT,no,CHESSUSDT,no,,,no,,
CHIP,seed_tag_only,CHIPUSDT,no,CHIPUSDT,no,,,no,,
CHR,spot_pair_removed_only,CHRUSDT,no,CHRUSDT,no,,,no,,
CHZ,spot_pair_removed_only,CHZUSDT,no,CHZUSDT,no,,,no,,
CITY,spot_pair_removed_only,CITYUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
CLV,delisted_after_tag,CLVUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
COMBO,delisted_after_tag,COMBOUSDT,no,COMBOUSDT,no,,,no,,
COMMON,futures_only_delisting,,yes,COMMONUSDT,no,,,no,,
COMP,spot_pair_removed_only,COMPUSDT,no,COMPUSDT,no,,,no,,
COOKIE,still_tagged,COOKIEUSDT,no,COOKIEUSDT,no,,,no,,
COS,still_tagged,COSUSDT,no,COSUSDT,no,,,no,,
COTI,spot_pair_removed_only,COTIUSDT,no,COTIUSDT,no,,,no,,
COW,seed_tag_only,COWUSDT,no,COWUSDT,no,,,no,,
CREAM,delisted_without_known_tag,CREAMUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
CRV,spot_pair_removed_only,CRVUSDT,no,CRVUSDT,no,,,no,,
CTK,futures_only_delisting,CTKUSDT,no,CTKUSDT,no,CTKUSDT,risk_relevant_or_contract_specific_review,no,,
CTSI,spot_pair_removed_only,CTSIUSDT,no,CTSIUSDT,no,,,no,,
CTXC,delisted_after_tag,CTXCUSDT,no,,yes,,no_usdm_pair_in_exchange_info,yes,ccxt_mexc,CTXC/USDT
