token_symbol,final_outcome,spot_pair,spot_missing,futures_pair,futures_missing,exact_futures_contract,futures_class,fallback_required,fallback_provider,fallback_market
ID,spot_pair_removed_only,IDUSDT,no,IDUSDT,no,,,no,,
IDEX,delisted_after_tag,IDEXUSDT,no,IDEXUSDT,no,IDEXUSDT,risk_relevant_or_contract_specific_review,yes,ccxt_gateio,IDEX/USDT
IDRT,delisted_without_known_tag,,yes,,yes,,no_usdm_pair_in_exchange_info,yes,,
ILV,spot_pair_removed_only,ILVUSDT,no,ILVUSDT,no,,,no,,
IMX,spot_pair_removed_only,IMXUSDT,no,IMXUSDT,no,,,no,,
INIT,spot_pair_removed_only,INITUSDT,no,INITUSDT,no,,,no,,
INJ,spot_pair_removed_only,INJUSDT,no,INJUSDT,no,,,no,,
IO,spot_pair_removed_only,IOUSDT,no,IOUSDT,no,,,no,,
IOST,spot_pair_removed_only,IOSTUSDT,no,IOSTUSDT,no,,,no,,
IOTA,spot_pair_removed_only,IOTAUSDT,no,IOTAUSDT,no,,,no,,
IOTX,spot_pair_removed_only,IOTXUSDT,no,IOTXUSDT,no,,,no,,
IR,futures_only_delisting,,yes,IRUSDT,no,,,no,,
IRIS,delisted_after_tag,IRISUSDT,no,,yes,,no_usdm_pair_in_exchange_info,yes,ccxt_gateio,IRIS/USDT
JASMY,spot_pair_removed_only,JASMYUSDT,no,JASMYUSDT,no,,,no,,
JOE,spot_pair_removed_only,JOEUSDT,no,JOEUSDT,no,,,no,,
JTO,seed_tag_only,JTOUSDT,no,JTOUSDT,no,,,no,,
JUP,seed_tag_only,JUPUSDT,no,JUPUSDT,no,,,no,,
JUV,spot_pair_removed_only,JUVUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
KAITO,spot_pair_removed_only,KAITOUSDT,no,KAITOUSDT,no,,,no,,
KAT,seed_tag_only,KATUSDT,no,KATUSDT,no,,,no,,
KAVA,spot_pair_removed_only,KAVAUSDT,no,KAVAUSDT,no,,,no,,
KDA,delisted_without_known_tag,KDAUSDT,no,KDAUSDT,no,,,yes,ccxt_gateio,KDA/USDT
KERNEL,spot_pair_removed_only,KERNELUSDT,no,KERNELUSDT,no,,,no,,
KEY,delisted_after_tag,KEYUSDT,no,KEYUSDT,no,,,no,,
KITE,spot_pair_removed_only,KITEUSDT,no,KITEUSDT,no,,,no,,
