token_symbol,final_outcome,spot_pair,spot_missing,futures_pair,futures_missing,exact_futures_contract,futures_class,fallback_required,fallback_provider,fallback_market
KMD,delisted_after_tag,KMDUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
KMNO,seed_tag_only,KMNOUSDT,no,KMNOUSDT,no,,,no,,
KNC,spot_pair_removed_only,KNCUSDT,no,KNCUSDT,no,,,no,,
KP3R,delisted_after_tag,KP3RUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
KSM,spot_pair_removed_only,KSMUSDT,no,KSMUSDT,no,,,no,,
LA,spot_pair_removed_only,LAUSDT,no,LAUSDT,no,,,no,,
LAYER,spot_pair_removed_only,LAYERUSDT,no,LAYERUSDT,no,,,no,,
LAZIO,spot_pair_removed_only,LAZIOUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
LDO,spot_pair_removed_only,LDOUSDT,no,LDOUSDT,no,,,no,,
LEVER,delisted_after_tag,LEVERUSDT,no,LEVERUSDT,no,LEVERUSDT,risk_relevant_or_contract_specific_review,no,,
LINA,delisted_without_known_tag,LINAUSDT,no,LINAUSDT,no,,,no,,
LINEA,spot_pair_removed_only,LINEAUSDT,no,LINEAUSDT,no,,,no,,
LINK,spot_pair_removed_only,LINKUSDT,no,LINKUSDT,no,,,no,,
LISTA,spot_pair_removed_only,LISTAUSDT,no,LISTAUSDT,no,,,no,,
LIT,spot_pair_removed_only,LITUSDT,no,LITUSDT,no,,,no,,
LOKA,spot_pair_removed_only,LOKAUSDT,no,LOKAUSDT,no,,,no,,
LOOM,delisted_without_known_tag,LOOMUSDT,no,LOOMUSDT,no,LOOMUSDT,risk_relevant_or_contract_specific_review,no,,
LPT,spot_pair_removed_only,LPTUSDT,no,LPTUSDT,no,,,no,,
LQTY,spot_pair_removed_only,LQTYUSDT,no,LQTYUSDT,no,,,no,,
LRC,delisted_after_tag,LRCUSDT,no,LRCUSDT,no,,,yes,ccxt_mexc,LRC/USDT
LSK,spot_pair_removed_only,LSKUSDT,no,LSKUSDT,no,,,no,,
LTC,futures_only_delisting,LTCUSDT,no,LTCUSDT,no,LTCBUSD,normal_contract_sunset_or_migration_review,no,,
LTO,delisted_after_tag,LTOUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
MAGIC,spot_pair_removed_only,MAGICUSDT,no,MAGICUSDT,no,,,no,,
MANA,spot_pair_removed_only,MANAUSDT,no,MANAUSDT,no,,,no,,
