token_symbol,fallback_provider_unavailable,true_data_gap,expected_post_delisting_missing,low_liquidity_fallback,suspicious_fallback_spike,fallback_exchange,fallback_pair,fallback_rows_count,fallback_quote_volume,reason,notes
KMD,yes,yes,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
KMNO,no,yes,no,no,no,,,0,nan,true_data_gap,
KNC,no,no,no,no,no,,,0,nan,,
KP3R,yes,no,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable,
KSM,no,no,no,no,no,,,0,nan,,
LA,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
LAYER,no,no,no,no,no,,,0,nan,,
LAZIO,no,no,no,no,no,,,0,nan,,
LDO,no,no,no,no,no,,,0,nan,,
LEVER,yes,yes,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
LINA,yes,yes,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
LINEA,no,no,no,no,no,,,0,nan,,
LINK,no,no,no,no,no,,,0,nan,,
LISTA,no,no,no,no,no,,,0,nan,,
LIT,no,no,no,no,no,,,0,nan,,
LOKA,no,no,no,no,no,,,0,nan,,
LOOM,yes,yes,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
LPT,no,no,no,no,no,,,0,nan,,
LQTY,no,no,no,no,no,,,0,nan,,
LRC,yes,yes,yes,no,no,ccxt_mexc,LRC/USDT,159,34588789.716461,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
LSK,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
LTC,no,yes,no,no,no,,,0,nan,true_data_gap,
LTO,yes,no,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable,
MAGIC,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
MANA,no,no,no,no,no,,,0,nan,,
