token_symbol,fallback_provider_unavailable,true_data_gap,expected_post_delisting_missing,low_liquidity_fallback,suspicious_fallback_spike,fallback_exchange,fallback_pair,fallback_rows_count,fallback_quote_volume,reason,notes
WTC,yes,yes,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
XAI,no,no,no,no,no,,,0,nan,,
XCN,no,no,no,no,no,,,0,nan,,
XEC,no,no,no,no,no,,,0,nan,,
XEM,no,no,no,no,no,ccxt_gateio,XEM/USDT,552,85245206.72142239,,
XLM,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
XMR,no,no,no,no,no,ccxt_kucoin,XMR/USDT,227,1558943439.0197845,,
XNO,no,no,no,no,no,,,0,nan,,
XPL,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
XRP,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
XTZ,no,no,no,no,no,,,0,nan,,
XVG,no,no,no,no,no,,,0,nan,,
XVS,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
YALA,no,no,no,no,no,,,0,nan,,
YB,no,no,no,no,no,,,0,nan,,
YFI,no,no,no,no,no,,,0,nan,,
YFII,no,no,no,no,no,ccxt_gateio,YFII/USDT,130,17337819.808891542,,
YGG,no,no,no,no,no,,,0,nan,,
ZAMA,no,yes,no,no,no,,,0,nan,true_data_gap,
ZBT,no,no,no,no,no,,,0,nan,,
ZEC,no,no,no,no,no,,,0,nan,,
ZEN,no,no,no,no,no,,,0,nan,,
ZIL,no,no,no,no,no,,,0,nan,,
ZKC,no,no,no,no,no,,,0,nan,,
ZKJ,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
