token_symbol,fallback_provider_unavailable,true_data_gap,expected_post_delisting_missing,low_liquidity_fallback,suspicious_fallback_spike,fallback_exchange,fallback_pair,fallback_rows_count,fallback_quote_volume,reason,notes
OMG,no,no,no,no,no,ccxt_mexc,OMG/USDT,316,52818837.065877795,,
OMNI,no,no,no,no,no,,,0,nan,,
ONE,no,no,no,no,no,,,0,nan,,
ONT,no,no,no,no,no,,,0,nan,,
OOKI,yes,no,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable,
OP,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
OPG,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
ORBS,no,no,no,no,no,,,0,nan,,
ORCA,no,yes,no,no,no,,,0,nan,true_data_gap,
ORDI,no,yes,no,no,no,,,0,nan,true_data_gap,
OSMO,no,no,no,no,no,,,0,nan,,
OXT,yes,yes,yes,no,no,ccxt_mexc,OXT/USDT,162,18890276.20478387,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
PAXG,no,no,no,no,no,,,0,nan,,
PDA,yes,yes,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
PEOPLE,no,no,no,no,no,,,0,nan,,
PERL,yes,no,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable,
PERP,no,no,no,no,no,ccxt_gateio,PERP/USDT,899,171830477.94978744,,
PHA,no,no,no,no,no,,,0,nan,,
PHB,yes,yes,yes,no,no,ccxt_gateio,PHB/USDT,972,231347237.38343957,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
PIVX,no,no,no,no,no,,,0,nan,,
PIXEL,no,no,no,no,no,,,0,nan,,
PLUME,no,no,no,no,no,,,0,nan,,
PNT,yes,no,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable,
PNUT,no,yes,no,no,no,,,0,nan,true_data_gap,
POLS,no,no,no,no,no,ccxt_kucoin,POLS/USDT,304,55182316.00278045,,
