token_symbol,final_outcome,spot_pair,spot_missing,futures_pair,futures_missing,exact_futures_contract,futures_class,fallback_required,fallback_provider,fallback_market
ASTR,spot_pair_removed_only,ASTRUSDT,no,ASTRUSDT,no,,,no,,
AT,spot_pair_removed_only,ATUSDT,no,ATUSDT,no,,,no,,
ATA,delisted_after_tag,ATAUSDT,no,ATAUSDT,no,,,yes,ccxt_kucoin,ATA/USDT
ATOM,spot_pair_removed_only,ATOMUSDT,no,ATOMUSDT,no,,,no,,
AUCTION,spot_pair_removed_only,AUCTIONUSDT,no,AUCTIONUSDT,no,,,no,,
AUDIO,futures_only_delisting,AUDIOUSDT,no,,yes,AUDIOUSDT,risk_relevant_or_contract_specific_review,no,,
AVA,spot_pair_removed_only,AVAUSDT,no,AVAUSDT,no,,,no,,
AVAX,spot_pair_removed_only,AVAXUSDT,no,AVAXUSDT,no,,,no,,
AVNT,seed_tag_only,AVNTUSDT,no,AVNTUSDT,no,,,no,,
AWE,spot_pair_removed_only,AWEUSDT,no,AWEUSDT,no,,,no,,
AXL,seed_tag_only,AXLUSDT,no,AXLUSDT,no,,,no,,
AXS,spot_pair_removed_only,AXSUSDT,no,AXSUSDT,no,,,no,,
B3,futures_only_delisting,,yes,B3USDT,no,,,no,,
BABY,spot_pair_removed_only,BABYUSDT,no,BABYUSDT,no,,,no,,
BADGER,delisted_after_tag,BADGERUSDT,no,BADGERUSDT,no,,,yes,ccxt_gateio,BADGER/USDT
BAKE,delisted_after_tag,BAKEUSDT,no,BAKEUSDT,no,BAKEUSDT,risk_relevant_or_contract_specific_review,no,,
BAL,delisted_after_tag,BALUSDT,no,BALUSDT,no,,,yes,ccxt_mexc,BAL/USDT
BANANA,spot_pair_removed_only,BANANAUSDT,no,BANANAUSDT,no,,,no,,
BAND,spot_pair_removed_only,BANDUSDT,no,BANDUSDT,no,,,no,,
BANK,seed_tag_only,BANKUSDT,no,BANKUSDT,no,,,no,,
BARD,spot_pair_removed_only,BARDUSDT,no,BARDUSDT,no,,,no,,
BASE,seed_tag_only,,yes,,yes,,no_usdm_pair_in_exchange_info,yes,,
BAT,spot_pair_removed_only,BATUSDT,no,BATUSDT,no,,,no,,
BB,spot_pair_removed_only,BBUSDT,no,BBUSDT,no,,,no,,
BCH,spot_pair_removed_only,BCHUSDT,no,BCHUSDT,no,,,no,,
