token_symbol,final_outcome,spot_pair,spot_missing,futures_pair,futures_missing,exact_futures_contract,futures_class,fallback_required,fallback_provider,fallback_market
STG,spot_pair_removed_only,STGUSDT,no,STGUSDT,no,,,no,,
STMX,delisted_after_tag,STMXUSDT,no,STMXUSDT,no,,,no,,
STO,spot_pair_removed_only,STOUSDT,no,STOUSDT,no,,,no,,
STORJ,still_tagged,STORJUSDT,no,STORJUSDT,no,,,no,,
STPT,still_tagged,STPTUSDT,no,STPTUSDT,no,STPTUSDT,risk_relevant_or_contract_specific_review,no,,
STRAX,spot_pair_removed_only,STRAXUSDT,no,STRAXUSDT,no,,,no,,
STRK,seed_tag_only,STRKUSDT,no,STRKUSDT,no,,,no,,
STX,spot_pair_removed_only,STXUSDT,no,STXUSDT,no,,,no,,
SUI,spot_pair_removed_only,SUIUSDT,no,SUIUSDT,no,,,no,,
SUN,tag_removed,SUNUSDT,no,SUNUSDT,no,,,no,,
SUPER,spot_pair_removed_only,SUPERUSDT,no,SUPERUSDT,no,,,no,,
SWELL,futures_only_delisting,,yes,SWELLUSDT,no,,,no,,
SXP,delisted_after_tag,SXPUSDT,no,SXPUSDT,no,,,yes,ccxt_gateio,SXP/USDT
SXT,spot_pair_removed_only,SXTUSDT,no,SXTUSDT,no,,,no,,
SYN,still_tagged,SYNUSDT,no,SYNUSDT,no,,,no,,
SYRUP,seed_tag_only,SYRUPUSDT,no,SYRUPUSDT,no,,,no,,
SYS,delisted_after_tag,SYSUSDT,no,SYSUSDT,no,,,yes,ccxt_gateio,SYS/USDT
TANSSI,futures_only_delisting,,yes,TANSSIUSDT,no,,,no,,
TAO,tag_removed,TAOUSDT,no,TAOUSDT,no,,,no,,
TFUEL,spot_pair_removed_only,TFUELUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
THE,tag_removed,THEUSDT,no,THEUSDT,no,,,no,,
THETA,spot_pair_removed_only,THETAUSDT,no,THETAUSDT,no,,,no,,
TIA,seed_tag_only,TIAUSDT,no,TIAUSDT,no,,,no,,
TKO,spot_pair_removed_only,TKOUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
TLM,still_tagged,TLMUSDT,no,TLMUSDT,no,,,no,,
