token_symbol,fallback_provider_unavailable,true_data_gap,expected_post_delisting_missing,low_liquidity_fallback,suspicious_fallback_spike,fallback_exchange,fallback_pair,fallback_rows_count,fallback_quote_volume,reason,notes
STG,no,no,no,no,no,,,0,nan,,
STMX,yes,yes,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
STO,no,no,no,no,no,,,0,nan,,
STORJ,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
STPT,no,yes,no,no,no,,,0,nan,true_data_gap,
STRAX,no,no,no,no,no,,,0,nan,,
STRK,no,yes,no,no,no,,,0,nan,true_data_gap,
STX,no,no,no,no,no,,,0,nan,,
SUI,no,no,no,no,no,,,0,nan,,
SUN,no,no,no,no,no,,,0,nan,,
SUPER,no,no,no,no,no,,,0,nan,,
SWELL,no,no,no,no,no,,,0,nan,,
SXP,yes,no,yes,no,no,ccxt_gateio,SXP/USDT,965,354438572.39165205,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable,
SXT,no,no,no,no,no,,,0,nan,,
SYN,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
SYRUP,no,yes,no,no,no,,,0,nan,true_data_gap,
SYS,yes,yes,yes,no,no,ccxt_gateio,SYS/USDT,986,92934893.75852367,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
TANSSI,no,no,no,no,no,,,0,nan,,
TAO,no,yes,no,no,no,,,0,nan,true_data_gap,
TFUEL,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
THE,no,no,no,no,no,,,0,nan,,
THETA,no,no,no,no,no,,,0,nan,,
TIA,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
TKO,no,no,no,no,no,,,0,nan,,
TLM,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
