token_symbol,final_outcome,spot_pair,spot_missing,futures_pair,futures_missing,exact_futures_contract,futures_class,fallback_required,fallback_provider,fallback_market
DUSK,spot_pair_removed_only,DUSKUSDT,no,DUSKUSDT,no,,,no,,
DYDX,spot_pair_removed_only,DYDXUSDT,no,DYDXUSDT,no,,,no,,
DYM,seed_tag_only,DYMUSDT,no,DYMUSDT,no,,,no,,
EDEN,spot_pair_removed_only,EDENUSDT,no,EDENUSDT,no,,,no,,
EDU,spot_pair_removed_only,EDUUSDT,no,EDUUSDT,no,,,no,,
EGLD,spot_pair_removed_only,EGLDUSDT,no,EGLDUSDT,no,,,no,,
EIGEN,seed_tag_only,EIGENUSDT,no,EIGENUSDT,no,,,no,,
ELF,delisted_without_known_tag,ELFUSDT,no,,yes,,no_usdm_pair_in_exchange_info,yes,ccxt_gateio,ELF/USDT
ENA,spot_pair_removed_only,ENAUSDT,no,ENAUSDT,no,,,no,,
ENJ,spot_pair_removed_only,ENJUSDT,no,ENJUSDT,no,,,no,,
ENS,spot_pair_removed_only,ENSUSDT,no,ENSUSDT,no,,,no,,
ENSO,spot_pair_removed_only,ENSOUSDT,no,ENSOUSDT,no,,,no,,
EOS,spot_pair_removed_only,EOSUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
EPIC,still_tagged,EPICUSDT,no,EPICUSDT,no,,,no,,
EPT,futures_only_delisting,,yes,EPTUSDT,no,,,no,,
EPX,delisted_after_tag,EPXUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
ERC20,seed_tag_only,,yes,,yes,,no_usdm_pair_in_exchange_info,yes,,
ESP,seed_tag_only,ESPUSDT,no,ESPUSDT,no,,,no,,
ETC,spot_pair_removed_only,ETCUSDT,no,ETCUSDT,no,,,no,,
ETH,futures_only_delisting,ETHUSDT,no,ETHUSDT,no,,,no,,
EUL,spot_pair_removed_only,EULUSDT,no,EULUSDT,no,,,no,,
FARM,delisted_after_tag,FARMUSDT,no,,yes,,no_usdm_pair_in_exchange_info,yes,ccxt_gateio,FARM/USDT
FET,spot_pair_removed_only,FETUSDT,no,FETUSDT,no,,,no,,
FF,spot_pair_removed_only,FFUSDT,no,FFUSDT,no,,,no,,
FHE,seed_tag_only,,yes,FHEUSDT,no,,,yes,,
