token_symbol,anchor_event_id,anchor_event_type,baseline_price,recovery_90_touch,recovery_100_touch,recovery_90_sustained,recovery_100_sustained,never_recovered,missing_price_flag,fallback_used
MULTI,251d2bba37e3dd64,SPOT_TOKEN_DELISTING_ANNOUNCED,1.7906591008063806,yes,yes,no,no,no,no,yes
MYRO,0a9ef6cad432e9a9,FUTURES_CONTRACT_DELISTING_ANNOUNCED,0.01449194692464081,yes,no,no,no,no,no,no
NEIRO,72600e163d7457e0,SEED_TAG_ADDED,0.00035989,yes,yes,yes,yes,no,no,no
NEIROETH,a97b95d0966df1a8,FUTURES_CONTRACT_DELISTING_ANNOUNCED,0.027320297715097093,yes,no,no,no,no,no,no
NFP,1713e6ad64f92db2,MONITORING_TAG_ADDED,0.0144171433301783,yes,yes,yes,no,no,no,no
NKN,adf7b79baadd3250,MONITORING_TAG_ADDED,0.03213140291279921,yes,yes,yes,yes,no,no,yes
NOM,5b4814473eb320a9,MONITORING_TAG_ADDED,0.0028427015876912364,yes,no,yes,no,no,no,no
NON,94faf9340260e22c,SPOT_TOKEN_DELISTING_ANNOUNCED,nan,unknown,unknown,unknown,unknown,unknown,yes,no
NTRN,d133553a8f6c79b6,MONITORING_TAG_ADDED,0.010425224245846944,yes,no,no,no,no,no,yes
NULS,0b0fef5c55d48f0f,MONITORING_TAG_ADDED,0.18339466728270648,yes,no,no,no,no,no,no
OAX,3f3886d7f85907a2,SPOT_TOKEN_DELISTING_ANNOUNCED,0.13194860309461953,yes,yes,no,no,no,no,no
OBOL,a1a89b2510f9f91b,FUTURES_CONTRACT_DELISTING_ANNOUNCED,0.05429569358719472,no,no,no,no,yes,no,no
OL,a0050d837234a387,FUTURES_CONTRACT_DELISTING_ANNOUNCED,0.00993989139105297,yes,no,no,no,no,no,no
