token_symbol,final_outcome,spot_pair,spot_missing,futures_pair,futures_missing,exact_futures_contract,futures_class,fallback_required,fallback_provider,fallback_market
MTL,spot_pair_removed_only,MTLUSDT,no,MTLUSDT,no,,,no,,
MULTI,delisted_without_known_tag,MULTIUSDT,no,,yes,,no_usdm_pair_in_exchange_info,yes,ccxt_gateio,MULTI/USDT
MYRO,futures_only_delisting,,yes,MYROUSDT,no,MYROUSDT,risk_relevant_or_contract_specific_review,no,,
NEAR,spot_pair_removed_only,NEARUSDT,no,NEARUSDT,no,,,no,,
NEIRO,seed_tag_only,NEIROUSDT,no,NEIROUSDT,no,,,no,,
NEIROETH,futures_only_delisting,,yes,NEIROETHUSDT,no,NEIROETHUSDT,risk_relevant_or_contract_specific_review,no,,
NEO,spot_pair_removed_only,NEOUSDT,no,NEOUSDT,no,,,no,,
NEWT,spot_pair_removed_only,NEWTUSDT,no,NEWTUSDT,no,,,no,,
NFP,still_tagged,NFPUSDT,no,NFPUSDT,no,,,no,,
NIL,spot_pair_removed_only,NILUSDT,no,NILUSDT,no,,,no,,
NKN,delisted_after_tag,NKNUSDT,no,NKNUSDT,no,,,yes,ccxt_mexc,NKN/USDT
NMR,spot_pair_removed_only,NMRUSDT,no,NMRUSDT,no,,,no,,
NOM,still_tagged,NOMUSDT,no,NOMUSDT,no,,,no,,
NON,delisted_without_known_tag,,yes,,yes,,no_usdm_pair_in_exchange_info,yes,,
NOT,spot_pair_removed_only,NOTUSDT,no,NOTUSDT,no,,,no,,
NTRN,delisted_after_tag,NTRNUSDT,no,NTRNUSDT,no,,,yes,ccxt_mexc,NTRN/USDT
NULS,delisted_after_tag,NULSUSDT,no,NULSUSDT,no,,,no,,
NXPC,spot_pair_removed_only,NXPCUSDT,no,NXPCUSDT,no,,,no,,
OAX,delisted_without_known_tag,OAXUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
OBOL,futures_only_delisting,,yes,OBOLUSDT,no,,,no,,
OCEAN,spot_pair_removed_only,OCEANUSDT,no,OCEANUSDT,no,,,no,,
OG,spot_pair_removed_only,OGUSDT,no,OGUSDT,no,,,no,,
OGN,spot_pair_removed_only,OGNUSDT,no,OGNUSDT,no,,,no,,
OL,futures_only_delisting,,yes,OLUSDT,no,,,no,,
OM,spot_pair_removed_only,OMUSDT,no,OMUSDT,no,,,no,,
