token_symbol,fallback_provider_unavailable,true_data_gap,expected_post_delisting_missing,low_liquidity_fallback,suspicious_fallback_spike,fallback_exchange,fallback_pair,fallback_rows_count,fallback_quote_volume,reason,notes
MTL,no,no,no,no,no,,,0,nan,,
MULTI,no,no,no,no,no,ccxt_gateio,MULTI/USDT,227,9462793.52242217,,
MYRO,no,no,no,no,no,,,0,nan,,
NEAR,no,no,no,no,no,,,0,nan,,
NEIRO,no,yes,no,no,no,,,0,nan,true_data_gap,
NEIROETH,no,no,no,no,no,,,0,nan,,
NEO,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
NEWT,no,no,no,no,no,,,0,nan,,
NFP,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
NIL,no,no,no,no,no,,,0,nan,,
NKN,no,no,no,no,no,ccxt_mexc,NKN/USDT,435,283491781.17265964,,
NMR,no,no,no,no,no,,,0,nan,,
NOM,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
NON,no,no,no,no,no,,,0,nan,unresolved_pair_or_symbol,
NOT,no,no,no,no,no,,,0,nan,,
NTRN,yes,yes,yes,no,no,ccxt_mexc,NTRN/USDT,464,85090148.55282,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
NULS,yes,yes,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
NXPC,no,no,no,no,no,,,0,nan,,
OAX,yes,no,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable,
OBOL,no,no,no,no,no,,,0,nan,,
OCEAN,no,no,no,no,no,,,0,nan,,
OG,no,no,no,no,no,,,0,nan,,
OGN,no,no,no,no,no,,,0,nan,,
OL,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
OM,no,yes,no,no,no,,,0,nan,true_data_gap,
