token_symbol,final_outcome,spot_pair,spot_missing,futures_pair,futures_missing,exact_futures_contract,futures_class,fallback_required,fallback_provider,fallback_market
FIDA,spot_pair_removed_only,FIDAUSDT,no,FIDAUSDT,no,,,no,,
FIL,spot_pair_removed_only,FILUSDT,no,FILUSDT,no,,,no,,
FIO,delisted_after_tag,FIOUSDT,no,FIOUSDT,no,,,yes,ccxt_mexc,FIO/USDT
FIRO,delisted_after_tag,FIROUSDT,no,,yes,,no_usdm_pair_in_exchange_info,yes,ccxt_mexc,FIRO/USDT
FIS,delisted_after_tag,FISUSDT,no,FISUSDT,no,,,yes,ccxt_gateio,FIS/USDT
FLM,delisted_after_tag,FLMUSDT,no,FLMUSDT,no,,,yes,ccxt_mexc,FLM/USDT
FLOKI,spot_pair_removed_only,FLOKIUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
FLOW,tag_removed,FLOWUSDT,no,FLOWUSDT,no,,,no,,
FLUX,spot_pair_removed_only,FLUXUSDT,no,FLUXUSDT,no,,,no,,
FOGO,seed_tag_only,FOGOUSDT,no,FOGOUSDT,no,,,no,,
FOOTBALL,futures_only_delisting,,yes,,yes,FOOTBALLUSDT,risk_relevant_or_contract_specific_review,no,,
FOR,delisted_after_tag,FORUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
FORTH,delisted_after_tag,FORTHUSDT,no,FORTHUSDT,no,,,yes,ccxt_mexc,FORTH/USDT
FRONT,spot_pair_removed_only,FRONTUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
FTM,futures_only_delisting,FTMUSDT,no,FTMUSDT,no,FTMBUSD,normal_contract_sunset_or_migration_review,no,,
FUN,delisted_after_tag,FUNUSDT,no,FUNUSDT,no,,,yes,ccxt_gateio,FUN/USDT
FXS,spot_pair_removed_only,FXSUSDT,no,FXSUSDT,no,,,no,,
GALA,spot_pair_removed_only,GALAUSDT,no,GALAUSDT,no,,,no,,
GAS,spot_pair_removed_only,GASUSDT,no,GASUSDT,no,,,no,,
GBP,spot_pair_removed_only,GBPUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
GENIUS,seed_tag_only,GENIUSUSDT,no,GENIUSUSDT,no,,,no,,
GFT,delisted_without_known_tag,GFTUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
GHST,delisted_after_tag,GHSTUSDT,no,GHSTUSDT,no,,,yes,ccxt_mexc,GHST/USDT
GIGGLE,seed_tag_only,GIGGLEUSDT,no,GIGGLEUSDT,no,,,no,,
GLMR,futures_only_delisting,GLMRUSDT,no,GLMRUSDT,no,GLMRUSDT,risk_relevant_or_contract_specific_review,no,,
