test_name,sample_type,hypothesis_family,sub_strategy,robust_cost_bps,n_trades,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,expectancy,profit_factor,median_mae,median_mfe,time_split,confidence_bucket,event_type,scenario,holding_window_bucket
cost_sensitivity,raw,monitoring_tag,failed_recovery_7d_trigger,0,86,0.29069767441860467,-0.1525423728813558,0.10292089584605964,-0.15254237288135586,0.38963217529105687,-0.1525423728813559,0.8181818181818181,0.10292089584605964,1.9644164580426022,0.4777006252829097,0.7500000000000002,,,,,
cost_sensitivity,raw,monitoring_tag,failed_recovery_7d_trigger,20,86,0.29069767441860467,-0.1545423728813558,0.10092089584605968,-0.15454237288135586,0.38763217529105687,-0.1545423728813559,0.8161818181818181,0.10092089584605968,1.9332695953669563,0.4777006252829097,0.7500000000000002,,,,,
cost_sensitivity,raw,monitoring_tag,failed_recovery_7d_trigger,50,86,0.29069767441860467,-0.1575423728813558,0.09792089584605966,-0.15754237288135586,0.38463217529105687,-0.1575423728813559,0.8131818181818181,0.09792089584605966,1.8880519933407804,0.4777006252829097,0.7500000000000002,,,,,
cost_sensitivity,raw,monitoring_tag,failed_recovery_7d_trigger,100,86,0.29069767441860467,-0.1625423728813558,0.09292089584605967,-0.16254237288135587,0.37963217529105686,-0.1625423728813559,0.8081818181818181,0.09292089584605967,1.8164467639637696,0.4777006252829097,0.7500000000000002,,,,,
cost_sensitivity,raw,monitoring_tag,tag_24h_delay,0,117,0.5042735042735043,0.0118020880617339,0.09443023072330739,-0.1525423728813558,0.4285714285714286,-0.1525423728813559,0.4285714285714288,0.09443023072330739,2.3722544462565835,0.2003327787021631,0.3766666666666669,,,,,
cost_sensitivity,raw,monitoring_tag,tag_24h_delay,20,117,0.5042735042735043,0.0098020880617339,0.0924302307233074,-0.1545423728813558,0.4265714285714286,-0.1545423728813559,0.4265714285714288,0.0924302307233074,2.324113095189873,0.2003327787021631,0.3766666666666669,,,,,
cost_sensitivity,raw,monitoring_tag,tag_24h_delay,50,117,0.5042735042735043,0.0068020880617339,0.08943023072330739,-0.1575423728813558,0.4235714285714286,-0.1575423728813559,0.4235714285714288,0.08943023072330739,2.2544116678895256,0.2003327787021631,0.3766666666666669,,,,,
cost_sensitivity,raw,monitoring_tag,tag_24h_delay,100,117,0.5042735042735043,0.0018020880617338995,0.0844302307233074,-0.1625423728813558,0.4185714285714286,-0.1625423728813559,0.4185714285714288,0.0844302307233074,2.144487668962635,0.2003327787021631,0.3766666666666669,,,,,
cost_sensitivity,raw,monitoring_tag,tag_7d_delay,0,108,0.3333333333333333,-0.1666666666666666,0.133956118299479,-0.1666666666666666,0.8181818181818179,-0.1666666666666667,0.8181818181818181,0.133956118299479,2.2415285114337724,0.45346153846153847,0.7830946586008748,,,,,
cost_sensitivity,raw,monitoring_tag,tag_7d_delay,20,108,0.3333333333333333,-0.1686666666666666,0.131956118299479,-0.1686666666666666,0.8161818181818179,-0.16866666666666671,0.8161818181818181,0.131956118299479,2.208063443238475,0.45346153846153847,0.7830946586008748,,,,,
cost_sensitivity,raw,monitoring_tag,tag_7d_delay,50,108,0.3333333333333333,-0.1716666666666666,0.12895611829947898,-0.1716666666666666,0.8131818181818179,-0.17166666666666672,0.8131818181818181,0.12895611829947898,2.1593701666884026,0.45346153846153847,0.7830946586008748,,,,,
cost_sensitivity,raw,monitoring_tag,tag_7d_delay,100,108,0.3333333333333333,-0.1766666666666666,0.12395611829947902,-0.1766666666666666,0.8081818181818179,-0.17666666666666672,0.8081818181818181,0.12395611829947902,2.0819928008228463,0.45346153846153847,0.7830946586008748,,,,,
cost_sensitivity,raw,monitoring_tag,tag_immediate_1h,0,117,0.5641025641025641,0.0912672357189756,0.09655406124873664,-0.1666666666666666,0.4285714285714286,-0.1666666666666667,0.4285714285714288,0.09655406124873664,2.3430740855149756,0.1881743634009496,0.3772165502418054,,,,,
cost_sensitivity,raw,monitoring_tag,tag_immediate_1h,20,117,0.5641025641025641,0.0892672357189756,0.09455406124873664,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.09455406124873664,2.2994953089044636,0.1881743634009496,0.3772165502418054,,,,,
cost_sensitivity,raw,monitoring_tag,tag_immediate_1h,50,117,0.5641025641025641,0.0862672357189756,0.09155406124873663,-0.1716666666666666,0.4235714285714286,-0.17166666666666672,0.4235714285714288,0.09155406124873663,2.23605058664403,0.1881743634009496,0.3772165502418054,,,,,
cost_sensitivity,raw,monitoring_tag,tag_immediate_1h,100,117,0.5641025641025641,0.08126723571897561,0.08655406124873663,-0.1766666666666666,0.4185714285714286,-0.17666666666666672,0.4185714285714288,0.08655406124873663,2.1351453414537978,0.1881743634009496,0.3772165502418054,,,,,
cost_sensitivity,raw,pump_fade,pump20_failed_breakout_fade,0,29,0.4827586206896552,-0.0804321728691476,0.2158772006131565,-0.1666666666666666,0.6666666666666667,-0.1666666666666667,0.666666666666667,0.2158772006131565,3.593640020828262,0.2282608695652173,0.7320261437908497,,,,,
cost_sensitivity,raw,pump_fade,pump20_failed_breakout_fade,20,29,0.4827586206896552,-0.0824321728691476,0.21387720061315652,-0.1686666666666666,0.6646666666666667,-0.16866666666666671,0.664666666666667,0.21387720061315652,3.538066276015123,0.2282608695652173,0.7320261437908497,,,,,
cost_sensitivity,raw,pump_fade,pump20_failed_breakout_fade,50,29,0.4827586206896552,-0.0854321728691476,0.2108772006131565,-0.1716666666666666,0.6616666666666667,-0.17166666666666672,0.661666666666667,0.2108772006131565,3.457217766214092,0.2282608695652173,0.7320261437908497,,,,,
cost_sensitivity,raw,pump_fade,pump20_failed_breakout_fade,100,29,0.4827586206896552,-0.09043217286914759,0.20587720061315648,-0.1766666666666666,0.6566666666666667,-0.17666666666666672,0.656666666666667,0.20587720061315648,3.3287772627166334,0.2282608695652173,0.7320261437908497,,,,,
