execution_variant,variant_priority,filter_group,filter_name,entry_feasible_filter,cost_bps,sample_view,n_trades,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,median_mae,median_mfe,expectancy,profit_factor,average_return_ex_top5,median_return_ex_top5,low_confidence_flag
immediate_1h_confirmation,priority,data_quality,exclude_benchmark_gap_heavy,yes,0,full_sample,110,0.5363636363636364,0.06131014828576495,0.09381602520339381,-0.1666666666666666,0.4285714285714286,-0.1666666666666667,0.4285714285714288,0.2161390762843799,0.41154661016949157,0.09381602520339381,2.2269116096287305,0.060340484866590306,-0.1222519310754604,no
immediate_1h_confirmation,priority,data_quality,exclude_benchmark_gap_heavy,yes,20,full_sample,110,0.5363636363636364,0.059310148285764946,0.09181602520339381,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.2161390762843799,0.41154661016949157,0.09181602520339381,2.1863691368785605,0.058340484866590304,-0.1242519310754604,no
immediate_1h_confirmation,priority,data_quality,exclude_benchmark_gap_heavy,yes,20,excluding_top5,100,0.49,-0.1242519310754604,0.058340484866590304,-0.1686666666666666,0.3575467032967034,-0.16866666666666671,0.4265714285714286,0.2606004366812226,0.36458007303077733,0.058340484866590304,1.6852967959364178,-0.06440316303502246,-0.1686666666666666,no
immediate_1h_confirmation,priority,data_quality,exclude_benchmark_gap_heavy,yes,50,full_sample,110,0.5363636363636364,0.05631014828576495,0.0888160252033938,-0.1716666666666666,0.4235714285714286,-0.17166666666666672,0.4235714285714288,0.2161390762843799,0.41154661016949157,0.0888160252033938,2.12734485663373,0.055340484866590295,-0.1272519310754604,no
immediate_1h_confirmation,priority,data_quality,exclude_benchmark_gap_heavy,yes,100,full_sample,110,0.5363636363636364,0.05131014828576495,0.08381602520339382,-0.1766666666666666,0.4185714285714286,-0.17666666666666672,0.4185714285714288,0.2161390762843799,0.41154661016949157,0.08381602520339382,2.0334700746489722,0.0503404848665903,-0.1322519310754604,no
immediate_1h_confirmation,priority,data_quality,exclude_true_data_gap_heavy,yes,0,full_sample,101,0.5643564356435643,0.0927431967469503,0.10524046120690227,-0.1666666666666666,0.4285714285714286,-0.1666666666666667,0.4285714285714288,0.2021452145214521,0.4297108673978065,0.10524046120690227,2.4672207764882406,0.06970958567233891,0.017063492063492,no
immediate_1h_confirmation,priority,data_quality,exclude_true_data_gap_heavy,yes,20,full_sample,101,0.5643564356435643,0.09074319674695029,0.10324046120690226,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.2021452145214521,0.4297108673978065,0.10324046120690226,2.42206356490597,0.06770958567233891,0.015063492063492,no
immediate_1h_confirmation,priority,data_quality,exclude_true_data_gap_heavy,yes,20,excluding_top5,91,0.5164835164835165,0.015063492063492,0.06770958567233891,-0.1686666666666666,0.38055494505494514,-0.16866666666666671,0.4265714285714286,0.2449999999999998,0.3661971830985917,0.06770958567233891,1.8403094511804867,-0.05367015530823555,-0.1686666666666666,no
immediate_1h_confirmation,priority,data_quality,exclude_true_data_gap_heavy,yes,50,full_sample,101,0.5643564356435643,0.08774319674695029,0.10024046120690228,-0.1716666666666666,0.4235714285714286,-0.17166666666666672,0.4235714285714288,0.2021452145214521,0.4297108673978065,0.10024046120690228,2.3563241132786796,0.06470958567233889,0.012063492063491998,no
immediate_1h_confirmation,priority,data_quality,exclude_true_data_gap_heavy,yes,100,full_sample,101,0.5643564356435643,0.0827431967469503,0.09524046120690226,-0.1766666666666666,0.4185714285714286,-0.17666666666666672,0.4185714285714288,0.2021452145214521,0.4297108673978065,0.09524046120690226,2.2517771809935243,0.0597095856723389,0.007063492063491999,no
immediate_1h_confirmation,priority,data_quality,exclude_fallback_only_paths,yes,0,full_sample,68,0.6176470588235294,0.10485739825963186,0.10400245391401665,-0.1666666666666666,0.4285714285714286,-0.1666666666666667,0.4285714285714288,0.17563436882530345,0.3220289694211665,0.10400245391401665,2.6320385075737995,-0.012842376962651655,-0.16666666666666655,no
immediate_1h_confirmation,priority,data_quality,exclude_fallback_only_paths,yes,20,full_sample,68,0.6176470588235294,0.10285739825963186,0.10200245391401666,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.17563436882530345,0.3220289694211665,0.10200245391401666,2.5816738065110525,-0.014842376962651657,-0.16866666666666655,no
immediate_1h_confirmation,priority,data_quality,exclude_fallback_only_paths,yes,20,excluding_top5,50,0.48,-0.16866666666666655,-0.014842376962651657,-0.1686666666666666,0.12042647058823544,-0.16866666666666671,0.3345384615384617,0.20760997258843494,0.24280277965510977,-0.014842376962651657,0.8307725338706485,-0.03347102787557544,-0.1686666666666666,no
