hypothesis,sub_strategy,token_symbol,event_id,event_type,scenario,confidence_tier,symbol_pair,market_type,event_time,entry_time,entry_price,entry_rule,invalidation_rule,stop_loss_pct,take_profit_pct,max_holding_days,exit_time,exit_price,exit_reason,gross_return,roundtrip_cost_bps,net_return,win,max_adverse_excursion,max_favorable_excursion,time_to_tp_hours,time_to_sl_hours,risk_reward_realized,lower_confidence_sensitivity,status
spot_delisting_announcement_shock,rebound_failure_24h,BTS,ca8ce65249fba04c,SPOT_TOKEN_DELISTING_ANNOUNCED,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,high,BTSUSDT,spot,2023-11-27T06:00:26Z,2023-11-28T07:59:59Z,0.00831,short after 24h confirmation; rebound variant requires vwap_reclaim_failure=yes,stop if price trades above entry by SL pct; conceptual invalidation on sustained baseline reclaim,0.12,0.3,7,2023-11-28T16:59:59Z,0.005816999999999999,take_profit,0.4285714285714286,0,0.4285714285714286,yes,0.13959085439229835,0.5136612021857923,9.0,,3.6797625777275313,no,ok
spot_delisting_announcement_shock,rebound_failure_24h,BTS,ca8ce65249fba04c,SPOT_TOKEN_DELISTING_ANNOUNCED,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,high,BTSUSDT,spot,2023-11-27T06:00:26Z,2023-11-28T07:59:59Z,0.00831,short after 24h confirmation; rebound variant requires vwap_reclaim_failure=yes,stop if price trades above entry by SL pct; conceptual invalidation on sustained baseline reclaim,0.12,0.3,7,2023-11-28T16:59:59Z,0.005816999999999999,take_profit,0.4285714285714286,20,0.4265714285714286,yes,0.13959085439229835,0.5136612021857923,9.0,,3.6797625777275313,no,ok
spot_delisting_announcement_shock,rebound_failure_24h_hold30,BTS,ca8ce65249fba04c,SPOT_TOKEN_DELISTING_ANNOUNCED,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,high,BTSUSDT,spot,2023-11-27T06:00:26Z,2023-11-28T07:59:59Z,0.00831,short after 24h confirmation; rebound variant requires vwap_reclaim_failure=yes,stop if price trades above entry by SL pct; conceptual invalidation on sustained baseline reclaim,0.15,0.5,30,2023-12-07T02:59:59Z,0.0054,time_exit,0.5388888888888888,0,0.5388888888888888,yes,0.13959085439229835,0.6230468749999998,,,4.463378906250001,no,ok
spot_delisting_announcement_shock,rebound_failure_24h_hold30,BTS,ca8ce65249fba04c,SPOT_TOKEN_DELISTING_ANNOUNCED,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,high,BTSUSDT,spot,2023-11-27T06:00:26Z,2023-11-28T07:59:59Z,0.00831,short after 24h confirmation; rebound variant requires vwap_reclaim_failure=yes,stop if price trades above entry by SL pct; conceptual invalidation on sustained baseline reclaim,0.15,0.5,30,2023-12-07T02:59:59Z,0.0054,time_exit,0.5388888888888888,20,0.5368888888888887,yes,0.13959085439229835,0.6230468749999998,,,4.463378906250001,no,ok
spot_delisting_announcement_shock,immediate_1h_confirmation,CREAM,c7f6923d690b160e,SPOT_TOKEN_DELISTING_ANNOUNCED,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,low_sensitivity,CREAMUSDT,spot,2025-04-08T06:00:07Z,2025-04-08T08:59:59Z,1.71,short after 1h confirmation; rebound variant requires vwap_reclaim_failure=yes,stop if price trades above entry by SL pct; conceptual invalidation on sustained baseline reclaim,0.18,0.3,7,2025-04-09T08:59:59Z,2.0178,stop_loss,-0.15254237288135586,0,-0.15254237288135586,no,0.42690058479532156,0.7272727272727273,,24.0,1.703611457036115,yes,ok
spot_delisting_announcement_shock,immediate_1h_confirmation,CREAM,c7f6923d690b160e,SPOT_TOKEN_DELISTING_ANNOUNCED,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,low_sensitivity,CREAMUSDT,spot,2025-04-08T06:00:07Z,2025-04-08T08:59:59Z,1.71,short after 1h confirmation; rebound variant requires vwap_reclaim_failure=yes,stop if price trades above entry by SL pct; conceptual invalidation on sustained baseline reclaim,0.18,0.3,7,2025-04-09T08:59:59Z,2.0178,stop_loss,-0.15254237288135586,20,-0.15454237288135586,no,0.42690058479532156,0.7272727272727273,,24.0,1.703611457036115,yes,ok
spot_delisting_announcement_shock,rebound_failure_24h,CREAM,c7f6923d690b160e,SPOT_TOKEN_DELISTING_ANNOUNCED,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,low_sensitivity,CREAMUSDT,spot,2025-04-08T06:00:07Z,2025-04-09T07:59:59Z,1.69,short after 24h confirmation; rebound variant requires vwap_reclaim_failure=yes,stop if price trades above entry by SL pct; conceptual invalidation on sustained baseline reclaim,0.12,0.3,7,2025-04-09T08:59:59Z,1.8928,stop_loss,-0.1071428571428572,0,-0.1071428571428572,no,0.44378698224852076,0.707070707070707,,1.0,1.593265993265993,yes,ok
spot_delisting_announcement_shock,rebound_failure_24h,CREAM,c7f6923d690b160e,SPOT_TOKEN_DELISTING_ANNOUNCED,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,low_sensitivity,CREAMUSDT,spot,2025-04-08T06:00:07Z,2025-04-09T07:59:59Z,1.69,short after 24h confirmation; rebound variant requires vwap_reclaim_failure=yes,stop if price trades above entry by SL pct; conceptual invalidation on sustained baseline reclaim,0.12,0.3,7,2025-04-09T08:59:59Z,1.8928,stop_loss,-0.1071428571428572,20,-0.10914285714285721,no,0.44378698224852076,0.707070707070707,,1.0,1.593265993265993,yes,ok
spot_delisting_announcement_shock,rebound_failure_24h_hold30,CREAM,c7f6923d690b160e,SPOT_TOKEN_DELISTING_ANNOUNCED,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,low_sensitivity,CREAMUSDT,spot,2025-04-08T06:00:07Z,2025-04-09T07:59:59Z,1.69,short after 24h confirmation; rebound variant requires vwap_reclaim_failure=yes,stop if price trades above entry by SL pct; conceptual invalidation on sustained baseline reclaim,0.15,0.5,30,2025-04-09T08:59:59Z,1.9434999999999998,stop_loss,-0.13043478260869557,0,-0.13043478260869557,no,0.44378698224852076,0.707070707070707,,1.0,1.593265993265993,yes,ok
spot_delisting_announcement_shock,rebound_failure_24h_hold30,CREAM,c7f6923d690b160e,SPOT_TOKEN_DELISTING_ANNOUNCED,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,low_sensitivity,CREAMUSDT,spot,2025-04-08T06:00:07Z,2025-04-09T07:59:59Z,1.69,short after 24h confirmation; rebound variant requires vwap_reclaim_failure=yes,stop if price trades above entry by SL pct; conceptual invalidation on sustained baseline reclaim,0.15,0.5,30,2025-04-09T08:59:59Z,1.9434999999999998,stop_loss,-0.13043478260869557,20,-0.13243478260869557,no,0.44378698224852076,0.707070707070707,,1.0,1.593265993265993,yes,ok
