event_id,token_entity_id,token_symbol,anchor_event_type,baseline_price,max_return_1h,max_return_4h,max_return_24h,max_return_3d,max_return_7d,max_return_until_effective_delisting,max_return_price_source,max_return_exchange,volume_zscore,post_pump_drawdown,pump20_flag,pump_and_dump_flag,low_liquidity_pump_flag,fallback_used,manual_review_required
f755b9dd1ea6099a,AERGO,AERGO,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0762460543961209,-0.0102040816326529,0.0058309037900876,-0.0131195335276967,-0.0408163265306121,-0.0743440233236151,0.0058309037900876,binance,binance,-0.240675664093043,-0.0801749271137027,no,no,no,no,no
646897e4f33f453e,ACA,ACA,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0057163109644237,-0.1379310344827585,-0.1551724137931034,-0.1379310344827585,-0.4310344827586206,-0.2241379310344827,-0.1379310344827585,binance,binance,0.1356321451814966,-0.7495344827586208,no,no,no,yes,no
2bef59b54300a8c4,A2Z,A2Z,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0006368053073898,-0.0271186440677967,-0.0525423728813558,-0.0627118644067796,-0.1254237288135594,-0.4406779661016949,-0.0271186440677967,binance,binance,3.51137927625748,-0.8370847457627117,no,no,no,yes,no
620dfaaf6b76cda8,ANT,ANT,SPOT_TOKEN_DELISTING_ANNOUNCED,5.9620729095565395,0.0037421330158191,-0.0001700969552643,0.0164994046606565,0.0729715938084709,0.1396496002721552,0.2599081476441574,binance,binance,2.401828211638771,-0.2600782445994217,yes,no,no,no,no
2ebc47e2d093dcb6,AKRO,AKRO,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0033033665305105,-0.006908462867012,-0.1177892918825561,-0.1799654576856649,-0.4093264248704663,-0.661139896373057,-0.006908462867012,binance,binance,1.9132474493462677,-0.654231433506045,no,no,no,no,no
78605f349f17de8a,AMB,AMB,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0034158658913054,-0.0726643598615917,-0.0795847750865051,-0.2698961937716264,-0.342560553633218,-0.889273356401384,-0.0726643598615917,binance,binance,2.409541693964574,-0.8166089965397924,no,no,no,no,no
00838960937666d3,AST,AST,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0399301412716182,-0.2206235011990407,-0.1558752997601917,-0.2182254196642686,-0.2206235011990407,-0.3741007194244604,-0.119904076738609,binance,binance,0.843705395496805,-0.8500000000000001,no,no,no,yes,no
0af13c0c95167545,ALPACA,ALPACA,SPOT_TOKEN_DELISTING_ANNOUNCED,0.057437676649563,-0.2174556213017749,-0.4201183431952662,0.1109467455621302,1.6242603550295862,3.2884615384615383,3.2884615384615383,binance,binance,6.779563629166395,-3.7085798816568047,yes,yes,no,no,no
e3787f28cdcb4f63,ALPHA,ALPHA,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0162705273675049,0.0,0.0229885057471264,-0.0747126436781608,-0.1724137931034483,-0.3793103448275861,0.0229885057471264,binance,binance,1.360094902758422,-0.4022988505747125,no,no,no,no,no
fe030a322cd55fe6,BADGER,BADGER,SPOT_TOKEN_DELISTING_ANNOUNCED,1.029334282564604,-0.0354166666666665,-0.0916666666666666,-0.134375,-0.1083333333333332,-0.1677083333333332,0.1626041666666668,ccxt_gateio,gateio,0.2709215841029809,-0.3303125000000001,no,no,no,yes,no
add781ef303b3edb,BAL,BAL,SPOT_TOKEN_DELISTING_ANNOUNCED,0.8744060507540871,0.0013054830287206,0.0208877284595301,0.1331592689295038,0.1240208877284594,0.2245430809399478,0.5090078328981722,ccxt_mexc,mexc,1.9101132425760672,-0.5077023498694515,yes,yes,no,yes,no
0c22b5d83ff2b22f,BAKE,BAKE,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0570161562546845,-0.129192546583851,-0.2024844720496895,-0.3590062111801242,-0.5167701863354037,0.5118012422360247,0.5118012422360247,binance,binance,1.7421018382631883,-1.0285714285714285,yes,yes,no,no,no
3549a24c52b9c171,ATA,ATA,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0080113013630723,-0.1038961038961039,-0.1038961038961039,-0.1038961038961039,-0.2077922077922077,-0.5064935064935066,-0.1038961038961039,binance,binance,2.5816088646321376,-0.6103896103896104,no,no,no,no,no
ca8ce65249fba04c,BTS,BTS,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0064234776693879,0.0081566068515497,0.0473083197389885,-0.030995106035889,0.2022838499184338,-0.0146818923327894,0.2022838499184338,binance,binance,11.74021101040905,-0.5817292006525284,yes,yes,no,yes,no
32a707aa1c9486f4,BOND,BOND,SPOT_TOKEN_DELISTING_ANNOUNCED,1.6774281297272065,-0.01875,-0.0618750000000001,-0.21375,-0.1624999999999999,0.2731249999999998,0.345,binance,binance,4.429765684990345,-0.55875,yes,yes,no,no,no
143ca517a46fcbd1,BLZ,BLZ,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0773933657359795,-0.0027372262773723,-0.1916058394160584,-0.3366788321167883,-0.3822992700729928,-0.468978102189781,-0.0027372262773723,binance,binance,2.1858164050075044,-0.6592153284671531,no,no,no,yes,no
b9ed2144f63250c8,BURGER,BURGER,SPOT_TOKEN_DELISTING_ANNOUNCED,0.1463902296367338,-0.2848061029879211,-0.2549268912905276,-0.3839796567069294,-0.5359186268277177,-0.8906547997457088,-0.2549268912905276,binance,binance,0.2657622126843492,-0.6357279084551812,no,no,no,no,no
539cbbfc728cc069,BETA,BETA,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0102147732411919,-0.1275395033860045,-0.1794582392776522,-0.2325056433408577,-0.5688487584650113,-0.9198645598194132,-0.1275395033860045,binance,binance,1.5580072553350577,-0.7923250564334086,no,no,no,no,no
3199a658dfb606a1,BSW,BSW,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0248215781545921,0.0493827160493827,0.3786008230452675,-0.0823045267489711,-0.0576131687242797,-0.4609053497942386,0.3786008230452675,binance,binance,0.8084477394316424,-0.9094650205761317,yes,yes,no,yes,no
ada4fa98c9d3f91d,BIFI,BIFI,SPOT_TOKEN_DELISTING_ANNOUNCED,83.02519561463758,-0.0012706480304957,-0.1346886912325287,-0.0533672172808132,-0.1969504447268106,-0.3481575603557815,-0.0012706480304957,binance,binance,5.097232108163452,-0.5908513341804319,no,no,no,no,no
58f1efaf1d702f60,CLV,CLV,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0449598348432508,0.0085207100591715,-0.0288757396449705,-0.0956213017751479,-0.1789349112426036,-0.3048520710059171,0.0085207100591715,binance,binance,-0.2292461605378904,-0.3133727810650887,no,no,no,no,no
a38fa2982ab1db6f,COMBO,COMBO,SPOT_TOKEN_DELISTING_ANNOUNCED,0.1537409765236785,-0.1451814768460575,-0.1777221526908636,-0.1939924906132666,-0.3554443053817272,-0.8272841051314143,-0.1451814768460575,binance,binance,-0.1215369468024807,-0.6821026282853567,no,no,no,no,no
c7f6923d690b160e,CREAM,CREAM,SPOT_TOKEN_DELISTING_ANNOUNCED,2.4979818518231633,-0.2350427350427349,-0.3034188034188034,-0.3205128205128205,-0.3803418803418803,-0.5085470085470085,-0.2350427350427349,binance,binance,3.0184912083108015,-0.2735042735042735,no,no,no,no,no
4fe5c59e2ce9b37a,CTXC,CTXC,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0888019470958834,-0.1918489065606361,-0.151093439363817,-0.2763419483101391,-0.2713717693836978,-0.3946322067594433,-0.151093439363817,binance,binance,0.9143153354275196,-0.2435387673956263,no,no,no,no,no
ada0e986aee726c8,CHESS,CHESS,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0211532812400921,-0.1122778675282714,-0.1768982229402262,0.0791599353796446,0.1389337641357027,-0.6377221324717286,0.1389337641357027,binance,binance,16.950625368975636,-0.7766558966074313,no,no,no,no,no
77b52a90a52f0b02,DREP,DREP,SPOT_TOKEN_DELISTING_ANNOUNCED,0.281372029457943,0.0089903181189487,0.0705394190871369,0.0511756569847854,-0.2254495159059474,-0.4529737206085753,0.0705394190871369,binance,binance,0.2383142442805803,-0.8934993084370677,no,no,no,no,no
4bbb4f82a3e5b36d,DOCK,DOCK,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0088649182427084,0.0064829821717991,-0.1539708265802269,0.0502431118314423,0.0437601296596434,0.6353322528363046,0.6353322528363046,binance,binance,10.027195444142036,-1.0032414910858996,yes,yes,no,no,no
e100d0c98ef5519f,CVP,CVP,SPOT_TOKEN_DELISTING_ANNOUNCED,0.2916715176761905,-0.0738461538461539,-0.0936263736263737,0.0145054945054945,-0.4030769230769231,-0.5226373626373626,0.0145054945054945,binance,binance,-0.2030010273631068,-0.8654945054945056,no,no,no,no,no
f8d67c1c4ee0e8ad,DATA,DATA,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0033410674080891,-0.1661891117478511,-0.2177650429799428,-0.1747851002865329,-0.3553008595988539,-0.4756446991404012,-0.1661891117478511,binance,binance,1.4391227398316713,-0.6238968481375358,no,no,no,yes,no
53a23221767e3233,DF,DF,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0069131744514521,-0.2136842105263158,-0.2052631578947368,-0.3105263157894736,-0.5210526315789473,-0.6421052631578947,-0.2052631578947368,binance,binance,4.653931490653446,-0.4368421052631579,no,no,no,no,no
2e773bcd17d36eb5,DEGO,DEGO,SPOT_TOKEN_DELISTING_ANNOUNCED,0.2379843306327359,-0.1354581673306772,-0.0717131474103585,-0.1513944223107569,-0.342629482071713,-0.6653386454183267,-0.0717131474103585,binance,binance,-0.1159436973320906,-0.8601195219123506,no,no,no,yes,no
