event_id,token_entity_id,token_symbol,spot_symbol,futures_symbol_candidate,entry_time,event_time,had_binance_perp_at_entry,perp_listed_before_entry,perp_delisted_before_entry,perp_status_confidence,futures_ohlcv_available_around_entry,futures_ohlcv_symbol,futures_ohlcv_rows_around_entry,funding_available_around_entry,funding_cache_paths,open_interest_available_around_entry,open_interest_cache_paths,futures_delisting_announcement_state,futures_delisting_event_id,futures_delisting_publication_utc,futures_delisting_effective_utc,futures_cache_symbol_dirs_present,current_futures_exchangeinfo_snapshot_utc,current_futures_exchangeinfo_symbol_status,current_exchangeinfo_used_as_historical_proof,shortability_tier,shortability_blocker,feasibility_tier,low_liquidity_flag,extreme_first_hour_wick_gap,abnormal_candle_gap,quote_volume_24h_around_entry,gross_return,net_return_20bps,net_return_50bps,net_return_100bps,net_return_200bps,net_return_500bps,max_adverse_excursion,max_favorable_excursion,confidence_tier,scenario,final_outcome,manual_review_required
08d7f3a2766ef543,BETA,BETA,BETAUSDT,"BETAUSDT,BETABUSD",2023-10-04T08:59:59Z,2023-10-04T06:00:16Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,,no,unknown,missing_historical_perp_listing_or_borrow_data,medium,no,no,no,2391672.74419,0.0927431967469503,0.0907431967469502,0.0877431967469502,0.0827431967469503,0.0727431967469502,0.0427431967469502,0.1343924431086303,0.251253581661891,low_sensitivity,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,no
63e51c3ccd2baf4b,BOND,BOND,BONDUSDT,"BONDUSDT,BONDBUSD",2023-10-04T08:59:59Z,2023-10-04T06:00:16Z,unknown,unknown,no,unknown,no,,0,no,,no,,weak_after_entry_announcement,0f8bc235be515960,2024-12-06T03:00:04Z,2024-12-16T09:00:00Z,,2026-05-26T13:54:55Z,BONDUSDT:SETTLING,no,unknown,only_later_futures_delisting_announcement_not_proof_at_entry,medium,no,no,no,1315841.04596,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,2.174976481655692,0.3287499999999999,low_sensitivity,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,delisted_after_tag,no
368a3d7cdf4b4eeb,WTC,WTC,WTCUSDT,"WTCUSDT,WTCBUSD",2023-10-04T08:59:59Z,2023-10-04T06:00:16Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,,no,unknown,missing_historical_perp_listing_or_borrow_data,medium,no,no,no,2039044.7708,0.0130123617436563,0.0110123617436563,0.0080123617436562,0.0030123617436562,-0.0069876382563437,-0.0369876382563437,0.1066152858060371,0.1921898928024503,low_sensitivity,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,no
e0c4360ac0bda986,ANT,ANT,ANTUSDT,"ANTUSDT,ANTBUSD",2024-01-04T09:59:59Z,2024-01-04T07:00:09Z,unknown,unknown,no,unknown,no,,0,no,,no,,weak_after_entry_announcement,195b10a094e47290,2024-03-25T04:40:12Z,2024-04-01T09:00:00Z,,2026-05-26T13:54:55Z,,no,unknown,only_later_futures_delisting_announcement_not_proof_at_entry,low,yes,no,no,942334.5031,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,0.2404749246854509,0.0340846619021439,low_sensitivity,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,no
4a8314d988bfa109,FIRO,FIRO,FIROUSDT,"FIROUSDT,FIROBUSD",2024-01-04T09:59:59Z,2024-01-04T07:00:09Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,,no,unknown,missing_historical_perp_listing_or_borrow_data,medium,no,no,no,1901479.5536,0.1733080328905756,0.1713080328905755,0.1683080328905755,0.1633080328905755,0.1533080328905756,0.1233080328905755,0.0495956873315364,0.3250000000000002,low_sensitivity,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,no
6349e349f6963185,KP3R,KP3R,KP3RUSDT,"KP3RUSDT,KP3RBUSD",2024-01-04T09:59:59Z,2024-01-04T07:00:09Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,,no,unknown,missing_historical_perp_listing_or_borrow_data,medium,no,no,no,7333723.448999999,0.2381759141606665,0.2361759141606665,0.2331759141606665,0.2281759141606665,0.2181759141606665,0.1881759141606664,0.0490307867730901,0.3283853377764314,low_sensitivity,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,no
92ea1ce575290a09,MDX,MDX,MDXUSDT,"MDXUSDT,MDXBUSD",2024-01-04T09:59:59Z,2024-01-04T07:00:09Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,,no,unknown,missing_historical_perp_listing_or_borrow_data,medium,no,no,no,3864585.53235,0.1943986820428336,0.1923986820428335,0.1893986820428335,0.1843986820428335,0.1743986820428336,0.1443986820428335,0.0758620689655173,0.3157894736842104,low_sensitivity,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,delisted_after_tag,yes
018313d3408ec969,MOB,MOB,MOBUSDT,"MOBUSDT,MOBBUSD",2024-01-04T09:59:59Z,2024-01-04T07:00:09Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,,no,unknown,missing_historical_perp_listing_or_borrow_data,medium,no,no,no,6154826.1387600005,0.4285714285714286,0.4265714285714286,0.4235714285714286,0.4185714285714286,0.4085714285714286,0.3785714285714286,0.108695652173913,0.7100371747211895,high,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,no
0530e835539c12c2,ZEC,ZEC,ZECUSDT,"ZECUSDT,ZECBUSD",2024-01-04T09:59:59Z,2024-01-04T07:00:09Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,ZECUSDT:TRADING,no,unknown,missing_historical_perp_listing_or_borrow_data,medium,no,no,no,10389239.98992,0.1092475067996374,0.1072475067996374,0.1042475067996374,0.0992475067996374,0.0892475067996374,0.0592475067996374,0.0420923579893748,0.3227027027027027,high,TAG_REMOVED_AND_RECOVERED,tag_removed,no
b2f582e4f6f3e84c,ZEN,ZEN,ZENUSDT,"ZENUSDT,ZENBUSD",2024-01-04T09:59:59Z,2024-01-04T07:00:09Z,unknown,unknown,no,unknown,no,,0,no,,no,,no,,,,,2026-05-26T13:54:55Z,ZENUSDT:TRADING,no,unknown,missing_historical_perp_listing_or_borrow_data,medium,no,no,no,7462209.776,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.2166666666666666,0.37890625,0.1566265060240963,high,TAG_REMOVED_AND_RECOVERED,tag_removed,no
