hypothesis,sub_strategy,roundtrip_cost_bps,grouping,number_of_trades,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,median_max_adverse_excursion,median_max_favorable_excursion,median_time_to_tp_hours,median_time_to_sl_hours,expectancy,median_risk_reward,scenario,event_type,confidence_tier
delisting_pump_fade_after_failed_breakout,pump20_failed_breakout_fade,0,hypothesis+sub_strategy+roundtrip_cost_bps,29,0.4827586206896552,-0.08043217286914761,0.2158772006131565,-0.16666666666666663,0.6666666666666667,-0.16666666666666674,0.666666666666667,0.2282608695652173,0.7320261437908497,113.0,16.5,0.2158772006131565,5.111647246034605,,,
delisting_pump_fade_after_failed_breakout,pump20_failed_breakout_fade,20,hypothesis+sub_strategy+roundtrip_cost_bps,29,0.4827586206896552,-0.08243217286914761,0.21387720061315652,-0.16866666666666663,0.6646666666666667,-0.16866666666666674,0.664666666666667,0.2282608695652173,0.7320261437908497,113.0,16.5,0.21387720061315652,5.111647246034605,,,
monitoring_tag_failed_recovery_delayed_collapse,failed_recovery_7d_trigger,0,hypothesis+sub_strategy+roundtrip_cost_bps,86,0.29069767441860467,-0.15254237288135586,0.1029208958460596,-0.15254237288135594,0.38963217529105687,-0.15254237288135597,0.8181818181818181,0.4777006252829097,0.7500000000000002,606.0,200.0,0.1029208958460596,2.366429415998482,,,
monitoring_tag_failed_recovery_delayed_collapse,failed_recovery_7d_trigger,20,hypothesis+sub_strategy+roundtrip_cost_bps,86,0.29069767441860467,-0.15454237288135586,0.10092089584605964,-0.15454237288135594,0.38763217529105687,-0.15454237288135597,0.8161818181818181,0.4777006252829097,0.7500000000000002,606.0,200.0,0.10092089584605964,2.366429415998482,,,
monitoring_tag_failed_recovery_delayed_collapse,tag_24h_delay,0,hypothesis+sub_strategy+roundtrip_cost_bps,117,0.5042735042735043,0.011802088061733995,0.09443023072330736,-0.15254237288135586,0.4285714285714286,-0.15254237288135597,0.4285714285714288,0.20033277870216315,0.3766666666666669,172.5,105.0,0.09443023072330736,1.9788540460907056,,,
monitoring_tag_failed_recovery_delayed_collapse,tag_24h_delay,20,hypothesis+sub_strategy+roundtrip_cost_bps,117,0.5042735042735043,0.009802088061733995,0.09243023072330737,-0.15454237288135586,0.4265714285714286,-0.15454237288135597,0.4265714285714288,0.20033277870216315,0.3766666666666669,172.5,105.0,0.09243023072330737,1.9788540460907056,,,
monitoring_tag_failed_recovery_delayed_collapse,tag_7d_delay,0,hypothesis+sub_strategy+roundtrip_cost_bps,108,0.3333333333333333,-0.16666666666666663,0.133956118299479,-0.16666666666666663,0.8181818181818179,-0.16666666666666674,0.8181818181818181,0.45346153846153847,0.7830946586008748,589.0,199.0,0.133956118299479,2.366429415998482,,,
monitoring_tag_failed_recovery_delayed_collapse,tag_7d_delay,20,hypothesis+sub_strategy+roundtrip_cost_bps,108,0.3333333333333333,-0.16866666666666663,0.13195611829947895,-0.16866666666666663,0.8161818181818179,-0.16866666666666674,0.8161818181818181,0.45346153846153847,0.7830946586008748,589.0,199.0,0.13195611829947895,2.366429415998482,,,
monitoring_tag_failed_recovery_delayed_collapse,tag_immediate_1h,0,hypothesis+sub_strategy+roundtrip_cost_bps,117,0.5641025641025641,0.09126723571897566,0.09655406124873663,-0.16666666666666663,0.4285714285714286,-0.16666666666666674,0.4285714285714288,0.18817436340094962,0.37721655024180545,152.0,93.5,0.09655406124873663,2.446965513204024,,,
monitoring_tag_failed_recovery_delayed_collapse,tag_immediate_1h,20,hypothesis+sub_strategy+roundtrip_cost_bps,117,0.5641025641025641,0.08926723571897566,0.09455406124873661,-0.16866666666666663,0.4265714285714286,-0.16866666666666674,0.4265714285714288,0.18817436340094962,0.37721655024180545,152.0,93.5,0.09455406124873661,2.446965513204024,,,
spot_delisting_announcement_shock,immediate_1h_confirmation,0,hypothesis+sub_strategy+roundtrip_cost_bps,20,0.55,0.220927700348432,0.1463058450953759,-0.15254237288135586,0.4285714285714286,-0.15254237288135597,0.4285714285714288,0.2578233156346642,0.550232883851215,43.5,23.0,0.1463058450953759,1.4941374411511363,,,
spot_delisting_announcement_shock,immediate_1h_confirmation,20,hypothesis+sub_strategy+roundtrip_cost_bps,20,0.55,0.218927700348432,0.14430584509537592,-0.15454237288135586,0.4265714285714286,-0.15454237288135597,0.4265714285714288,0.2578233156346642,0.550232883851215,43.5,23.0,0.14430584509537592,1.4941374411511363,,,
spot_delisting_announcement_shock,rebound_failure_24h,0,hypothesis+sub_strategy+roundtrip_cost_bps,14,0.35714285714285715,-0.1071428571428572,0.05793516187839383,-0.1071428571428572,0.24703933911345127,-0.1071428571428572,0.4285714285714286,0.3235866558446937,0.53567675493905,9.0,9.5,0.05793516187839383,1.89110078613226,,,
spot_delisting_announcement_shock,rebound_failure_24h,20,hypothesis+sub_strategy+roundtrip_cost_bps,14,0.35714285714285715,-0.10914285714285721,0.05593516187839383,-0.10914285714285721,0.24503933911345127,-0.10914285714285721,0.4265714285714286,0.3235866558446937,0.53567675493905,9.0,9.5,0.05593516187839383,1.89110078613226,,,
spot_delisting_announcement_shock,rebound_failure_24h_hold30,0,hypothesis+sub_strategy+roundtrip_cost_bps,14,0.2857142857142857,-0.13043478260869557,0.06289881587249295,-0.13043478260869557,0.16983155999141744,-0.13043478260869557,1.0,0.3235866558446937,0.7475750886346911,129.0,14.0,0.06289881587249295,2.512476404594447,,,
spot_delisting_announcement_shock,rebound_failure_24h_hold30,20,hypothesis+sub_strategy+roundtrip_cost_bps,14,0.2857142857142857,-0.13243478260869557,0.06089881587249295,-0.13243478260869557,0.16783155999141744,-0.13243478260869557,0.998,0.3235866558446937,0.7475750886346911,129.0,14.0,0.06089881587249295,2.512476404594447,,,
delisting_pump_fade_after_failed_breakout,,0,hypothesis+roundtrip_cost_bps,29,0.4827586206896552,-0.08043217286914761,0.2158772006131565,-0.16666666666666663,0.6666666666666667,-0.16666666666666674,0.666666666666667,0.2282608695652173,0.7320261437908497,113.0,16.5,0.2158772006131565,5.111647246034605,,,
delisting_pump_fade_after_failed_breakout,,20,hypothesis+roundtrip_cost_bps,29,0.4827586206896552,-0.08243217286914761,0.21387720061315652,-0.16866666666666663,0.6646666666666667,-0.16866666666666674,0.664666666666667,0.2282608695652173,0.7320261437908497,113.0,16.5,0.21387720061315652,5.111647246034605,,,
monitoring_tag_failed_recovery_delayed_collapse,,0,hypothesis+roundtrip_cost_bps,428,0.43457943925233644,-0.15254237288135586,0.10669070088746264,-0.16666666666666663,0.4285714285714286,-0.16666666666666674,0.8181818181818181,0.2973779238304678,0.4893329326923077,264.0,127.0,0.10669070088746264,2.2334201301031418,,,
monitoring_tag_failed_recovery_delayed_collapse,,20,hypothesis+roundtrip_cost_bps,428,0.43457943925233644,-0.15454237288135586,0.10469070088746264,-0.16866666666666663,0.4265714285714286,-0.16866666666666674,0.8161818181818181,0.2973779238304678,0.4893329326923077,264.0,127.0,0.10469070088746264,2.2334201301031418,,,
spot_delisting_announcement_shock,,0,hypothesis+roundtrip_cost_bps,48,0.4166666666666667,-0.1071428571428572,0.09620401230041527,-0.13043478260869557,0.4285714285714286,-0.15254237288135597,1.0,0.284554722917585,0.6166704963235293,38.0,14.0,0.09620401230041527,1.9023127299666327,,,
spot_delisting_announcement_shock,,20,hypothesis+roundtrip_cost_bps,48,0.4166666666666667,-0.10914285714285721,0.09420401230041527,-0.13243478260869557,0.4265714285714286,-0.15454237288135597,0.998,0.284554722917585,0.6166704963235293,38.0,14.0,0.09420401230041527,1.9023127299666327,,,
