hold_window,strategy_id,cluster_date_utc,cluster_pnl_usdt,cluster_roi_on_margin,cumulative_pnl_usdt,drawdown_from_peak_usdt,tokens_count
1d,defensive_7p5_be10_tp10_20,2025-05-07,-155.70129058221812,-0.25950215097036355,2086.4379696006517,-155.701290582218,6
1d,defensive_7p5_be10_tp10_20,2025-06-05,108.8025525525525,1.088025525525525,2195.2405221532044,-46.89873802966531,1
1d,defensive_7p5_be10_tp10_20,2025-10-09,-69.76744186046501,-0.6976744186046502,2125.4730802927393,-116.66617989013048,1
1d,defensive_7p5_be10_tp10_20,2025-12-01,-69.76744186046513,-0.6976744186046513,2055.705638432274,-186.43362175059565,1
1d,defensive_7p5_be10_tp10_20,2026-01-02,-69.76744186046513,-0.6976744186046513,1985.938196571809,-256.2010636110608,1
1d,defensive_7p5_be10_tp10_20,2026-03-06,862.7453351823928,1.078431668977991,2848.683531754202,0.0,8
1d,defensive_7p5_be10_tp10_20,2026-03-13,135.66388398631523,0.45221294662105077,2984.347415740517,0.0,3
1d,defensive_7p5_be10_tp10_20,2026-04-14,333.74147157456423,0.8343536789364105,3318.0888873150816,0.0,4
1d,defensive_7p5_be10_tp10_20,2026-04-30,180.98318638628575,0.6032772879542858,3499.072073701367,0.0,3
1d,defensive_7p5_be10_tp10_20,2026-05-22,498.25357461646536,0.9965071492329307,3997.3256483178325,0.0,5
1d,runner_only_10_no_be,2024-01-04,124.13062863816116,0.41376876212720387,124.13062863816116,0.0,3
1d,runner_only_10_no_be,2024-04-03,227.29261057102178,1.136463052855109,351.42323920918295,0.0,2
1d,runner_only_10_no_be,2024-07-01,171.6893555766108,0.572297851922036,523.1125947857938,0.0,3
1d,runner_only_10_no_be,2024-10-03,14.297275424871913,0.07148637712435957,537.4098702106658,0.0,2
1d,runner_only_10_no_be,2025-01-02,682.9743364840962,3.414871682420481,1220.3842066947618,0.0,2
1d,runner_only_10_no_be,2025-03-04,690.5835556465314,2.301945185488438,1910.967762341293,0.0,3
1d,runner_only_10_no_be,2025-04-03,836.2309177786485,1.672461835557297,2747.198680119942,0.0,5
1d,runner_only_10_no_be,2025-05-07,-249.29566455449947,-0.4154927742574991,2497.9030155654423,-249.29566455449958,6
1d,runner_only_10_no_be,2025-06-05,107.26351351351337,1.0726351351351338,2605.1665290789556,-142.03215104098626,1
1d,runner_only_10_no_be,2025-10-09,-90.90909090909093,-0.9090909090909094,2514.2574381698646,-232.94124195007726,1
1d,runner_only_10_no_be,2025-12-01,-90.90909090909093,-0.9090909090909094,2423.3483472607736,-323.85033285916825,1
1d,runner_only_10_no_be,2026-01-02,-47.05882352941182,-0.4705882352941182,2376.289523731362,-370.90915638857996,1
1d,runner_only_10_no_be,2026-03-06,954.2058514189123,1.1927573142736403,3330.4953751502744,0.0,8
1d,runner_only_10_no_be,2026-03-13,287.9873949298193,0.9599579830993976,3618.482770080094,0.0,3
1d,runner_only_10_no_be,2026-04-14,344.5090011349827,0.8612725028374568,3962.9917712150764,0.0,4
1d,runner_only_10_no_be,2026-04-30,175.87621606192403,0.5862540535397468,4138.867987277001,0.0,3
1d,runner_only_10_no_be,2026-05-22,554.1829202088173,1.1083658404176346,4693.050907485818,0.0,5
30d,aggressive_10_be20_tp20_50,2024-01-04,-106.81818181818198,-0.35606060606060663,-106.81818181818198,-106.81818181818198,3
30d,aggressive_10_be20_tp20_50,2024-04-03,1105.3994011655884,5.526997005827942,998.5812193474064,0.0,2
30d,aggressive_10_be20_tp20_50,2024-07-01,224.99999999999994,0.7499999999999998,1223.5812193474064,0.0,3
30d,aggressive_10_be20_tp20_50,2024-10-03,-181.81818181818198,-0.90909090909091,1041.7630375292244,-181.81818181818198,2
30d,aggressive_10_be20_tp20_50,2025-01-02,1395.810514786418,6.9790525739320906,2437.5735523156427,0.0,2
30d,aggressive_10_be20_tp20_50,2025-03-04,1523.7380773764871,5.079126924588291,3961.31162969213,0.0,3
30d,aggressive_10_be20_tp20_50,2025-04-03,775.0,1.55,4736.31162969213,0.0,5
30d,aggressive_10_be20_tp20_50,2025-05-07,-379.5454545454549,-0.6325757575757581,4356.766175146675,-379.54545454545496,6
30d,aggressive_10_be20_tp20_50,2025-06-05,568.3680104031209,5.683680104031209,4925.134185549796,0.0,1
30d,aggressive_10_be20_tp20_50,2025-10-09,-90.90909090909093,-0.9090909090909094,4834.225094640705,-90.90909090909099,1
30d,aggressive_10_be20_tp20_50,2025-12-01,-90.90909090909093,-0.9090909090909094,4743.316003731614,-181.81818181818198,1
30d,aggressive_10_be20_tp20_50,2026-01-02,-90.90909090909105,-0.9090909090909105,4652.406912822523,-272.727272727273,1
30d,aggressive_10_be20_tp20_50,2026-03-06,319.63557870957493,0.39954447338696863,4972.042491532098,0.0,8
30d,aggressive_10_be20_tp20_50,2026-03-13,1418.3189655172414,4.727729885057471,6390.361457049339,0.0,3
30d,aggressive_10_be20_tp20_50,2026-04-14,23.239621650026407,0.05809905412506602,6413.601078699366,0.0,4
30d,aggressive_10_be20_tp20_50,2026-04-30,175.87621606192403,0.5862540535397468,6589.47729476129,0.0,3
30d,aggressive_10_be20_tp20_50,2026-05-22,1076.2743388910246,2.152548677782049,7665.751633652315,0.0,5
30d,balanced_10_be15_tp10_30,2024-01-04,-24.24242424242442,-0.0808080808080814,-24.24242424242442,-24.24242424242442,3
30d,balanced_10_be15_tp10_30,2024-04-03,471.3759951930298,2.356879975965149,447.13357095060536,0.0,2
30d,balanced_10_be15_tp10_30,2024-07-01,442.8571428571428,1.4761904761904758,889.9907138077481,0.0,3
30d,balanced_10_be15_tp10_30,2024-10-03,-57.575757575757585,-0.2878787878787879,832.4149562319905,-57.57575757575762,2
30d,balanced_10_be15_tp10_30,2025-01-02,1125.5724195483228,5.627862097741614,1957.9873757803134,0.0,2
30d,balanced_10_be15_tp10_30,2025-03-04,1193.6689529525238,3.978896509841746,3151.656328732837,0.0,3
30d,balanced_10_be15_tp10_30,2025-04-03,509.52380952380963,1.0190476190476192,3661.180138256647,0.0,5
30d,balanced_10_be15_tp10_30,2025-05-07,-421.21212121212153,-0.7020202020202025,3239.9680170445254,-421.2121212121215,6
30d,balanced_10_be15_tp10_30,2025-06-05,416.2053377918137,4.162053377918137,3656.173354836339,-5.006783420307784,1
30d,balanced_10_be15_tp10_30,2025-10-09,-90.90909090909093,-0.9090909090909094,3565.264263927248,-95.91587432939878,1
30d,balanced_10_be15_tp10_30,2025-12-01,-90.90909090909093,-0.9090909090909094,3474.355173018157,-186.82496523848977,1
30d,balanced_10_be15_tp10_30,2026-01-02,-90.90909090909105,-0.9090909090909105,3383.446082109066,-277.73405614758076,1
30d,balanced_10_be15_tp10_30,2026-03-06,714.2395835647959,0.8927994794559949,4097.685665673862,0.0,8
30d,balanced_10_be15_tp10_30,2026-03-13,1125.708128078818,3.752360426929393,5223.39379375268,0.0,3
30d,balanced_10_be15_tp10_30,2026-04-14,-24.111052723769525,-0.06027763180942381,5199.28274102891,-24.111052723769717,4
30d,balanced_10_be15_tp10_30,2026-04-30,179.70644380519533,0.5990214793506511,5378.989184834106,0.0,3
30d,balanced_10_be15_tp10_30,2026-05-22,1084.7452794381447,2.1694905588762894,6463.734464272251,0.0,5
30d,base_10_be20_tp15_30,2024-01-04,-35.347593582887825,-0.11782531194295942,-35.347593582887825,-35.347593582887825,3
30d,base_10_be20_tp15_30,2024-04-03,820.1702162552451,4.100851081276225,784.8226226723573,0.0,2
30d,base_10_be20_tp15_30,2024-07-01,457.5630252100841,1.5252100840336136,1242.3856478824414,0.0,3
30d,base_10_be20_tp15_30,2024-10-03,-93.58288770053485,-0.4679144385026743,1148.8027601819065,-93.58288770053491,2
30d,base_10_be20_tp15_30,2025-01-02,1255.3703277587042,6.276851638793521,2404.1730879406105,0.0,2
30d,base_10_be20_tp15_30,2025-03-04,1255.625933794373,4.185419779314577,3659.7990217349834,0.0,3
30d,base_10_be20_tp15_30,2025-04-03,574.0336134453783,1.1480672268907566,4233.832635180362,0.0,5
30d,base_10_be20_tp15_30,2025-05-07,-396.31016042780783,-0.6605169340463464,3837.522474752554,-396.31016042780766,6
30d,base_10_be20_tp15_30,2025-06-05,439.2997563134486,4.392997563134486,4276.822231066002,0.0,1
30d,base_10_be20_tp15_30,2025-10-09,-90.90909090909093,-0.9090909090909094,4185.913140156911,-90.90909090909099,1
30d,base_10_be20_tp15_30,2025-12-01,-90.90909090909093,-0.9090909090909094,4095.00404924782,-181.81818181818198,1
30d,base_10_be20_tp15_30,2026-01-02,-90.90909090909105,-0.9090909090909105,4004.094958338729,-272.727272727273,1
30d,base_10_be20_tp15_30,2026-03-06,567.4196115420174,0.7092745144275218,4571.514569880746,0.0,8
30d,base_10_be20_tp15_30,2026-03-13,1178.6036656041726,3.9286788853472423,5750.118235484919,0.0,3
30d,base_10_be20_tp15_30,2026-04-14,6.47491576767348,0.0161872894191837,5756.593151252592,0.0,4
30d,base_10_be20_tp15_30,2026-04-30,201.65809403050284,0.6721936467683428,5958.251245283095,0.0,3
30d,base_10_be20_tp15_30,2026-05-22,1083.9497514644106,2.167899502928821,7042.200996747506,0.0,5
30d,defensive_7p5_be10_tp10_20,2024-01-04,94.12144702842372,0.31373815676141237,94.12144702842372,0.0,3
30d,defensive_7p5_be10_tp10_20,2024-04-03,397.1696459866806,1.985848229933403,491.29109301510437,0.0,2
30d,defensive_7p5_be10_tp10_20,2024-07-01,358.33333333333314,1.1944444444444438,849.6244263484375,0.0,3
30d,defensive_7p5_be10_tp10_20,2024-10-03,-25.322997416020662,-0.12661498708010333,824.3014289324168,-25.322997416020712,2
30d,defensive_7p5_be10_tp10_20,2025-01-02,1061.3966082794884,5.306983041397442,1885.698037211905,0.0,2
30d,defensive_7p5_be10_tp10_20,2025-03-04,937.716572000143,3.125721906667143,2823.414609212048,0.0,3
30d,defensive_7p5_be10_tp10_20,2025-04-03,597.2222222222222,1.1944444444444444,3420.6368314342703,0.0,5
30d,defensive_7p5_be10_tp10_20,2025-05-07,-229.39276485788105,-0.3823212747631351,3191.2440665763893,-229.39276485788105,6
30d,defensive_7p5_be10_tp10_20,2025-06-05,330.88787747435344,3.3088787747435346,3522.1319440507427,0.0,1
30d,defensive_7p5_be10_tp10_20,2025-10-09,-69.76744186046501,-0.6976744186046502,3452.3645021902776,-69.76744186046517,1
30d,defensive_7p5_be10_tp10_20,2025-12-01,-69.76744186046513,-0.6976744186046513,3382.5970603298124,-139.53488372093034,1
30d,defensive_7p5_be10_tp10_20,2026-01-02,-69.76744186046513,-0.6976744186046513,3312.829618469347,-209.3023255813955,1
30d,defensive_7p5_be10_tp10_20,2026-03-06,379.05553365742566,0.47381941707178205,3691.885152126773,0.0,8
30d,defensive_7p5_be10_tp10_20,2026-03-13,343.04386082152723,1.1434795360717573,4034.9290129483,0.0,3
