view,cost_bps,n_trades,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,median_mae,median_mfe,profit_factor
all_candidate_trades,20,89,0.5617977528089888,0.0711707317073173,0.08867663362478628,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.2127659574468086,0.3830845771144278,2.1997902694749136
all_candidate_trades,50,89,0.5617977528089888,0.0681707317073173,0.08567663362478625,-0.1716666666666666,0.4235714285714286,-0.17166666666666672,0.4235714285714288,0.2127659574468086,0.3830845771144278,2.1389425530404744
all_candidate_trades,100,89,0.5617977528089888,0.06317073170731731,0.08067663362478626,-0.1766666666666666,0.4185714285714286,-0.17666666666666672,0.4185714285714288,0.2127659574468086,0.3830845771144278,2.0421219728020286
all_candidate_trades,200,89,0.5393258426966292,0.0531707317073173,0.07067663362478628,-0.1866666666666666,0.4085714285714286,-0.1866666666666667,0.4085714285714288,0.2127659574468086,0.3830845771144278,1.8628649992045578
all_candidate_trades,500,89,0.5168539325842697,0.023170731707317302,0.040676633624786275,-0.21666666666666662,0.3785714285714286,-0.21666666666666673,0.37857142857142884,0.2127659574468086,0.3830845771144278,1.4237626328187498
high_medium_feasibility,20,55,0.6545454545454545,0.14461134163208839,0.13292453772087484,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.1343924431086303,0.3816666666666668,3.281313576445221
high_medium_feasibility,50,55,0.6545454545454545,0.14161134163208838,0.1299245377208748,-0.1716666666666666,0.4235714285714286,-0.17166666666666672,0.4235714285714288,0.1343924431086303,0.3816666666666668,3.1908583264123
high_medium_feasibility,100,55,0.6545454545454545,0.13661134163208838,0.12492453772087483,-0.1766666666666666,0.4185714285714286,-0.17666666666666672,0.4185714285714288,0.1343924431086303,0.3816666666666668,3.0469263876806703
high_medium_feasibility,200,55,0.6363636363636364,0.1266113416320884,0.11492453772087481,-0.1866666666666666,0.4085714285714286,-0.1866666666666667,0.4085714285714288,0.1343924431086303,0.3816666666666668,2.7786900560056194
high_medium_feasibility,500,55,0.6181818181818182,0.09661134163208838,0.08492453772087483,-0.21666666666666662,0.3785714285714286,-0.21666666666666673,0.37857142857142884,0.1343924431086303,0.3816666666666668,2.124500699585828
high_feasibility_only,20,0,,,,,,,,,,
high_feasibility_only,50,0,,,,,,,,,,
high_feasibility_only,100,0,,,,,,,,,,
high_feasibility_only,200,0,,,,,,,,,,
high_feasibility_only,500,0,,,,,,,,,,
excluding_low_liquidity,20,67,0.6119402985074627,0.1127058823529412,0.11733447739079357,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.180940892641737,0.4297108673978065,2.792659619606987
excluding_low_liquidity,50,67,0.6119402985074627,0.1097058823529412,0.11433447739079355,-0.1716666666666666,0.4235714285714286,-0.17166666666666672,0.4235714285714288,0.180940892641737,0.4297108673978065,2.7162979802501503
excluding_low_liquidity,100,67,0.6119402985074627,0.1047058823529412,0.10933447739079358,-0.1766666666666666,0.4185714285714286,-0.17666666666666672,0.4185714285714288,0.180940892641737,0.4297108673978065,2.5947917239150593
excluding_low_liquidity,200,67,0.5970149253731343,0.0947058823529412,0.0993344773907936,-0.1866666666666666,0.4085714285714286,-0.1866666666666667,0.4085714285714288,0.180940892641737,0.4297108673978065,2.3693354871183274
excluding_low_liquidity,500,67,0.5671641791044776,0.0647058823529412,0.06933447739079357,-0.21666666666666662,0.3785714285714286,-0.21666666666666673,0.37857142857142884,0.180940892641737,0.4297108673978065,1.8159239372179345
excluding_extreme_wick_gap,20,77,0.5844155844155844,0.09074319674695029,0.09534623353338863,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.2021452145214521,0.3629629629629629,2.3602383860062237
excluding_extreme_wick_gap,50,77,0.5844155844155844,0.08774319674695029,0.09234623353338861,-0.1716666666666666,0.4235714285714286,-0.17166666666666672,0.4235714285714288,0.2021452145214521,0.3629629629629629,2.294416258872135
excluding_extreme_wick_gap,100,77,0.5844155844155844,0.0827431967469503,0.08734623353338862,-0.1766666666666666,0.4185714285714286,-0.17666666666666672,0.4185714285714288,0.2021452145214521,0.3629629629629629,2.189680421356885
excluding_extreme_wick_gap,200,77,0.5584415584415584,0.07274319674695029,0.07734623353338864,-0.1866666666666666,0.4085714285714286,-0.1866666666666667,0.4085714285714288,0.2021452145214521,0.3629629629629629,1.9953875464076727
excluding_extreme_wick_gap,500,77,0.5454545454545454,0.04274319674695029,0.04734623353338862,-0.21666666666666662,0.3785714285714286,-0.21666666666666673,0.37857142857142884,0.2021452145214521,0.3629629629629629,1.5205621961929305
excluding_unknown_shortability,20,0,,,,,,,,,,
excluding_unknown_shortability,50,0,,,,,,,,,,
excluding_unknown_shortability,100,0,,,,,,,,,,
excluding_unknown_shortability,200,0,,,,,,,,,,
excluding_unknown_shortability,500,0,,,,,,,,,,
