cluster_id,cluster_date_utc,announcement_title,announcement_url,event_id,token_symbol,symbol_pair,final_outcome,was_delisted_after_tag,publication_datetime_utc,hold_window,entry_price,exit_price,spot_raw_return,short_return_no_liq,margin_usdt,leverage,notional_usdt,pnl_usdt_no_liq,roi_on_margin_no_liq,pnl_usdt_liq_cap,roi_on_margin_liq_cap,liquidation_threshold_adverse_move,path_available,max_adverse_return_path,max_favorable_return_path,liquidation_touched_approx,liquidation_time_utc,price_source,window_price_source,missing_price_flag,missing_price_reason,manual_review_required,confidence_score
2025-03-04,2025-03-04,"Binance Will Change the Monitoring Tag Inclusion Frequency to Monthly and Extend the Monitoring Tag to Include AERGO, ALPACA, AST, BADGER, BURGER, COMBO, NULS, STPT, UFT & VIDT on 2025-03-04",https://www.binance.com/en/support/announcement/detail/d0a0b3c398264e9eb460f0e64324453c,abca945eb2bee96c,AERGO,AERGOUSDT,delisted_after_tag,yes,2025-03-04T08:01:22Z,1d,0.0692,0.0718,0.0375722543352601,-0.03621169916434552,100.0,10.0,1000.0,-36.211699164345525,-0.36211699164345523,-36.211699164345525,-0.36211699164345523,0.1,yes,0.08670520231213885,0.034379671150971625,no,,binance_spot,binance,no,,no,0.88
2025-03-04,2025-03-04,"Binance Will Change the Monitoring Tag Inclusion Frequency to Monthly and Extend the Monitoring Tag to Include AERGO, ALPACA, AST, BADGER, BURGER, COMBO, NULS, STPT, UFT & VIDT on 2025-03-04",https://www.binance.com/en/support/announcement/detail/d0a0b3c398264e9eb460f0e64324453c,abca945eb2bee96c,AERGO,AERGOUSDT,delisted_after_tag,yes,2025-03-04T08:01:22Z,3d,0.0692,0.0706,0.0202312138728324,-0.019830028328611915,100.0,10.0,1000.0,-19.830028328611917,-0.19830028328611918,-19.830028328611917,-0.19830028328611918,0.1,yes,0.09393063583815042,0.034379671150971625,no,,binance_spot,binance,no,,no,0.88
2025-03-04,2025-03-04,"Binance Will Change the Monitoring Tag Inclusion Frequency to Monthly and Extend the Monitoring Tag to Include AERGO, ALPACA, AST, BADGER, BURGER, COMBO, NULS, STPT, UFT & VIDT on 2025-03-04",https://www.binance.com/en/support/announcement/detail/d0a0b3c398264e9eb460f0e64324453c,abca945eb2bee96c,AERGO,AERGOUSDT,delisted_after_tag,yes,2025-03-04T08:01:22Z,7d,0.0692,0.0657,-0.050578034682081,0.05327245053272445,100.0,10.0,1000.0,53.27245053272445,0.5327245053272445,53.27245053272445,0.5327245053272445,0.1,yes,0.09393063583815042,0.1951640759930915,no,,binance_spot,binance,no,,no,0.88
2025-03-04,2025-03-04,"Binance Will Change the Monitoring Tag Inclusion Frequency to Monthly and Extend the Monitoring Tag to Include AERGO, ALPACA, AST, BADGER, BURGER, COMBO, NULS, STPT, UFT & VIDT on 2025-03-04",https://www.binance.com/en/support/announcement/detail/d0a0b3c398264e9eb460f0e64324453c,abca945eb2bee96c,AERGO,AERGOUSDT,delisted_after_tag,yes,2025-03-04T08:01:22Z,14d,0.0692,0.0787,0.1372832369942198,-0.12071156289707763,100.0,10.0,1000.0,-120.71156289707763,-1.2071156289707763,-100.0,-1.0,0.1,yes,0.3930635838150289,0.1951640759930915,yes,2025-03-18T04:59:59Z,binance_spot,binance,no,,no,0.88
2025-03-04,2025-03-04,"Binance Will Change the Monitoring Tag Inclusion Frequency to Monthly and Extend the Monitoring Tag to Include AERGO, ALPACA, AST, BADGER, BURGER, COMBO, NULS, STPT, UFT & VIDT on 2025-03-04",https://www.binance.com/en/support/announcement/detail/d0a0b3c398264e9eb460f0e64324453c,abca945eb2bee96c,AERGO,AERGOUSDT,delisted_after_tag,yes,2025-03-04T08:01:22Z,30d,0.0692,,,,100.0,10.0,1000.0,,,-100.0,-1.0,0.1,yes,0.3930635838150289,0.1951640759930915,yes,2025-03-18T04:59:59Z,binance_spot,missing,yes,true_data_gap,no,0.88
2026-05-22,2026-05-22,"Binance Will Extend the Monitoring Tag to Include ALCX, COOKIE, DODO, EPIC, HEI, HFT, STORJ, SYN & TLM on 2026-05-22",https://www.binance.com/en/support/announcement/detail/ca0f3a3ff83243b79102b4561c8ccdc2,4a1694681090a940,ALCX,ALCXUSDT,still_tagged,no,2026-05-22T08:00:04Z,1d,4.99,4.29,-0.1402805611222445,0.1631701631701632,100.0,10.0,1000.0,163.1701631701632,1.631701631701632,163.1701631701632,1.631701631701632,0.1,yes,0.01002004008016022,0.19377990430622027,no,,binance_spot,binance,no,,no,0.88
2026-05-22,2026-05-22,"Binance Will Extend the Monitoring Tag to Include ALCX, COOKIE, DODO, EPIC, HEI, HFT, STORJ, SYN & TLM on 2026-05-22",https://www.binance.com/en/support/announcement/detail/ca0f3a3ff83243b79102b4561c8ccdc2,4a1694681090a940,ALCX,ALCXUSDT,still_tagged,no,2026-05-22T08:00:04Z,3d,4.99,4.24,-0.1503006012024048,0.17688679245283012,100.0,10.0,1000.0,176.88679245283012,1.7688679245283012,176.88679245283012,1.7688679245283012,0.1,yes,0.01002004008016022,0.19377990430622027,no,,binance_spot,binance,no,,no,0.88
2026-05-22,2026-05-22,"Binance Will Extend the Monitoring Tag to Include ALCX, COOKIE, DODO, EPIC, HEI, HFT, STORJ, SYN & TLM on 2026-05-22",https://www.binance.com/en/support/announcement/detail/ca0f3a3ff83243b79102b4561c8ccdc2,4a1694681090a940,ALCX,ALCXUSDT,still_tagged,no,2026-05-22T08:00:04Z,7d,4.99,,,,100.0,10.0,1000.0,,,,,0.1,yes,0.01002004008016022,0.2170731707317075,no,,binance_spot,missing,yes,true_data_gap;benchmark_gap,no,0.88
2026-05-22,2026-05-22,"Binance Will Extend the Monitoring Tag to Include ALCX, COOKIE, DODO, EPIC, HEI, HFT, STORJ, SYN & TLM on 2026-05-22",https://www.binance.com/en/support/announcement/detail/ca0f3a3ff83243b79102b4561c8ccdc2,4a1694681090a940,ALCX,ALCXUSDT,still_tagged,no,2026-05-22T08:00:04Z,14d,4.99,,,,100.0,10.0,1000.0,,,,,0.1,yes,0.01002004008016022,0.2170731707317075,no,,binance_spot,missing,yes,true_data_gap;benchmark_gap,no,0.88
2026-05-22,2026-05-22,"Binance Will Extend the Monitoring Tag to Include ALCX, COOKIE, DODO, EPIC, HEI, HFT, STORJ, SYN & TLM on 2026-05-22",https://www.binance.com/en/support/announcement/detail/ca0f3a3ff83243b79102b4561c8ccdc2,4a1694681090a940,ALCX,ALCXUSDT,still_tagged,no,2026-05-22T08:00:04Z,30d,4.99,,,,100.0,10.0,1000.0,,,,,0.1,yes,0.01002004008016022,0.2170731707317075,no,,binance_spot,missing,yes,true_data_gap;benchmark_gap,no,0.88
