cluster_id,cluster_date_utc,hold_window,strategy_id,tokens_count,total_margin_usdt,total_notional_usdt,total_pnl_usdt,roi_on_margin,winning_tokens,losing_tokens,tp1_tokens,tp2_tokens,be_tokens,stopped_tokens,median_token_pnl,worst_token_pnl,best_token_pnl,tokens
2024-01-04,2024-01-04,14d,aggressive_10_be20_tp20_50,3,300.0,3000.0,-106.81818181818198,-0.35606060606060663,1,2,1,0,1,3,-90.90909090909093,-90.90909090909105,75.0,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,14d,balanced_10_be15_tp10_30,3,300.0,3000.0,-24.24242424242442,-0.0808080808080814,2,1,2,0,2,3,33.33333333333328,-90.90909090909105,33.33333333333335,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,14d,base_10_be20_tp15_30,3,300.0,3000.0,-35.347593582887825,-0.11782531194295942,1,2,2,0,1,3,-2.6737967914438485,-90.90909090909105,58.23529411764707,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,14d,defensive_7p5_be10_tp10_20,3,300.0,3000.0,94.12144702842372,0.31373815676141237,2,1,2,1,2,3,44.444444444444464,-69.76744186046513,119.44444444444437,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,14d,runner_only_10_no_be,3,300.0,3000.0,-94.52345407401596,-0.31507818024671985,1,2,0,0,0,2,-90.90909090909093,-90.90909090909105,87.29472774416602,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,1d,aggressive_10_be20_tp20_50,3,300.0,3000.0,124.13062863816116,0.41376876212720387,2,1,0,0,0,0,61.155630535638885,-10.612386917188577,73.58738501971085,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,1d,balanced_10_be15_tp10_30,3,300.0,3000.0,150.37439063822285,0.5012479687940762,2,1,2,0,0,0,76.1422747082805,-10.612386917188577,84.84450284713094,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,1d,base_10_be20_tp15_30,3,300.0,3000.0,124.13062863816116,0.41376876212720387,2,1,0,0,0,0,61.155630535638885,-10.612386917188577,73.58738501971085,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,1d,defensive_7p5_be10_tp10_20,3,300.0,3000.0,159.1223113049101,0.5304077043497004,2,1,2,0,2,0,81.1378227658277,-10.612386917188577,88.59687545627096,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,1d,runner_only_10_no_be,3,300.0,3000.0,124.13062863816116,0.41376876212720387,2,1,0,0,0,0,61.155630535638885,-10.612386917188577,73.58738501971085,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,30d,aggressive_10_be20_tp20_50,3,300.0,3000.0,-106.81818181818198,-0.35606060606060663,1,2,1,0,1,3,-90.90909090909093,-90.90909090909105,75.0,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,30d,balanced_10_be15_tp10_30,3,300.0,3000.0,-24.24242424242442,-0.0808080808080814,2,1,2,0,2,3,33.33333333333328,-90.90909090909105,33.33333333333335,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,30d,base_10_be20_tp15_30,3,300.0,3000.0,-35.347593582887825,-0.11782531194295942,1,2,2,0,1,3,-2.6737967914438485,-90.90909090909105,58.23529411764707,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,30d,defensive_7p5_be10_tp10_20,3,300.0,3000.0,94.12144702842372,0.31373815676141237,2,1,2,1,2,3,44.444444444444464,-69.76744186046513,119.44444444444437,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,30d,runner_only_10_no_be,3,300.0,3000.0,-36.620184549178816,-0.12206728183059605,1,2,0,0,0,2,-90.90909090909093,-90.90909090909105,145.19799726900317,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,3d,aggressive_10_be20_tp20_50,3,300.0,3000.0,146.22886788879143,0.48742955962930473,2,1,0,0,0,0,66.57963446475202,-5.769230769230638,85.41846419327004,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,3d,balanced_10_be15_tp10_30,3,300.0,3000.0,167.29610495805144,0.5576536831935048,2,1,2,0,0,0,79.93907745865977,-5.769230769230638,93.12625826862231,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,3d,base_10_be20_tp15_30,3,300.0,3000.0,146.22886788879143,0.48742955962930473,2,1,0,0,0,0,66.57963446475202,-5.769230769230638,85.41846419327004,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,3d,defensive_7p5_be10_tp10_20,3,300.0,3000.0,174.31851731447142,0.5810617243815714,2,1,2,0,2,0,84.39222512329567,-5.769230769230638,95.6955229604064,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,3d,runner_only_10_no_be,3,300.0,3000.0,146.22886788879143,0.48742955962930473,2,1,0,0,0,0,66.57963446475202,-5.769230769230638,85.41846419327004,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,60d,aggressive_10_be20_tp20_50,3,300.0,3000.0,-106.81818181818198,-0.35606060606060663,1,2,1,0,1,3,-90.90909090909093,-90.90909090909105,75.0,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,60d,balanced_10_be15_tp10_30,3,300.0,3000.0,-24.24242424242442,-0.0808080808080814,2,1,2,0,2,3,33.33333333333328,-90.90909090909105,33.33333333333335,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,60d,base_10_be20_tp15_30,3,300.0,3000.0,-35.347593582887825,-0.11782531194295942,1,2,2,0,1,3,-2.6737967914438485,-90.90909090909105,58.23529411764707,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,60d,defensive_7p5_be10_tp10_20,3,300.0,3000.0,94.12144702842372,0.31373815676141237,2,1,2,1,2,3,44.444444444444464,-69.76744186046513,119.44444444444437,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,60d,runner_only_10_no_be,3,300.0,3000.0,-272.7272727272729,-0.9090909090909097,0,3,0,0,0,3,-90.90909090909093,-90.90909090909105,-90.90909090909093,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,7d,aggressive_10_be20_tp20_50,3,300.0,3000.0,47.48902910685244,0.15829676368950815,2,1,1,0,1,1,14.906832298136496,-90.90909090909105,123.491287717807,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,7d,balanced_10_be15_tp10_30,3,300.0,3000.0,24.24886347538257,0.0808295449179419,2,1,2,0,2,2,33.33333333333335,-90.90909090909105,81.82462105114027,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,7d,base_10_be20_tp15_30,3,300.0,3000.0,81.96216463871266,0.27320721546237553,2,1,2,0,1,1,68.22287175739852,-90.90909090909105,104.64838379040519,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,7d,defensive_7p5_be10_tp10_20,3,300.0,3000.0,114.90342747891242,0.3830114249297081,2,1,2,1,2,2,44.444444444444464,-69.76744186046513,140.22642489493307,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,7d,runner_only_10_no_be,3,300.0,3000.0,-6.728990442658837,-0.022429968142196124,2,1,0,0,0,1,14.906832298136496,-90.90909090909105,69.27326816829571,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,90d,aggressive_10_be20_tp20_50,3,300.0,3000.0,-106.81818181818198,-0.35606060606060663,1,2,1,0,1,3,-90.90909090909093,-90.90909090909105,75.0,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,90d,balanced_10_be15_tp10_30,3,300.0,3000.0,-24.24242424242442,-0.0808080808080814,2,1,2,0,2,3,33.33333333333328,-90.90909090909105,33.33333333333335,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,90d,base_10_be20_tp15_30,3,300.0,3000.0,-35.347593582887825,-0.11782531194295942,1,2,2,0,1,3,-2.6737967914438485,-90.90909090909105,58.23529411764707,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,90d,defensive_7p5_be10_tp10_20,3,300.0,3000.0,94.12144702842372,0.31373815676141237,2,1,2,1,2,3,44.444444444444464,-69.76744186046513,119.44444444444437,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,90d,runner_only_10_no_be,3,300.0,3000.0,-272.7272727272729,-0.9090909090909097,0,3,0,0,0,3,-90.90909090909093,-90.90909090909105,-90.90909090909093,"ANT,ZEC,ZEN"
2024-04-03,2024-04-03,14d,aggressive_10_be20_tp20_50,2,200.0,2000.0,1164.2376827291512,5.821188413645756,2,0,2,1,2,0,582.1188413645756,396.2531752751905,767.9845074539608,"UNFI,WAVES"
2024-04-03,2024-04-03,14d,balanced_10_be15_tp10_30,2,200.0,2000.0,531.0797455491988,2.655398727745994,2,0,2,1,2,1,265.5398727745994,33.33333333333328,497.7464122158656,"UNFI,WAVES"
2024-04-03,2024-04-03,14d,base_10_be20_tp15_30,2,200.0,2000.0,887.4140961024946,4.437070480512473,2,0,2,2,2,0,443.7070480512473,355.70112210845383,531.7129739940407,"UNFI,WAVES"
2024-04-03,2024-04-03,14d,defensive_7p5_be10_tp10_20,2,200.0,2000.0,456.8733963428497,2.2843669817142485,2,0,2,1,2,1,228.43669817142484,44.44444444444437,412.4289518984053,"UNFI,WAVES"
2024-04-03,2024-04-03,14d,runner_only_10_no_be,2,200.0,2000.0,1435.5481323825225,7.177740661912612,2,0,0,0,0,0,717.7740661912612,458.9331075359864,976.6150248465361,"UNFI,WAVES"
2024-04-03,2024-04-03,1d,aggressive_10_be20_tp20_50,2,200.0,2000.0,227.29261057102178,1.136463052855109,2,0,0,0,0,0,113.64630528551089,45.13137557959812,182.16123499142367,"UNFI,WAVES"
2024-04-03,2024-04-03,1d,balanced_10_be15_tp10_30,2,200.0,2000.0,225.77149406638188,1.1288574703319094,2,0,2,0,1,0,112.88574703319094,64.92529623905203,160.84619782732986,"UNFI,WAVES"
2024-04-03,2024-04-03,1d,base_10_be20_tp15_30,2,200.0,2000.0,225.414697141499,1.127073485707495,2,0,1,0,0,0,112.7073485707495,45.13137557959812,180.2833215619009,"UNFI,WAVES"
2024-04-03,2024-04-03,1d,defensive_7p5_be10_tp10_20,2,200.0,2000.0,225.26445523150193,1.1263222761575096,2,0,2,0,2,0,112.63222761575096,71.52326979220334,153.7411854392986,"UNFI,WAVES"
2024-04-03,2024-04-03,1d,runner_only_10_no_be,2,200.0,2000.0,227.29261057102178,1.136463052855109,2,0,0,0,0,0,113.64630528551089,45.13137557959812,182.16123499142367,"UNFI,WAVES"
2024-04-03,2024-04-03,30d,aggressive_10_be20_tp20_50,2,200.0,2000.0,1105.3994011655884,5.526997005827942,2,0,2,1,2,0,552.6997005827942,397.11864406779677,708.2807570977917,"UNFI,WAVES"
2024-04-03,2024-04-03,30d,balanced_10_be15_tp10_30,2,200.0,2000.0,471.3759951930298,2.356879975965149,2,0,2,1,2,1,235.6879975965149,33.33333333333328,438.0426618596965,"UNFI,WAVES"
2024-04-03,2024-04-03,30d,base_10_be20_tp15_30,2,200.0,2000.0,820.1702162552451,4.100851081276225,2,0,2,2,2,0,410.08510812762256,356.1214926648626,464.0487235903825,"UNFI,WAVES"
2024-04-03,2024-04-03,30d,defensive_7p5_be10_tp10_20,2,200.0,2000.0,397.1696459866806,1.985848229933403,2,0,2,1,2,1,198.5848229933403,44.44444444444437,352.7252015422362,"UNFI,WAVES"
2024-04-03,2024-04-03,30d,runner_only_10_no_be,2,200.0,2000.0,1237.77201518473,6.18886007592365,2,0,0,0,0,0,618.886007592365,460.16949152542395,777.602523659306,"UNFI,WAVES"
2024-04-03,2024-04-03,3d,aggressive_10_be20_tp20_50,2,200.0,2000.0,407.4184713371827,2.0370923566859136,2,0,1,0,1,0,203.70923566859136,144.85049833887052,262.5679729983122,"UNFI,WAVES"
2024-04-03,2024-04-03,3d,balanced_10_be15_tp10_30,2,200.0,2000.0,355.6299885021883,1.7781499425109417,2,0,2,0,2,0,177.81499425109416,134.72868217054267,220.90130633164563,"UNFI,WAVES"
2024-04-03,2024-04-03,3d,base_10_be20_tp15_30,2,200.0,2000.0,393.0497677064362,1.9652488385321811,2,0,2,0,1,0,196.5248838532181,155.2851280046903,237.76463970174595,"UNFI,WAVES"
2024-04-03,2024-04-03,3d,defensive_7p5_be10_tp10_20,2,200.0,2000.0,331.18546203434494,1.6559273101717247,2,0,2,1,2,0,165.59273101717247,131.35474344776668,199.83071858657826,"UNFI,WAVES"
2024-04-03,2024-04-03,3d,runner_only_10_no_be,2,200.0,2000.0,412.80474547931664,2.064023727396583,2,0,0,0,0,0,206.40237273965832,144.85049833887052,267.9542471404461,"UNFI,WAVES"
2024-04-03,2024-04-03,60d,aggressive_10_be20_tp20_50,2,200.0,2000.0,998.0847932699418,4.9904239663497085,2,0,2,1,2,0,499.0423966349709,385.9807208717518,612.1040723981899,"UNFI,WAVES"
2024-04-03,2024-04-03,60d,balanced_10_be15_tp10_30,2,200.0,2000.0,375.199310493428,1.87599655246714,2,0,2,1,2,1,187.599655246714,33.33333333333328,341.86597716009476,"UNFI,WAVES"
2024-04-03,2024-04-03,60d,base_10_be20_tp15_30,2,200.0,2000.0,705.7601251861888,3.528800625930944,2,0,2,2,2,0,352.8800625930944,350.71164425535505,355.0484809308338,"UNFI,WAVES"
2024-04-03,2024-04-03,60d,defensive_7p5_be10_tp10_20,2,200.0,2000.0,300.99296128707874,1.5049648064353938,2,0,2,1,2,1,150.49648064353937,44.44444444444437,256.5485168426344,"UNFI,WAVES"
