event_id,token_symbol,event_time,scenario,is_research_eligible,confidence_level,next_risk_event_type,time_from_tag_to_next_risk_event,time_from_tag_to_delisting,return_7d_after_tag,return_30d_after_tag,return_90d_after_tag,alt_adj_return_30d_after_tag,alt_adj_return_90d_after_tag,max_drawdown_after_tag,recovery_after_tag,failed_recovery_flag,delayed_collapse_candidate_score,path_data_available_90d
832b8eba4d6c1d29,WNXM,2024-04-03T06:00:16Z,TAG_TO_DELISTING_TO_COLLAPSE,yes,high,SPOT_TOKEN_DELISTING_ANNOUNCED,60.8750462962963,60.0,0.0783034257748773,-0.0215037816995402,0.1150823075782292,0.1592400405839001,0.3201038198808408,-0.15304760492362457,yes,no,0.35,yes
f19444577bbd2958,BAL,2024-07-01T07:00:03Z,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,yes,high,SPOT_TOKEN_DELISTING_ANNOUNCED,280.95837962962963,280.0,-0.1828495161828495,-0.2042042042042042,-0.2792792792792792,-0.2326024966337969,-0.2882328469367177,-0.49215882549215884,yes,no,0.4,yes
73bd41c12e1c9037,CTXC,2024-07-01T07:00:03Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,SPOT_TOKEN_DELISTING_ANNOUNCED,280.95837962962963,280.0,-0.4085621219171709,-0.0465332712889716,-0.1870637505816659,-0.0749315637185643,-0.1960173182391044,-0.4834806886924151,yes,no,0.35,yes
e03ecc015ad077ba,CVP,2024-07-01T07:00:03Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,SPOT_TOKEN_DELISTING_ANNOUNCED,42.000092592592594,42.0,-0.257070340826686,0.409354604786077,,0.3809563123564843,,-0.8810732414793329,yes,no,0.35,yes
f516a957212c330b,CVX,2024-07-01T07:00:03Z,TAG_REMOVED_AND_RECOVERED,yes,high,MONITORING_TAG_REMOVED,185.08351851851853,,-0.3000621890547265,-0.0827114427860696,-0.330223880597015,-0.1111097352156623,-0.3391774482544535,-0.4402985074626866,yes,no,0.35,yes
c13b1dfe2436783d,DOCK,2024-07-01T07:00:03Z,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,no,medium,SPOT_TOKEN_DELISTING_ANNOUNCED,7.000763888888889,7.0,-0.685370741482966,,,,,-0.812625250501002,no,yes,0.3,yes
c54abb522c3fe7f3,HARD,2024-07-01T07:00:03Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,SPOT_TOKEN_DELISTING_ANNOUNCED,280.95837962962963,280.0,-0.3520661157024793,-0.2140495867768594,0.0735537190082644,-0.2424478792064521,0.0646001513508259,-0.44628099173553715,yes,no,0.55,yes
92f6841824deef01,IRIS,2024-07-01T07:00:03Z,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,yes,high,SPOT_TOKEN_DELISTING_ANNOUNCED,148.06262731481482,148.0,-0.3119312436804853,-0.1804853387259858,-0.1905965621840242,-0.2088836311555784,-0.1995501298414627,-0.41911021233569257,yes,no,0.4,yes
fb4cbaedb67a967c,MBL,2024-07-01T07:00:03Z,TAG_REMOVED_AND_RECOVERED,yes,high,MONITORING_TAG_REMOVED,464.8123726851852,,-0.166980067694622,0.0293343362166227,0.1184655885671306,0.00093604378703,0.1095120209096921,-0.3606619029710417,yes,no,0.1,yes
167819d9a56f2560,POLS,2024-07-01T07:00:03Z,TAG_TO_DELISTING_TO_COLLAPSE,yes,high,SPOT_TOKEN_DELISTING_ANNOUNCED,7.000763888888889,7.0,-0.4435291964122277,-0.5024711696869852,-0.4160717554457258,-0.5308694621165779,-0.4250253231031643,-0.47977301848801024,no,yes,1.0,yes
