cluster_id,cluster_date_utc,hold_window,stop_model,be_model,tokens_count,total_margin_usdt,total_notional_usdt,total_pnl_usdt,roi_on_margin,winning_tokens,losing_tokens,stopped_tokens,breakeven_tokens,median_token_pnl,worst_token_pnl,best_token_pnl,tokens
2024-01-04,2024-01-04,12h,no_stop,be_after_10,3,300.0,3000.0,-1.299557685922382,-0.004331858953074607,2,1,0,0,8.917197452229297,-20.83333333333337,10.616578195181692,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,no_stop,be_after_15,3,300.0,3000.0,-1.299557685922382,-0.004331858953074607,2,1,0,0,8.917197452229297,-20.83333333333337,10.616578195181692,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,no_stop,be_after_20,3,300.0,3000.0,-1.299557685922382,-0.004331858953074607,2,1,0,0,8.917197452229297,-20.83333333333337,10.616578195181692,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,no_stop,be_after_5,3,300.0,3000.0,-10.21675513815168,-0.0340558504605056,1,1,0,1,0.0,-20.83333333333337,10.616578195181692,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,no_stop,no_be,3,300.0,3000.0,-1.299557685922382,-0.004331858953074607,2,1,0,0,8.917197452229297,-20.83333333333337,10.616578195181692,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_10,be_after_10,3,300.0,3000.0,-1.299557685922382,-0.004331858953074607,2,1,0,0,8.917197452229297,-20.83333333333337,10.616578195181692,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_10,be_after_15,3,300.0,3000.0,-1.299557685922382,-0.004331858953074607,2,1,0,0,8.917197452229297,-20.83333333333337,10.616578195181692,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_10,be_after_20,3,300.0,3000.0,-1.299557685922382,-0.004331858953074607,2,1,0,0,8.917197452229297,-20.83333333333337,10.616578195181692,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_10,be_after_5,3,300.0,3000.0,-10.21675513815168,-0.0340558504605056,1,1,0,1,0.0,-20.83333333333337,10.616578195181692,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_10,no_be,3,300.0,3000.0,-1.299557685922382,-0.004331858953074607,2,1,0,0,8.917197452229297,-20.83333333333337,10.616578195181692,"ANT,ZEC,ZEN"
