token_entity_id,token_symbol,anchor_event_id,signal_timestamp_utc,signal_type,signal_price,recent_low_price,stop_price,risk_pct,quote_volume_at_signal,volume_zscore_at_signal,bottom_liquidity_score,signal_liquidity_score,signal_confirmation_score,risk_management_score,execution_quality_score,data_quality_score,liquidity_score,confirmation_score,structure_score,risk_reward_score,source_quality_score,manual_review_penalty,signal_quality_score,final_tradeability_score,tradeability_tier,manual_review_required,notes
COMBO,COMBO,ddd8722fcd3a9596,2025-03-12T01:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.1573,0.0436,0.042728,-0.7283661792752701,166136.47157,3.054470310821704,1.0,0.554,0.6,0.35,0.85,1.0,0.554,0.6,0.45,0.055,1.0,0.0,0.527,0.527,C,no,causal_signal_after_confirmation;no_future_low_used
COOKIE,COOKIE,a5602175aafd748b,2026-05-29T11:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0118,0.0114,0.011172,-0.0532203389830509,22176.98533,1.5550635851978662,0.468,0.074,1.0,0.9,0.35,1.0,0.074,1.0,0.8,1.0,1.0,0.6,0.089,0.089,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
COS,COS,a69cfb015113f6cc,2026-03-14T08:00:00+00:00,HIGHER_LOW_BREAKOUT,0.001639,0.000948,0.0009290399999999999,-0.4331665649786456,2692062.85912,2.8284328539994017,0.087,1.0,1.0,0.35,0.85,1.0,1.0,1.0,0.45,0.49,1.0,0.08,0.703,0.703,C,no,"low liquidity at bottom, but signal liquidity improved"
CREAM,CREAM,c7f6923d690b160e,2025-04-15T16:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,1.31,0.99,0.9702,-0.25938931297709933,277183.92375,2.8744076041219984,0.747,0.924,0.6,0.65,0.85,1.0,0.924,0.6,0.45,0.922,1.0,0.0,0.812,0.812,B,no,causal_signal_after_confirmation;no_future_low_used
CTXC,CTXC,73bd41c12e1c9037,2024-07-09T13:00:00+00:00,HIGHER_LOW_BREAKOUT,0.1366,0.1185,0.11613,-0.1498535871156662,586511.4557,4.419231955235922,1.0,1.0,1.0,0.9,0.85,1.0,1.0,1.0,0.8,0.91,1.0,0.0,0.947,0.947,B,no,causal_signal_after_confirmation;no_future_low_used
CTXC,CTXC,73bd41c12e1c9037,2024-07-09T04:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.1291,0.1184,0.116032,-0.10122385747482565,142674.9396,2.1411235041142467,1.0,0.476,0.8,0.9,0.85,1.0,0.476,0.8,0.8,1.0,1.0,0.0,0.808,0.808,A,no,causal_signal_after_confirmation;no_future_low_used
DEGO,DEGO,6cca4d0784f78049,2026-03-13T11:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.951,0.555,0.5439,-0.42807570977917975,1534153.39256,2.9326205851258655,0.404,1.0,1.0,0.35,0.35,1.0,1.0,1.0,0.45,0.392,1.0,0.0,0.696,0.696,C,no,causal_signal_after_confirmation;no_future_low_used
DENT,DENT,61e888f9a9a6a36e,2025-12-09T15:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.000254,0.00023,0.0002254,-0.11259842519685037,46694.294023,1.525579897412238,0.102,0.156,0.8,0.9,0.35,1.0,0.156,0.8,0.8,0.035,1.0,0.35,0.144,0.144,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
EPIC,EPIC,c518920624770484,2026-06-01T05:00:00+00:00,HIGHER_LOW_BREAKOUT,0.277,0.229,0.22442,-0.1898194945848376,284460.5106,4.132890939387055,0.155,0.948,1.0,0.9,0.85,1.0,0.948,1.0,0.8,1.0,1.0,0.08,0.872,0.872,B,no,"low liquidity at bottom, but signal liquidity improved"
EPX,EPX,daa09b139684a4a8,2024-04-10T21:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.000269,0.0002523,0.00024725400000000003,-0.08084014869888456,266988.7536443,3.7910334354551543,0.769,0.89,0.8,0.9,0.35,1.0,0.89,0.8,0.8,0.178,1.0,0.0,0.681,0.681,C,no,causal_signal_after_confirmation;no_future_low_used
FIS,FIS,b61c4ff537847d96,2025-06-13T23:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.1047,0.0965,0.09457,-0.09675262655205352,78514.4093,2.4998303049037283,0.569,0.262,0.6,0.9,0.35,1.0,0.262,0.6,0.8,0.036,1.0,0.6,0.0,0.0,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
FLM,FLM,725932a8252a9eab,2025-04-25T05:00:00+00:00,HIGHER_LOW_BREAKOUT,0.0381,0.0179,0.017542,-0.5395800524934384,5997805.7669,3.801826162489708,0.339,1.0,0.8,0.35,0.85,1.0,1.0,0.8,0.45,0.251,1.0,0.0,0.7,0.7,C,no,causal_signal_after_confirmation;no_future_low_used
FLM,FLM,725932a8252a9eab,2025-04-13T17:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0157,0.0153,0.014993999999999999,-0.044968152866242006,80296.2096,3.363562490819336,0.339,0.268,0.8,0.9,0.35,1.0,0.268,0.8,0.8,1.0,1.0,0.6,0.092,0.092,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
FLOW,FLOW,6a25698db0b92de7,2026-04-04T01:00:00+00:00,CAPITULATION_RECLAIM,0.03085,0.02804,0.0274792,-0.10926418152350081,44471.582088,-0.07201576954955577,1.0,0.148,0.5,0.9,0.85,1.0,0.148,0.5,0.8,0.268,1.0,0.6,0.0,0.0,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
FLOW,FLOW,6a25698db0b92de7,2026-01-09T15:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.093,0.087,0.08525999999999999,-0.08322580645161304,164028.02511,1.7423931117979046,1.0,0.547,0.8,0.9,0.35,1.0,0.547,0.8,0.8,0.086,1.0,0.0,0.589,0.589,C,no,causal_signal_after_confirmation;no_future_low_used
FOR,FOR,419b41fc1bb70d43,2024-04-10T08:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.02597,0.02515,0.024647,-0.050943396226415194,139800.39184,1.876788646142881,0.507,0.466,0.8,0.9,0.35,1.0,0.466,0.8,0.8,0.232,1.0,0.0,0.597,0.597,C,no,causal_signal_after_confirmation;no_future_low_used
