hold_window,stop_model,be_model,token_trades,clusters,total_margin_usdt,total_pnl_usdt,roi_on_margin,token_win_rate,cluster_win_rate,median_token_pnl,median_cluster_roi,p25_token_pnl,p75_token_pnl,best_token_pnl,worst_token_pnl,profit_factor,stopped_out_rate,breakeven_exit_rate,median_mfe,median_mae,max_mae
12h,no_stop,be_after_10,119,20,11900.0,5197.3321545402005,0.4367506012218656,0.6386554621848739,0.8,21.052631578947434,0.3771766973296524,0.0,72.53458077526275,847.8109798471161,-126.1008807045636,9.056492697539975,0.0,0.17647058823529413,0.09855769230769229,0.014698428788646467,0.6113958396141093
12h,no_stop,be_after_15,119,20,11900.0,6282.341279380542,0.5279278386034069,0.7310924369747899,0.9,44.00000000000004,0.5123547934311075,0.0,84.68913068983264,847.8109798471161,-126.1008807045636,8.74103666383191,0.0,0.06722689075630252,0.09855769230769229,0.014830194275545105,0.6113958396141093
12h,no_stop,be_after_20,119,20,11900.0,6888.273994165653,0.5788465541315675,0.773109243697479,1.0,46.68435013262595,0.5123547934311075,6.743197462400041,90.97559713973935,847.8109798471161,-126.1008807045636,8.494411162031588,0.0,0.01680672268907563,0.09855769230769229,0.016105417276720324,0.6113958396141093
12h,no_stop,be_after_5,119,20,11900.0,3374.462460668845,0.28356827400578527,0.42857142857142855,0.85,0.0,0.15896064157310894,0.0,44.25087108013936,847.8109798471161,-66.61004610531418,8.626649966010723,0.0,0.4369747899159664,0.08074534161490687,0.012746234067207318,0.6113958396141093
12h,no_stop,no_be,119,20,11900.0,7297.82865120955,0.6132629118663487,0.7899159663865546,1.0,48.19277108433728,0.5525953596619493,9.663646044726693,95.70327925552924,847.8109798471161,-126.1008807045636,8.940004789087007,0.0,0.0,0.09855769230769229,0.016105417276720324,0.6113958396141093
12h,stop_10,be_after_10,119,20,11900.0,4730.63915082497,0.39753270174999744,0.6302521008403361,0.8,19.543973941368087,0.3232604983118166,0.0,72.53458077526275,847.8109798471161,-90.90909090909105,5.485458778774277,0.058823529411764705,0.15966386554621848,0.09565217391304359,0.014698428788646467,0.4621646065722038
12h,stop_10,be_after_15,119,20,11900.0,5481.665122175817,0.46064412791393416,0.7058823529411765,0.85,38.63636363636358,0.3232604983118166,0.0,84.19283525492006,847.8109798471161,-90.90909090909105,5.433284847244079,0.07563025210084033,0.06722689075630252,0.09565217391304359,0.014830194275545105,0.4621646065722038
12h,stop_10,be_after_20,119,20,11900.0,6104.246885586721,0.5129619231585479,0.7478991596638656,0.95,44.345898004434446,0.4359582955325203,0.5651846269781879,87.87461472883462,847.8109798471161,-90.90909090909105,5.598689233093812,0.08403361344537816,0.01680672268907563,0.09565217391304359,0.016105417276720324,0.4621646065722038
12h,stop_10,be_after_5,119,20,11900.0,2872.577667158141,0.2413930812737934,0.42016806722689076,0.75,0.0,0.10935741177339597,0.0,44.07792207792216,847.8109798471161,-90.90909090909105,4.237806634802836,0.05042016806722689,0.42016806722689076,0.07851239669421495,0.012746234067207318,0.4621646065722038
12h,stop_10,no_be,119,20,11900.0,6513.801542630617,0.5473782808933292,0.7647058823529411,0.95,46.666666666666636,0.4359582955325203,5.003310555048879,93.30602719284452,847.8109798471161,-90.90909090909105,5.907230913502954,0.08403361344537816,0.0,0.09565217391304359,0.016105417276720324,0.4621646065722038
