token_entity_id,token_symbol,anchor_event_id,signal_timestamp_utc,signal_type,signal_price,recent_low_price,stop_price,risk_pct,quote_volume_at_signal,volume_zscore_at_signal,bottom_liquidity_score,signal_liquidity_score,signal_confirmation_score,risk_management_score,execution_quality_score,data_quality_score,liquidity_score,confirmation_score,structure_score,risk_reward_score,source_quality_score,manual_review_penalty,signal_quality_score,final_tradeability_score,tradeability_tier,manual_review_required,notes
PYTH,PYTH,892c4aa7b773f859,2025-07-13T04:00:00+00:00,HIGHER_LOW_BREAKOUT,0.1231,0.1106,0.108388,-0.11951259138911452,1130045.18841,1.3816700107584634,0.353,1.0,0.5,0.9,0.85,1.0,1.0,0.5,0.8,0.442,1.0,0.0,0.763,0.763,C,no,causal_signal_after_confirmation;no_future_low_used
REI,REI,95453d2e61ce0ed3,2025-07-03T06:00:00+00:00,HIGHER_LOW_BREAKOUT,0.01613,0.01441,0.014121799999999999,-0.12450092994420336,25154.825124,0.1343023395034835,0.243,0.084,0.7,0.9,0.85,1.0,0.084,0.7,0.8,0.624,1.0,0.35,0.284,0.284,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
REN,REN,55c6f3a56b85b5ee,2024-11-30T08:00:00+00:00,HIGHER_LOW_BREAKOUT,0.0577,0.0377,0.036946,-0.3596880415944541,7167818.53251,0.42472576268457335,1.0,1.0,0.5,0.35,0.85,1.0,1.0,0.5,0.45,0.106,1.0,0.0,0.614,0.614,C,no,causal_signal_after_confirmation;no_future_low_used
SNT,SNT,bf72bb1d09062290,2024-08-08T21:00:00+00:00,HIGHER_LOW_BREAKOUT,0.02179,0.01951,0.0191198,-0.12254245066544289,32734.93677,-0.7047921269866912,1.0,0.109,0.7,0.9,0.85,1.0,0.109,0.7,0.8,0.127,1.0,0.6,0.0,0.0,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
STMX,STMX,c7d11f997d396961,2025-02-11T06:00:00+00:00,HIGHER_LOW_BREAKOUT,0.004785,0.004123,0.00404054,-0.15558202716823422,18966.579906,-0.4722197148714469,1.0,0.063,0.5,0.9,0.35,1.0,0.063,0.5,0.8,0.046,1.0,0.6,0.0,0.0,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
STPT,STPT,34739c73dc72f1d0,2025-04-23T12:00:00+00:00,HIGHER_LOW_BREAKOUT,0.05117,0.03726,0.0365148,-0.2864021887824898,1549593.812763,4.4046780932937,1.0,1.0,0.8,0.65,0.85,1.0,1.0,0.8,0.45,0.224,1.0,0.0,0.743,0.743,C,no,causal_signal_after_confirmation;no_future_low_used
STPT,STPT,34739c73dc72f1d0,2025-03-11T13:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.06086,0.05737,0.0562226,-0.07619783108774236,337766.417177,2.22055229513913,1.0,1.0,0.8,0.9,0.35,1.0,1.0,0.8,0.8,0.29,1.0,0.0,0.725,0.725,C,no,causal_signal_after_confirmation;no_future_low_used
SUN,SUN,d40e87ef3d1ebf58,2024-08-13T17:00:00+00:00,HIGHER_LOW_BREAKOUT,0.00909,0.00887,0.0086926,-0.043718371837183856,112992.58502,2.7390616219031263,1.0,0.377,0.8,0.9,0.85,1.0,0.377,0.8,0.8,1.0,1.0,0.0,0.786,0.786,B,no,causal_signal_after_confirmation;no_future_low_used
SXP,SXP,cf537e599c97af65,2025-12-08T16:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0547,0.0536,0.052528,-0.039707495429616047,51009.39521,1.542037311600635,0.371,0.17,1.0,0.9,0.85,1.0,0.17,1.0,0.8,1.0,1.0,0.6,0.18,0.18,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
SYS,SYS,3635c4847266eeb7,2026-04-24T09:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.00999,0.00961,0.0094178,-0.05727727727727727,10799.0984,2.5198195266497603,0.251,0.036,0.8,0.9,0.35,1.0,0.036,0.8,0.8,0.192,1.0,0.6,0.0,0.0,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
THE,THE,2992917afa584581,2025-07-14T04:00:00+00:00,HIGHER_LOW_BREAKOUT,0.3195,0.2678,0.26244399999999996,-0.17857902973395945,2494743.94831,4.472435976633919,0.392,1.0,1.0,0.9,0.85,1.0,1.0,1.0,0.8,1.0,1.0,0.0,0.963,0.963,A,no,causal_signal_after_confirmation;no_future_low_used
TROY,TROY,db0cdaac498440e7,2025-01-10T12:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.003408,0.003022,0.00296156,-0.13099765258215967,1857556.978721,3.3927700203628985,1.0,1.0,0.8,0.9,0.35,1.0,1.0,0.8,0.8,0.0,1.0,0.0,0.673,0.673,C,no,causal_signal_after_confirmation;no_future_low_used
