cluster_id,cluster_date_utc,event_id,token_symbol,symbol_pair,shortability_status,publication_datetime_utc,hold_window,strategy_id,strategy_name,stop_pct,be_trigger_pct,tp1_pct,tp1_weight,tp2_pct,tp2_weight,runner_weight,price_interval,entry_timestamp_utc,entry_price,entry_quote_volume,missing_path_flag,path_issue,manual_review_required,exit_timestamp_utc,exit_reason,pnl_usdt,roi_on_margin,open_weight_at_time_exit,tp1_hit,tp1_time_utc,tp2_hit,tp2_time_utc,be_active,be_time_utc,stop_triggered,stop_time_utc,max_favorable_excursion,max_adverse_excursion,time_to_mfe_hours,time_to_mae_hours
2024-01-04,2024-01-04,0530e835539c12c2,ZEC,ZECUSDT,confirmed,2024-01-04T07:00:09Z,1d,balanced_10_be15_tp10_30,"Balanced: stop 10%, BE +15%, TP +10/+30",0.1,0.15,0.1,0.3,0.3,0.4,0.3,15m,2024-01-04T07:15:00Z,25.16,275873.03738,no,,no,2024-01-05T07:29:59Z,time_exit_partial,76.1422747082805,0.761422747082805,0.7,yes,2024-01-05T01:59:59Z,no,,no,,no,,0.14259763851044505,0.0003974562798092496,18.74999972222222,0.24999972222222222
2024-01-04,2024-01-04,0530e835539c12c2,ZEC,ZECUSDT,confirmed,2024-01-04T07:00:09Z,1d,aggressive_10_be20_tp20_50,"Aggressive: stop 10%, BE +20%, TP +20/+50",0.1,0.2,0.2,0.3,0.5,0.4,0.3,15m,2024-01-04T07:15:00Z,25.16,275873.03738,no,,no,2024-01-05T07:29:59Z,time_exit,61.155630535638885,0.6115563053563888,1.0,no,,no,,no,,no,,0.14259763851044505,0.0003974562798092496,18.74999972222222,0.24999972222222222
2024-01-04,2024-01-04,0530e835539c12c2,ZEC,ZECUSDT,confirmed,2024-01-04T07:00:09Z,1d,runner_only_10_no_be,"Runner only: stop 10%, no BE, no partial TP",0.1,,,0.0,,0.0,1.0,15m,2024-01-04T07:15:00Z,25.16,275873.03738,no,,no,2024-01-05T07:29:59Z,time_exit,61.155630535638885,0.6115563053563888,1.0,no,,no,,no,,no,,0.14259763851044505,0.0003974562798092496,18.74999972222222,0.24999972222222222
2024-01-04,2024-01-04,0530e835539c12c2,ZEC,ZECUSDT,confirmed,2024-01-04T07:00:09Z,3d,defensive_7p5_be10_tp10_20,"Defensive: stop 7.5%, BE +10%, TP +10/+20",0.075,0.1,0.1,0.4,0.2,0.3,0.3,15m,2024-01-04T07:15:00Z,25.16,275873.03738,no,,no,2024-01-07T07:29:59Z,time_exit_partial,95.6955229604064,0.956955229604064,0.6,yes,2024-01-05T01:59:59Z,no,,yes,2024-01-05T01:59:59Z,no,,0.14259763851044505,0.0003974562798092496,18.74999972222222,0.24999972222222222
2024-01-04,2024-01-04,0530e835539c12c2,ZEC,ZECUSDT,confirmed,2024-01-04T07:00:09Z,3d,base_10_be20_tp15_30,"Base: stop 10%, BE +20%, TP +15/+30",0.1,0.2,0.15,0.33,0.3,0.33,0.34,15m,2024-01-04T07:15:00Z,25.16,275873.03738,no,,no,2024-01-07T07:29:59Z,time_exit,85.41846419327004,0.8541846419327004,1.0,no,,no,,no,,no,,0.14259763851044505,0.0003974562798092496,18.74999972222222,0.24999972222222222
2024-01-04,2024-01-04,0530e835539c12c2,ZEC,ZECUSDT,confirmed,2024-01-04T07:00:09Z,3d,balanced_10_be15_tp10_30,"Balanced: stop 10%, BE +15%, TP +10/+30",0.1,0.15,0.1,0.3,0.3,0.4,0.3,15m,2024-01-04T07:15:00Z,25.16,275873.03738,no,,no,2024-01-07T07:29:59Z,time_exit_partial,93.12625826862231,0.9312625826862231,0.7,yes,2024-01-05T01:59:59Z,no,,no,,no,,0.14259763851044505,0.0003974562798092496,18.74999972222222,0.24999972222222222
2024-01-04,2024-01-04,0530e835539c12c2,ZEC,ZECUSDT,confirmed,2024-01-04T07:00:09Z,3d,aggressive_10_be20_tp20_50,"Aggressive: stop 10%, BE +20%, TP +20/+50",0.1,0.2,0.2,0.3,0.5,0.4,0.3,15m,2024-01-04T07:15:00Z,25.16,275873.03738,no,,no,2024-01-07T07:29:59Z,time_exit,85.41846419327004,0.8541846419327004,1.0,no,,no,,no,,no,,0.14259763851044505,0.0003974562798092496,18.74999972222222,0.24999972222222222
2024-01-04,2024-01-04,0530e835539c12c2,ZEC,ZECUSDT,confirmed,2024-01-04T07:00:09Z,3d,runner_only_10_no_be,"Runner only: stop 10%, no BE, no partial TP",0.1,,,0.0,,0.0,1.0,15m,2024-01-04T07:15:00Z,25.16,275873.03738,no,,no,2024-01-07T07:29:59Z,time_exit,85.41846419327004,0.8541846419327004,1.0,no,,no,,no,,no,,0.14259763851044505,0.0003974562798092496,18.74999972222222,0.24999972222222222
2024-01-04,2024-01-04,0530e835539c12c2,ZEC,ZECUSDT,confirmed,2024-01-04T07:00:09Z,7d,defensive_7p5_be10_tp10_20,"Defensive: stop 7.5%, BE +10%, TP +10/+20",0.075,0.1,0.1,0.4,0.2,0.3,0.3,15m,2024-01-04T07:15:00Z,25.16,275873.03738,no,,no,2024-01-11T07:29:59Z,time_exit_partial,140.22642489493307,1.4022642489493307,0.3,yes,2024-01-05T01:59:59Z,yes,2024-01-09T09:29:59Z,yes,2024-01-05T01:59:59Z,no,,0.3600000000000001,0.0003974562798092496,125.74999972222223,0.24999972222222222
2024-01-04,2024-01-04,0530e835539c12c2,ZEC,ZECUSDT,confirmed,2024-01-04T07:00:09Z,7d,base_10_be20_tp15_30,"Base: stop 10%, BE +20%, TP +15/+30",0.1,0.2,0.15,0.33,0.3,0.33,0.34,15m,2024-01-04T07:15:00Z,25.16,275873.03738,no,,no,2024-01-11T07:29:59Z,time_exit_partial,104.64838379040519,1.046483837904052,0.6699999999999999,yes,2024-01-08T00:59:59Z,no,,yes,2024-01-09T09:29:59Z,no,,0.3600000000000001,0.0003974562798092496,125.74999972222223,0.24999972222222222
2024-01-04,2024-01-04,0530e835539c12c2,ZEC,ZECUSDT,confirmed,2024-01-04T07:00:09Z,7d,balanced_10_be15_tp10_30,"Balanced: stop 10%, BE +15%, TP +10/+30",0.1,0.15,0.1,0.3,0.3,0.4,0.3,15m,2024-01-04T07:15:00Z,25.16,275873.03738,no,,no,2024-01-11T07:29:59Z,time_exit_partial,81.82462105114027,0.8182462105114027,0.7,yes,2024-01-05T01:59:59Z,no,,yes,2024-01-08T00:59:59Z,no,,0.3600000000000001,0.0003974562798092496,125.74999972222223,0.24999972222222222
