stop_loss,take_profit,holding_days,trailing_variant,n_trades,valid_path_rate,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,profit_factor,expectancy,stop_hit_rate,tp_hit_rate,trailing_hit_rate,timeout_exit_rate,median_holding_time_hours,max_loss_after_stop_simulation
0.15,0.1,1,breakeven_after_10,30,1.0,0.6,0.04808301647655267,0.020919559138157726,-0.031227048746412793,0.10111111111111111,-0.14043478260869569,0.10111111111111117,1.7578778532908585,0.020919559138157726,0.13333333333333333,0.36666666666666664,0.03333333333333333,0.4666666666666667,23.0002775,-0.14043478260869569
0.15,0.2,1,breakeven_after_10,30,1.0,0.6,0.02945541928331586,0.013318725726802446,-0.031227048746412793,0.07840777781840787,-0.14043478260869569,0.13605978260869556,1.4825133835630004,0.013318725726802446,0.13333333333333333,0.0,0.03333333333333333,0.8333333333333334,24.0002775,-0.14043478260869569
0.15,0.3,1,breakeven_after_10,30,1.0,0.6,0.02945541928331586,0.013318725726802446,-0.031227048746412793,0.07840777781840787,-0.14043478260869569,0.13605978260869556,1.4825133835630004,0.013318725726802446,0.13333333333333333,0.0,0.03333333333333333,0.8333333333333334,24.0002775,-0.14043478260869569
0.15,0.5,1,breakeven_after_10,30,1.0,0.6,0.02945541928331586,0.013318725726802446,-0.031227048746412793,0.07840777781840787,-0.14043478260869569,0.13605978260869556,1.4825133835630004,0.013318725726802446,0.13333333333333333,0.0,0.03333333333333333,0.8333333333333334,24.0002775,-0.14043478260869569
0.2,0.1,1,breakeven_after_10,30,1.0,0.6666666666666666,0.0512152777777778,0.03017308263641387,-0.01,0.10111111111111111,-0.17666666666666664,0.10111111111111117,2.4607452597742525,0.03017308263641387,0.06666666666666667,0.36666666666666664,0.03333333333333333,0.5333333333333333,24.0002775,-0.17666666666666664
0.2,0.2,1,breakeven_after_10,30,1.0,0.6666666666666666,0.039806074120662845,0.02257224922505859,-0.01,0.07840777781840787,-0.17666666666666664,0.13605978260869556,2.0927722054542524,0.02257224922505859,0.06666666666666667,0.0,0.03333333333333333,0.9,24.0002775,-0.17666666666666664
0.2,0.3,1,breakeven_after_10,30,1.0,0.6666666666666666,0.039806074120662845,0.02257224922505859,-0.01,0.07840777781840787,-0.17666666666666664,0.13605978260869556,2.0927722054542524,0.02257224922505859,0.06666666666666667,0.0,0.03333333333333333,0.9,24.0002775,-0.17666666666666664
0.2,0.5,1,breakeven_after_10,30,1.0,0.6666666666666666,0.039806074120662845,0.02257224922505859,-0.01,0.07840777781840787,-0.17666666666666664,0.13605978260869556,2.0927722054542524,0.02257224922505859,0.06666666666666667,0.0,0.03333333333333333,0.9,24.0002775,-0.17666666666666664
0.3,0.1,1,breakeven_after_10,30,1.0,0.6666666666666666,0.0512152777777778,0.03307739918817152,-0.01,0.10111111111111111,-0.24076923076923085,0.10111111111111117,2.863343858424245,0.03307739918817152,0.03333333333333333,0.36666666666666664,0.03333333333333333,0.5666666666666667,24.0002775,-0.24076923076923085
0.3,0.2,1,breakeven_after_10,30,1.0,0.6666666666666666,0.039806074120662845,0.02547656577681624,-0.01,0.07840777781840787,-0.24076923076923085,0.13605978260869556,2.4351673208620253,0.02547656577681624,0.03333333333333333,0.0,0.03333333333333333,0.9333333333333333,24.0002775,-0.24076923076923085
0.3,0.3,1,breakeven_after_10,30,1.0,0.6666666666666666,0.039806074120662845,0.02547656577681624,-0.01,0.07840777781840787,-0.24076923076923085,0.13605978260869556,2.4351673208620253,0.02547656577681624,0.03333333333333333,0.0,0.03333333333333333,0.9333333333333333,24.0002775,-0.24076923076923085
0.3,0.5,1,breakeven_after_10,30,1.0,0.6666666666666666,0.039806074120662845,0.02547656577681624,-0.01,0.07840777781840787,-0.24076923076923085,0.13605978260869556,2.4351673208620253,0.02547656577681624,0.03333333333333333,0.0,0.03333333333333333,0.9333333333333333,24.0002775,-0.24076923076923085
0.4,0.1,1,breakeven_after_10,30,1.0,0.6666666666666666,0.0512152777777778,0.032547625931125534,-0.01,0.10111111111111111,-0.2566624284806104,0.10111111111111117,2.780367589902804,0.032547625931125534,0.0,0.36666666666666664,0.03333333333333333,0.6,24.0002775,-0.2566624284806104
0.4,0.2,1,breakeven_after_10,30,1.0,0.6666666666666666,0.039806074120662845,0.024946792519770257,-0.01,0.07840777781840787,-0.2566624284806104,0.13605978260869556,2.3645990945150563,0.024946792519770257,0.0,0.0,0.03333333333333333,0.9666666666666667,24.0002775,-0.2566624284806104
0.4,0.3,1,breakeven_after_10,30,1.0,0.6666666666666666,0.039806074120662845,0.024946792519770257,-0.01,0.07840777781840787,-0.2566624284806104,0.13605978260869556,2.3645990945150563,0.024946792519770257,0.0,0.0,0.03333333333333333,0.9666666666666667,24.0002775,-0.2566624284806104
0.4,0.5,1,breakeven_after_10,30,1.0,0.6666666666666666,0.039806074120662845,0.024946792519770257,-0.01,0.07840777781840787,-0.2566624284806104,0.13605978260869556,2.3645990945150563,0.024946792519770257,0.0,0.0,0.03333333333333333,0.9666666666666667,24.0002775,-0.2566624284806104
0.5,0.1,1,breakeven_after_10,30,1.0,0.6666666666666666,0.0512152777777778,0.032547625931125534,-0.01,0.10111111111111111,-0.2566624284806104,0.10111111111111117,2.780367589902804,0.032547625931125534,0.0,0.36666666666666664,0.03333333333333333,0.6,24.0002775,-0.2566624284806104
0.5,0.2,1,breakeven_after_10,30,1.0,0.6666666666666666,0.039806074120662845,0.024946792519770257,-0.01,0.07840777781840787,-0.2566624284806104,0.13605978260869556,2.3645990945150563,0.024946792519770257,0.0,0.0,0.03333333333333333,0.9666666666666667,24.0002775,-0.2566624284806104
0.5,0.3,1,breakeven_after_10,30,1.0,0.6666666666666666,0.039806074120662845,0.024946792519770257,-0.01,0.07840777781840787,-0.2566624284806104,0.13605978260869556,2.3645990945150563,0.024946792519770257,0.0,0.0,0.03333333333333333,0.9666666666666667,24.0002775,-0.2566624284806104
0.5,0.5,1,breakeven_after_10,30,1.0,0.6666666666666666,0.039806074120662845,0.024946792519770257,-0.01,0.07840777781840787,-0.2566624284806104,0.13605978260869556,2.3645990945150563,0.024946792519770257,0.0,0.0,0.03333333333333333,0.9666666666666667,24.0002775,-0.2566624284806104
