cluster_id,cluster_date_utc,hold_window,tokens_in_cluster,valid_token_results,missing_token_results,liquidation_count_approx,down_tokens_at_exit,up_tokens_at_exit,total_margin_usdt,total_notional_usdt,total_pnl_usdt_no_liq,total_pnl_usdt_liq_cap,roi_on_margin_no_liq,roi_on_margin_liq_cap,median_token_pnl_liq_cap,best_token_pnl_liq_cap,worst_token_pnl_liq_cap,tokens
2023-10-04,2023-10-04,14d,4,4,0,1,2,2,400.0,4000.0,-20.260025012205595,176.25938596503673,-0.05065006253051399,0.4406484649125918,40.101755431162616,196.0558751027115,-100.0,"BETA,BOND,WTC,XEM"
2023-10-04,2023-10-04,1d,4,4,0,0,3,1,400.0,4000.0,224.17093027092983,224.17093027092983,0.5604273256773246,0.5604273256773246,50.52913298551365,127.84751278475115,-4.734848484848619,"BETA,BOND,WTC,XEM"
2023-10-04,2023-10-04,30d,4,4,0,2,2,2,400.0,4000.0,-568.3836387335974,-54.20362237722092,-1.4209590968339936,-0.1355090559430523,-27.21518987341771,100.2267573696145,-100.0,"BETA,BOND,WTC,XEM"
2023-10-04,2023-10-04,3d,4,4,0,0,3,1,400.0,4000.0,389.7974782465522,389.7974782465522,0.9744936956163806,0.9744936956163806,102.13602986679793,199.60441733970646,-14.078998826750123,"BETA,BOND,WTC,XEM"
2023-10-04,2023-10-04,7d,4,4,0,0,4,0,400.0,4000.0,720.2993237406233,720.2993237406233,1.8007483093515584,1.8007483093515584,220.34892663965277,260.1918465227817,19.40962393853618,"BETA,BOND,WTC,XEM"
2024-01-04,2024-01-04,14d,10,10,0,2,7,3,1000.0,10000.0,1786.3887192219327,1745.687899095116,1.7863887192219328,1.7456878990951161,225.81809222508286,471.87499999999983,-100.0,"ANT,FIRO,KP3R,MDX,MOB,REEF,VAI,XMR,ZEC,ZEN"
2024-01-04,2024-01-04,1d,10,10,0,0,8,2,1000.0,10000.0,671.2679344567721,671.2679344567721,0.6712679344567721,0.6712679344567721,85.12695677815185,119.99507207096217,-40.20100502512547,"ANT,FIRO,KP3R,MDX,MOB,REEF,VAI,XMR,ZEC,ZEN"
2024-01-04,2024-01-04,30d,10,10,0,3,7,3,1000.0,10000.0,2131.2027379822853,1942.6371461428193,2.131202737982285,1.9426371461428193,262.81427636777664,498.09160305343505,-100.0,"ANT,FIRO,KP3R,MDX,MOB,REEF,VAI,XMR,ZEC,ZEN"
2024-01-04,2024-01-04,3d,10,10,0,0,10,0,1000.0,10000.0,1733.1876729868231,1733.1876729868231,1.7331876729868232,1.7331876729868232,193.23115796636904,292.07596594630013,3.5606195478012914,"ANT,FIRO,KP3R,MDX,MOB,REEF,VAI,XMR,ZEC,ZEN"
2024-01-04,2024-01-04,7d,10,10,0,1,8,2,1000.0,10000.0,850.9514993070878,899.9551224954936,0.8509514993070878,0.8999551224954936,99.11033356110055,283.3787465940054,-100.0,"ANT,FIRO,KP3R,MDX,MOB,REEF,VAI,XMR,ZEC,ZEN"
2024-04-03,2024-04-03,14d,5,5,0,1,5,0,500.0,5000.0,2532.6816094578053,2320.892656448737,5.065363218915611,4.641785312897474,379.19870497774167,901.5691868758917,-100.0,"EPX,FOR,UNFI,WAVES,WNXM"
2024-04-03,2024-04-03,1d,5,5,0,0,5,0,500.0,5000.0,446.25088560352344,446.25088560352344,0.8925017712070469,0.8925017712070469,38.87850467289722,198.12680115273773,14.137464280343126,"EPX,FOR,UNFI,WAVES,WNXM"
2024-04-03,2024-04-03,30d,5,5,0,1,5,0,500.0,5000.0,2284.679595961219,2162.703239489561,4.569359191922438,4.325406478979122,409.4292803970223,786.2513426423201,-100.0,"EPX,FOR,UNFI,WAVES,WNXM"
2024-04-03,2024-04-03,3d,5,5,0,0,4,1,500.0,5000.0,733.890078045822,733.890078045822,1.467780156091644,1.467780156091644,127.35693020178628,291.65048543689306,-17.771303714493758,"EPX,FOR,UNFI,WAVES,WNXM"
2024-04-03,2024-04-03,7d,5,5,0,1,4,1,500.0,5000.0,495.278525238444,467.89577183451036,0.990557050476888,0.9357915436690207,66.66666666666666,230.61299852289508,-100.0,"EPX,FOR,UNFI,WAVES,WNXM"
2024-07-01,2024-07-01,14d,11,11,0,1,10,1,1100.0,11000.0,2908.0030837189274,2705.9994407316776,2.6436391670172066,2.4599994915742522,199.65202261852988,978.1962338949453,-100.0,"BAL,CTXC,CVP,CVX,DOCK,HARD,IRIS,MBL,POLS,SNT,SUN"
2024-07-01,2024-07-01,1d,11,11,0,0,10,1,1100.0,11000.0,1509.4497719045848,1509.4497719045848,1.3722270653678044,1.3722270653678044,150.58972198820553,288.3693045563549,-1.7406440382942145,"BAL,CTXC,CVP,CVX,DOCK,HARD,IRIS,MBL,POLS,SNT,SUN"
2024-07-01,2024-07-01,30d,11,10,1,6,8,2,1000.0,10000.0,1778.6585965911315,866.0592068851005,1.7786585965911315,0.8660592068851005,-100.0,1009.9337748344373,-100.0,"BAL,CTXC,CVP,CVX,HARD,IRIS,MBL,POLS,SNT,SUN"
2024-07-01,2024-07-01,3d,11,11,0,0,11,0,1100.0,11000.0,4313.907154820811,4313.907154820811,3.921733777109828,3.921733777109828,374.94655835827297,744.7552447552446,42.72727272727273,"BAL,CTXC,CVP,CVX,DOCK,HARD,IRIS,MBL,POLS,SNT,SUN"
2024-07-01,2024-07-01,7d,11,11,0,0,11,0,1100.0,11000.0,6192.044312874439,6192.044312874439,5.629131193522217,5.629131193522217,428.6983562860953,2178.3439490445858,81.05560791705946,"BAL,CTXC,CVP,CVX,DOCK,HARD,IRIS,MBL,POLS,SNT,SUN"
2024-10-03,2024-10-03,14d,5,5,0,3,4,1,500.0,5000.0,248.46744835347866,-66.41773808607283,0.49693489670695734,-0.13283547617214567,-100.0,158.31344470962617,-100.0,"BLZ,CLV,KEY,PROS,VITE"
2024-10-03,2024-10-03,1d,5,5,0,1,4,1,500.0,5000.0,384.57994489975766,317.4437946650158,0.7691598897995153,0.6348875893300315,65.82482536270828,259.6401028277637,-100.0,"BLZ,CLV,KEY,PROS,VITE"
2024-10-03,2024-10-03,30d,5,5,0,3,4,1,500.0,5000.0,1043.778136201695,319.2877570429518,2.08755627240339,0.6385755140859036,-100.0,360.74766355140196,-100.0,"BLZ,CLV,KEY,PROS,VITE"
2024-10-03,2024-10-03,3d,5,5,0,1,4,0,500.0,5000.0,434.7171458007506,321.6023917023899,0.8694342916015012,0.6432047834047798,66.97149004841307,218.90547263681603,-100.0,"BLZ,CLV,KEY,PROS,VITE"
2024-10-03,2024-10-03,7d,5,5,0,2,4,1,500.0,5000.0,247.50592075521052,114.30597159159679,0.49501184151042105,0.22861194318319358,38.481675392670226,189.5424836601307,-100.0,"BLZ,CLV,KEY,PROS,VITE"
2025-01-02,2025-01-02,14d,4,3,1,1,2,1,300.0,3000.0,1897.924136741027,1886.294701787019,6.3264137891367564,6.28764900595673,117.9020372778501,1868.392664509169,-100.0,"STMX,SUN,TROY"
2025-01-02,2025-01-02,1d,4,3,1,0,3,0,300.0,3000.0,797.8507313258825,797.8507313258825,2.6595024377529417,2.6595024377529417,10.976087808702406,784.164616416909,2.7100271002711285,"STMX,SUN,TROY"
2025-01-02,2025-01-02,30d,4,3,1,1,3,0,300.0,3000.0,4234.7116855615905,4038.7401215805476,14.115705618538636,13.462467071935158,289.5000000000001,3849.2401215805476,-100.0,"STMX,SUN,TROY"
2025-01-02,2025-01-02,3d,4,3,1,0,2,1,300.0,3000.0,809.2496488024325,809.2496488024325,2.6974988293414417,2.6974988293414417,0.38789759503488064,859.0072244232114,-50.14547321581375,"STMX,SUN,TROY"
2025-01-02,2025-01-02,7d,4,3,1,1,2,1,300.0,3000.0,1547.664613838894,1574.1990803167032,5.158882046129647,5.247330267722344,109.2473118279571,1564.9517684887462,-100.0,"STMX,SUN,TROY"
2025-03-04,2025-03-04,14d,10,10,0,6,9,1,1000.0,10000.0,2636.395093807148,983.697752028612,2.636395093807148,0.983697752028612,-100.0,799.0681421083283,-100.0,"AERGO,ALPACA,AST,BADGER,BURGER,COMBO,NULS,STPT,UFT,VIDT"
2025-03-04,2025-03-04,1d,10,10,0,1,6,4,1000.0,10000.0,346.96614662141667,264.0907472603942,0.34696614662141667,0.2640907472603942,44.926211192619746,153.78289473684202,-100.0,"AERGO,ALPACA,AST,BADGER,BURGER,COMBO,NULS,STPT,UFT,VIDT"
2025-03-04,2025-03-04,30d,10,7,3,5,6,1,700.0,7000.0,35578.82313741274,1929.2790992958808,50.82689019630392,2.7561129989941153,-100.0,1550.7844756399668,-100.0,"ALPACA,AST,BADGER,NULS,STPT,UFT,VIDT"
2025-03-04,2025-03-04,3d,10,10,0,1,9,1,1000.0,10000.0,1018.186247859046,882.6402669784752,1.018186247859046,0.8826402669784752,98.81252467203971,259.4254937163376,-100.0,"AERGO,ALPACA,AST,BADGER,BURGER,COMBO,NULS,STPT,UFT,VIDT"
2025-03-04,2025-03-04,7d,10,10,0,4,10,0,1000.0,10000.0,2664.6872821199895,1364.0951960277096,2.6646872821199894,1.3640951960277095,58.01139215554785,633.5272342675833,-100.0,"AERGO,ALPACA,AST,BADGER,BURGER,COMBO,NULS,STPT,UFT,VIDT"
2025-03-07,2025-03-07,14d,1,1,0,1,1,0,100.0,1000.0,901.315789473684,-100.0,9.01315789473684,-1.0,-100.0,-100.0,-100.0,GPS
2025-03-07,2025-03-07,1d,1,1,0,1,1,0,100.0,1000.0,160.6425702811245,-100.0,1.606425702811245,-1.0,-100.0,-100.0,-100.0,GPS
2025-03-07,2025-03-07,30d,1,1,0,1,1,0,100.0,1000.0,1765.5502392344497,-100.0,17.6555023923445,-1.0,-100.0,-100.0,-100.0,GPS
2025-03-07,2025-03-07,3d,1,1,0,1,1,0,100.0,1000.0,541.3333333333333,-100.0,5.413333333333332,-1.0,-100.0,-100.0,-100.0,GPS
