event_id,token_symbol,event_time,scenario,is_research_eligible,confidence_level,pump_size,pump_duration,post_pump_drawdown,time_to_drawdown,wick_vs_close_pump,failed_breakout_flag,pump_and_dump_flag,manual_review_required,short_fade_candidate_score
f755b9dd1ea6099a,AERGO,2025-03-21T05:50:20Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,0.0058309037900876,0.16111111111111112,-0.0801749271137027,161.0,0.00867052023121384,no,no,no,0.0
646897e4f33f453e,ACA,2026-02-02T08:59:52Z,TAG_TO_DELISTING_TO_COLLAPSE,yes,high,-0.1379310344827585,0.0022222222222222222,-0.7495344827586208,97.0,0.15384615384615397,no,no,no,0.2
2bef59b54300a8c4,A2Z,2026-03-18T09:00:08Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,-0.0271186440677967,142.99777777777777,-0.8370847457627117,12.0,1.1026252983293556,no,no,no,0.1
620dfaaf6b76cda8,ANT,2024-02-06T07:00:12Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,0.2599081476441574,160.99666666666667,-0.2600782445994217,4.0,0.0047155909224874115,no,no,no,0.3
2ebc47e2d093dcb6,AKRO,2024-12-18T08:01:12Z,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,no,medium,-0.006908462867012,0.98,-0.654231433506045,161.0,0.18956521739130427,no,no,no,0.1
78605f349f17de8a,AMB,2025-02-17T07:00:24Z,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,no,medium,-0.0726643598615917,0.9933333333333333,-0.8166089965397924,162.0,0.07835820895522394,no,no,no,0.1
00838960937666d3,AST,2025-03-21T05:50:20Z,TAG_TO_DELISTING_TO_COLLAPSE,yes,high,-0.119904076738609,55.16111111111111,-0.8500000000000001,109.0,0.4444444444444444,no,no,no,0.2
0af13c0c95167545,ALPACA,2025-04-24T04:00:05Z,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,no,medium,3.2884615384615383,147.9986111111111,-3.7085798816568047,1.0,0.17592592592592582,yes,yes,no,0.9
e3787f28cdcb4f63,ALPHA,2025-06-26T07:00:09Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,0.0229885057471264,1.9975,-0.4022988505747125,146.0,0.041884816753926746,no,no,no,0.0
fe030a322cd55fe6,BADGER,2025-04-08T06:00:07Z,TAG_TO_DELISTING_TO_COLLAPSE,yes,high,0.1626041666666668,153.99805555555557,-0.3303125000000001,9.0,0.09034267912772598,no,no,no,0.1
add781ef303b3edb,BAL,2025-04-08T06:00:07Z,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,yes,high,0.5090078328981722,153.99805555555557,-0.5077023498694515,8.0,0.05410447761194015,yes,yes,no,1.0
0c22b5d83ff2b22f,BAKE,2025-09-03T02:59:54Z,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,no,medium,0.5118012422360247,0.0016666666666666668,-1.0285714285714285,152.0,0.2952924393723255,yes,yes,no,0.9
3549a24c52b9c171,ATA,2026-05-13T08:00:04Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,-0.1038961038961039,27.99888888888889,-0.6103896103896104,123.0,0.05128205128205132,no,no,no,0.1
ca8ce65249fba04c,BTS,2023-11-27T06:00:26Z,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,yes,high,0.2022838499184338,24.99277777777778,-0.5817292006525284,50.0,0.39590854392298436,yes,yes,no,1.0
32a707aa1c9486f4,BOND,2024-07-08T07:01:09Z,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,no,medium,0.345,149.98083333333332,-0.55875,0.0,0.06429277942631084,yes,yes,no,0.9
143ca517a46fcbd1,BLZ,2024-12-18T08:01:12Z,TAG_TO_DELISTING_TO_COLLAPSE,yes,high,-0.0027372262773723,1.98,-0.6592153284671531,122.0,0.027447392497712775,no,no,no,0.2
b9ed2144f63250c8,BURGER,2025-03-21T05:50:20Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,-0.2549268912905276,0.16111111111111112,-0.6357279084551812,164.0,0.4573378839590445,no,no,no,0.1
539cbbfc728cc069,BETA,2025-04-08T06:00:07Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,-0.1275395033860045,0.9980555555555556,-0.7923250564334086,163.0,0.12408759124087587,no,no,no,0.1
3199a658dfb606a1,BSW,2025-06-26T07:00:09Z,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,yes,high,0.3786008230452675,2.9975,-0.9094650205761317,148.0,0.09011627906976738,yes,yes,no,1.0
ada4fa98c9d3f91d,BIFI,2026-04-09T06:00:05Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,-0.0012706480304957,27.99861111111111,-0.5908513341804319,139.0,0.10691823899371067,no,no,no,0.1
58f1efaf1d702f60,CLV,2025-02-17T07:00:24Z,TAG_TO_DELISTING_TO_COLLAPSE,no,medium,0.0085207100591715,7.993333333333333,-0.3133727810650887,155.0,0.05303919267777513,no,no,no,0.0
