date_utc,token,entry,close,spot_ret,pnl_no_liq,touched,pnl_liq_cap
2026-05-22,ALCX,4.99,4.41,-0.11623246492985972,131.51927437641731,False,131.51927437641731
2026-05-23,ALCX,4.99,4.36,-0.12625250501002006,144.49541284403657,False,144.49541284403657
2026-05-24,ALCX,4.99,4.22,-0.15430861723446898,182.46445497630347,False,182.46445497630347
2026-05-25,ALCX,4.99,4.24,-0.15030060120240485,176.88679245283012,False,176.88679245283012
2026-05-26,ALCX,4.99,4.08,-0.1823647294589179,223.03921568627462,False,223.03921568627462
2026-05-27,ALCX,4.99,4.12,-0.17434869739478964,211.16504854368935,False,211.16504854368935
2026-05-28,ALCX,4.99,4.07,-0.18436873747494986,226.04422604422592,False,226.04422604422592
2026-05-29,ALCX,4.99,4.16,-0.16633266533066138,199.51923076923083,False,199.51923076923083
2026-05-30,ALCX,4.99,4.32,-0.13426853707414832,155.09259259259255,False,155.09259259259255
2026-05-31,ALCX,4.99,4.23,-0.1523046092184368,179.66903073286056,False,179.66903073286056
2026-06-01,ALCX,4.99,4.23,-0.1523046092184368,179.66903073286056,False,179.66903073286056
2026-05-22,COOKIE,0.0155,0.0145,-0.06451612903225801,68.96551724137923,False,68.96551724137923
2026-05-23,COOKIE,0.0155,0.014,-0.09677419354838712,107.14285714285721,False,107.14285714285721
2026-05-24,COOKIE,0.0155,0.0134,-0.13548387096774195,156.71641791044766,False,156.71641791044766
2026-05-25,COOKIE,0.0155,0.0134,-0.13548387096774195,156.71641791044766,False,156.71641791044766
2026-05-26,COOKIE,0.0155,0.0126,-0.18709677419354842,230.15873015873024,False,230.15873015873024
2026-05-27,COOKIE,0.0155,0.0122,-0.2129032258064516,270.4918032786885,False,270.4918032786885
2026-05-28,COOKIE,0.0155,0.0118,-0.2387096774193549,313.55932203389835,False,313.55932203389835
2026-05-29,COOKIE,0.0155,0.0121,-0.21935483870967742,280.99173553719004,False,280.99173553719004
2026-05-30,COOKIE,0.0155,0.0125,-0.19354838709677413,240.0,False,240.0
2026-05-31,COOKIE,0.0155,0.0128,-0.17419354838709677,210.9375,False,210.9375
2026-06-01,COOKIE,0.0155,0.013,-0.16129032258064524,192.3076923076923,False,192.3076923076923
2026-05-22,DODO,0.02014,0.01786,-0.1132075471698113,127.65957446808507,False,127.65957446808507
2026-05-23,DODO,0.02014,0.01816,-0.09831181727904681,109.03083700440553,False,109.03083700440553
