token_entity_id,token_symbol,anchor_event_id,anchor_event_type,bottom_timestamp_utc,bottom_price,max_rebound_24h,max_rebound_3d,max_rebound_7d,max_rebound_14d,max_rebound_30d,max_rebound_60d,max_rebound_90d,rebound_20_flag,rebound_50_flag,rebound_100_flag,rebound_200_flag,days_from_bottom_to_max_rebound,rebound_high_timestamp_utc,rebound_high_price,volume_on_rebound,quote_volume_on_rebound,volume_zscore_on_rebound,rebound_sustained_3d,rebound_sustained_7d,post_rebound_drawdown,pump_and_dump_after_bottom,dead_cat_bounce_flag,low_liquidity_rebound_flag,fallback_used,price_source,exchange,manual_review_required,notes
UFT,UFT,93a4361a2732433c,MONITORING_TAG_ADDED,2025-04-16T00:00:00+00:00,0.0086,0.2558139534883721,0.2558139534883721,0.2558139534883721,0.2558139534883721,0.2558139534883721,0.2558139534883721,0.2558139534883721,yes,no,no,no,0.041666666666666664,2025-04-16T01:00:00+00:00,0.0108,1508017.0,14886.1418,-0.38327471949033,unknown,unknown,-0.19444444444444453,no,no,yes,no,binance_spot,binance,yes,
UNFI,UNFI,bcbb33fb0a078dbd,MONITORING_TAG_ADDED,2024-04-13T20:00:00+00:00,2.511,0.4575866188769415,0.4575866188769415,0.6252489048187975,0.6475507765830344,0.7196336121067302,1.3496614894464356,1.3496614894464356,yes,yes,yes,no,39.791666666666664,2024-05-23T15:00:00+00:00,5.9,340231.8,1970200.8781,0.6613460903041576,yes,yes,-0.7774576271186441,no,no,no,no,binance_spot,binance,no,
VAI,VAI,9f5912ee50a005d4,MONITORING_TAG_ADDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,missing_bottom_or_path
VELODROME,VELODROME,19b84d1ea3ca7fa5,MONITORING_TAG_ADDED,2026-04-14T22:00:00+00:00,0.01434,0.05857740585774063,0.21966527196652708,0.2343096234309623,0.3263598326359831,0.3709902370990237,0.3709902370990237,0.3709902370990237,yes,no,no,no,25.75,2026-05-10T16:00:00+00:00,0.01966,1652532.3,32215.632268,1.055615822431818,no,no,-0.25330620549338756,no,no,yes,no,binance_spot,binance,yes,
VGX,VGX,ca86e505313d35f7,SPOT_TOKEN_DELISTING_ANNOUNCED,2024-08-25T23:00:00+00:00,0.0127,0.4881889763779528,0.4881889763779528,0.4881889763779528,0.4881889763779528,0.4881889763779528,0.4881889763779528,0.4881889763779528,yes,no,no,no,0.041666666666666664,2024-08-26T00:00:00+00:00,0.0189,14266886.6,258026.52362,-0.15365447156178222,unknown,unknown,-0.1322751322751322,no,no,no,no,binance_spot,binance,no,
VIB,VIB,d485d7796d3134c1,MONITORING_TAG_ADDED,2025-05-02T02:00:00+00:00,0.0018,,,,,,,,no,no,no,no,,,,,,,unknown,unknown,nan,no,no,no,no,binance_spot,binance,no,
VIC,VIC,160aee0f5e2dd2e9,MONITORING_TAG_ADDED,2026-04-30T11:00:00+00:00,0.0416,0.26682692307692313,0.26682692307692313,0.26682692307692313,1.0913461538461537,1.0913461538461537,1.0913461538461537,1.0913461538461537,yes,yes,yes,no,12.208333333333334,2026-05-12T16:00:00+00:00,0.087,52609504.37,3940012.562938,3.611064877443774,no,no,-0.4126436781609195,yes,yes,yes,no,binance_spot,binance,yes,
VIDT,VIDT,c93a669847ebc63d,MONITORING_TAG_ADDED,2025-04-16T02:00:00+00:00,0.00105,,,,,,,,no,no,no,no,,,,,,,unknown,unknown,nan,no,no,no,no,binance_spot,binance,no,
VITE,VITE,b0e2fef6b72f5dbc,MONITORING_TAG_ADDED,2024-11-03T15:00:00+00:00,0.0098,0.07346938775510203,0.12857142857142856,0.3755102040816327,0.9102040816326531,0.9102040816326531,1.1316326530612244,1.1316326530612244,yes,yes,yes,no,40.791666666666664,2024-12-14T10:00:00+00:00,0.02089,196763675.8,3884622.909691,1.8838158580394182,no,no,-0.9617041646720919,yes,yes,yes,no,binance_spot,binance,yes,
VOXEL,VOXEL,e0c3a1cadfeb9ad2,MONITORING_TAG_ADDED,2025-04-17T13:00:00+00:00,0.0201,0.11442786069651745,7.865671641791044,7.865671641791044,7.865671641791044,7.865671641791044,7.865671641791044,7.865671641791044,yes,yes,yes,yes,2.5416666666666665,2025-04-20T02:00:00+00:00,0.1782,179604881.9,21312889.26484,3.9076923272069823,yes,yes,-0.9270482603815937,no,no,yes,no,binance_spot,binance,yes,
WAN,WAN,f1627838a2164868,MONITORING_TAG_ADDED,2025-10-10T21:00:00+00:00,0.06,0.6316666666666668,0.6316666666666668,0.6316666666666668,0.6316666666666668,0.6316666666666668,0.6316666666666668,0.6316666666666668,yes,yes,no,no,0.75,2025-10-11T15:00:00+00:00,0.0979,20537625.0,1716794.6855,4.618634079076405,yes,yes,-0.4892747701736465,no,no,no,no,binance_spot,binance,no,
