section,group,cost_bps,n_trades,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,median_mae,median_mfe,profit_factor,expectancy,average_ex_top5,median_ex_top5,average_ex_bottom5,median_ex_bottom5
cost_sensitivity,all,20,30,0.5666666666666667,0.11785294117647069,0.10550593634590938,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.12834790963563594,0.36966728855721387,2.443529077399187,0.10550593634590938,0.06983199276529613,0.1072475067996374,0.13596955890286228,0.1483496503496502
time_split,2024H1,20,4,0.75,0.26690946768553314,0.19793092431895712,0.03826896343306141,0.4265714285714288,-0.1686666666666666,0.4265714285714288,0.0377374640759282,0.49427457969780797,5.694014015469341,0.19793092431895712,,,,
time_split,2024H2,20,3,0.3333333333333333,-0.1686666666666665,0.029746031746031826,-0.16866666666666655,0.12895238095238104,-0.1686666666666666,0.4265714285714286,0.2021452145214521,0.3046286329386438,1.2645398080180699,0.029746031746031826,,,,
time_split,2025H1,20,11,0.36363636363636365,-0.1686666666666666,0.04778354978354984,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.3642819101721994,0.5147783251231528,1.445188352020651,0.04778354978354984,,,,
time_split,2025H2,20,1,0.0,-0.1686666666666665,-0.1686666666666665,-0.1686666666666665,-0.1686666666666665,-0.1686666666666665,-0.1686666666666665,0.3271889400921657,0.3562499999999999,0.0,-0.1686666666666665,,,,
time_split,2026YTD,20,11,0.8181818181818182,0.2202222222222223,0.1752058106282706,0.11785294117647069,0.2866396011396013,-0.16866666666666671,0.4265714285714286,0.0240384615384616,0.2641509433962266,6.713232955269692,0.1752058106282706,,,,
scenario,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,20,4,0.75,0.4265714285714287,0.2777619047619049,0.27776190476190477,0.4265714285714288,-0.16866666666666671,0.4265714285714288,0.21104029578949465,1.2132745962607574,7.587238848108415,0.2777619047619049,,,,
scenario,IMMEDIATE_DUMP_AFTER_TAG,20,3,1.0,0.2338974358974359,0.19511468633037266,0.17330165912518855,0.23631908831908838,0.1127058823529412,0.2387407407407409,0.0149253731343284,0.2641509433962266,,0.19511468633037266,,,,
scenario,NO_CLEAR_REACTION,20,4,0.75,0.18428593628593626,0.1336109168609169,0.06909557109557099,0.24880128205128213,-0.1686666666666666,0.3345384615384617,0.06196463111356715,0.22193585337915228,4.1686383445276745,0.1336109168609169,,,,
scenario,SLOW_BLEED_AFTER_TAG,20,2,0.5,-0.022833333333333206,-0.022833333333333206,-0.0957499999999999,0.05008333333333349,-0.1686666666666666,0.12300000000000019,0.30272187524095917,0.22515527950310565,0.729249011857709,-0.022833333333333206,,,,
scenario,TAG_REMOVED_AND_RECOVERED,20,3,0.6666666666666666,0.1072475067996374,0.12171742290146648,-0.030709579933514586,0.26690946768553303,-0.1686666666666666,0.4265714285714286,0.1324960753532182,0.3227027027027027,3.164934399433199,0.12171742290146648,,,,
scenario,TAG_REMOVED_BUT_NOT_RECOVERED,20,1,0.0,-0.16866666666666671,-0.16866666666666671,-0.16866666666666671,-0.16866666666666671,-0.16866666666666671,-0.16866666666666671,0.3333333333333332,0.5285126396237507,0.0,-0.16866666666666671,,,,
scenario,TAG_TO_DELISTING_TO_COLLAPSE,20,12,0.4166666666666667,-0.1686666666666665,0.07934920634920642,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.20745558598413033,0.41783444309927353,1.8064854400258141,0.07934920634920642,,,,
scenario,TEMPORARY_PANIC_THEN_RECOVERY,20,1,0.0,-0.1686666666666665,-0.1686666666666665,-0.1686666666666665,-0.1686666666666665,-0.1686666666666665,-0.1686666666666665,0.5398373983739839,0.5147783251231528,0.0,-0.1686666666666665,,,,
cost_sensitivity,all,50,30,0.5666666666666667,0.11485294117647069,0.10250593634590939,-0.1716666666666666,0.4235714285714286,-0.17166666666666672,0.4235714285714288,0.12834790963563594,0.36966728855721387,2.377973752222831,0.10250593634590939,0.06683199276529612,0.1042475067996374,0.1329695589028623,0.1453496503496502
time_split,2024H1,50,4,0.75,0.26390946768553314,0.19493092431895712,0.03526896343306141,0.4235714285714288,-0.1716666666666666,0.4235714285714288,0.0377374640759282,0.49427457969780797,5.542079789956284,0.19493092431895712,,,,
time_split,2024H2,50,3,0.3333333333333333,-0.1716666666666665,0.026746031746031823,-0.17166666666666655,0.12595238095238104,-0.1716666666666666,0.4235714285714286,0.2021452145214521,0.3046286329386438,1.2337031900138706,0.026746031746031823,,,,
time_split,2025H1,50,11,0.36363636363636365,-0.1716666666666666,0.04478354978354984,-0.1716666666666666,0.4235714285714286,-0.17166666666666672,0.4235714285714288,0.3642819101721994,0.5147783251231528,1.4099465028729945,0.04478354978354984,,,,
time_split,2025H2,50,1,0.0,-0.1716666666666665,-0.1716666666666665,-0.1716666666666665,-0.1716666666666665,-0.1716666666666665,-0.1716666666666665,0.3271889400921657,0.3562499999999999,0.0,-0.1716666666666665,,,,
time_split,2026YTD,50,11,0.8181818181818182,0.2172222222222223,0.17220581062827056,0.11485294117647069,0.2836396011396013,-0.17166666666666672,0.4235714285714286,0.0240384615384616,0.2641509433962266,6.5172735444009025,0.17220581062827056,,,,
scenario,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,50,4,0.75,0.4235714285714287,0.27476190476190493,0.27476190476190476,0.4235714285714288,-0.17166666666666672,0.4235714285714288,0.21104029578949465,1.2132745962607574,7.402219140083219,0.27476190476190493,,,,
