token_entity_id,token_symbol,final_outcome,primary_scenario,secondary_flags,anchor_event_id,anchor_event_type,spot_pair,futures_pair,fallback_provider,price_window_rows,missing_price_rows,benchmark_gap_rows,unresolved_pair_rows,true_data_gap_rows,true_data_gap_rate,benchmark_gap_rate,is_research_eligible,exclusion_reason,data_quality_score,confidence_level
EGLD,EGLD,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,18e8043eb222ce52,SPOT_PAIR_REMOVED,EGLDUSDT,EGLDUSDT,,54.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
EIGEN,EIGEN,seed_tag_only,SEED_TAG_ONLY,,93e4d22736bbc445,SEED_TAG_ADDED,EIGENUSDT,EIGENUSDT,,54.0,18.0,0.0,0.0,18.0,0.3333333333333333,0.0,no,true_data_gap_heavy,0.883,high
ELF,ELF,delisted_without_known_tag,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,FALLBACK_PRICE_USED,2b488d2b7a3bc9e1,SPOT_TOKEN_DELISTING_ANNOUNCED,ELFUSDT,,ccxt_gateio,54.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,,1.0,high
ENA,ENA,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,6c3215065e182944,SPOT_PAIR_REMOVED,ENAUSDT,ENAUSDT,,72.0,4.0,4.0,0.0,4.0,0.05555555555555555,0.05555555555555555,no,pair_removal_control_only,0.667,medium
ENJ,ENJ,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,0c966ccfff6018b2,SPOT_PAIR_REMOVED,ENJUSDT,ENJUSDT,,72.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
ENS,ENS,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,72ae6a3e9239fd1f,SPOT_PAIR_REMOVED,ENSUSDT,ENSUSDT,,72.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
ENSO,ENSO,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,b765a6b33b766352,SPOT_PAIR_REMOVED,ENSOUSDT,ENSOUSDT,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
EOS,EOS,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,bd687f4cfd42db93,SPOT_PAIR_REMOVED,EOSUSDT,,,54.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
EPIC,EPIC,still_tagged,IMMEDIATE_DUMP_AFTER_TAG,,c518920624770484,MONITORING_TAG_ADDED,EPICUSDT,EPICUSDT,,18.0,5.0,5.0,0.0,5.0,0.2777777777777778,0.2777777777777778,no,true_data_gap_heavy;benchmark_gap_heavy,0.833,medium
EPT,EPT,futures_only_delisting,FUTURES_ONLY_DELISTING,,c9a079a4e3d99c90,FUTURES_CONTRACT_DELISTING_ANNOUNCED,,EPTUSDT,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,,1.0,high
EPX,EPX,delisted_after_tag,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,FALLBACK_PROVIDER_UNAVAILABLE;TAG_TO_DELISTING,daa09b139684a4a8,MONITORING_TAG_ADDED,EPXUSDT,,,36.0,3.0,0.0,0.0,0.0,0.0,0.0,no,fallback_provider_unavailable,0.8,medium
ERC20,ERC20,seed_tag_only,SEED_TAG_ONLY,,2554c8bc341c5470,SEED_TAG_ADDED,,,,18.0,18.0,0.0,18.0,0.0,0.0,0.0,no,no_resolved_binance_pair;unresolved_pair_or_symbol,0.8,medium
ESP,ESP,seed_tag_only,SEED_TAG_ONLY,,86bdfec340183470,SEED_TAG_ADDED,ESPUSDT,ESPUSDT,,18.0,18.0,0.0,0.0,18.0,1.0,0.0,no,true_data_gap_heavy,0.75,medium
ETC,ETC,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,a65d43c693884e5a,SPOT_PAIR_REMOVED,ETCUSDT,ETCUSDT,,72.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
ETH,ETH,futures_only_delisting,FUTURES_ONLY_DELISTING,,54430c7de3727b0a,FUTURES_CONTRACT_DELISTING_ANNOUNCED,ETHUSDT,ETHUSDT,,36.0,2.0,2.0,0.0,2.0,0.05555555555555555,0.05555555555555555,yes,,0.967,high
ETHFI,ETHFI,unknown,UNKNOWN_MANUAL_REVIEW,,8e8791bf0db73096,SPOT_PAIR_REMOVED,,,,,,,,,,,no,unknown_manual_review;manual_review_required;no_resolved_binance_pair,0.1,low
EUL,EUL,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,15b1fc707c42f6a7,SPOT_PAIR_REMOVED,EULUSDT,EULUSDT,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
FARM,FARM,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PRICE_USED;FALLBACK_PROVIDER_UNAVAILABLE,22c469b3db8740d8,MONITORING_TAG_ADDED,FARMUSDT,,ccxt_gateio,54.0,5.0,5.0,0.0,2.0,0.037037037037037035,0.09259259259259259,no,fallback_provider_unavailable,0.764,medium
FET,FET,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,eecd77bf37a3abaf,SPOT_PAIR_REMOVED,FETUSDT,FETUSDT,,54.0,4.0,4.0,0.0,4.0,0.07407407407407407,0.07407407407407407,no,pair_removal_control_only,0.656,medium
FF,FF,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,15d000c94f4c6ae1,SPOT_PAIR_REMOVED,FFUSDT,FFUSDT,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,no,pair_removal_control_only,0.7,medium
