hold_window,strategy_id,token_trades,clusters,total_margin_usdt,total_pnl_usdt,roi_on_margin,token_win_rate,cluster_win_rate,median_token_pnl,median_cluster_roi,p25_token_pnl,p75_token_pnl,best_token_pnl,worst_token_pnl,profit_factor,tp1_rate,tp2_rate,be_active_rate,stopped_out_rate,median_mfe,median_mae,max_mae
14d,aggressive_10_be20_tp20_50,53,17,5300.0,7271.199151790691,1.3719243682623945,0.6037735849056604,0.6470588235294118,75.0,0.5862540535397468,-90.90909090909093,340.06955177743436,1025.266240681576,-90.90909090909105,4.808723365223692,0.5094339622641509,0.05660377358490566,0.5094339622641509,0.5660377358490566,0.2529002320185616,0.04651162790697683,1.0609756097560972
14d,balanced_10_be15_tp10_30,53,17,5300.0,6244.89735947063,1.178282520654836,0.7358490566037735,0.5882352941176471,33.33333333333335,0.8927994794559949,-30.303030303030305,306.7226890756303,755.0281454434806,-90.90909090909105,6.152040321563267,0.6981132075471698,0.32075471698113206,0.660377358490566,0.5849056603773585,0.23870967741935467,0.029550827423167947,1.0609756097560972
14d,base_10_be20_tp15_30,53,17,5300.0,6793.7652407492615,1.2818424982545777,0.6037735849056604,0.6470588235294118,58.23529411764707,0.7092745144275218,-90.90909090909093,328.4119335524009,823.2989383186712,-90.90909090909105,6.260596687453876,0.660377358490566,0.33962264150943394,0.5094339622641509,0.5660377358490566,0.2529002320185616,0.04651162790697683,1.0609756097560972
14d,defensive_7p5_be10_tp10_20,53,17,5300.0,4825.155905073816,0.9104067745422294,0.6981132075471698,0.7058823529411765,44.444444444444464,0.6032772879542858,-69.76744186046501,147.81786474611582,669.7106851260204,-69.76744186046513,5.322535498295295,0.6415094339622641,0.41509433962264153,0.6415094339622641,0.6415094339622641,0.22094361334867663,0.027659574468085202,1.0609756097560972
14d,runner_only_10_no_be,53,17,5300.0,10239.937387856113,1.932063658086059,0.5283018867924528,0.5882352941176471,49.520766773162975,0.5862540535397468,-90.90909090909093,406.8376068376069,1834.22080227192,-90.90909090909105,5.505572450656686,0.0,0.0,0.0,0.4716981132075472,0.2529002320185616,0.07619047619047614,1.08274231678487
1d,aggressive_10_be20_tp20_50,53,17,5300.0,4701.114235941539,0.8870026860267055,0.7735849056603774,0.7647058823529411,90.20618556701021,0.9173796845567169,12.944983818770295,170.73170731707287,688.9914163090128,-90.90909090909105,6.733165112164422,0.20754716981132076,0.018867924528301886,0.20754716981132076,0.16981132075471697,0.13314840499306513,0.014893617021276562,1.0609756097560972
1d,balanced_10_be15_tp10_30,53,17,5300.0,4009.9606655254033,0.7565963519859251,0.7735849056603774,0.7647058823529411,96.4776632302405,0.7990029986222271,12.944983818770295,143.74999999999994,418.75332107091754,-90.90909090909105,5.89028035374628,0.6037735849056604,0.03773584905660377,0.3584905660377358,0.16981132075471697,0.13314840499306513,0.014893617021276562,1.0609756097560972
1d,base_10_be20_tp15_30,53,17,5300.0,4366.468678638092,0.8238620148373758,0.7735849056603774,0.7647058823529411,90.20618556701021,0.8623286380227606,12.944983818770295,160.33254156769596,442.187470696433,-90.90909090909105,6.325053728823682,0.3584905660377358,0.03773584905660377,0.20754716981132076,0.16981132075471697,0.13314840499306513,0.014893617021276562,1.0609756097560972
1d,defensive_7p5_be10_tp10_20,53,17,5300.0,3997.325648317832,0.7542123864750626,0.7547169811320755,0.7647058823529411,103.45065562456858,0.6032772879542858,4.7355958958168465,146.8834688346881,333.4358607534573,-69.76744186046513,6.228882440188478,0.5849056603773585,0.20754716981132076,0.5849056603773585,0.20754716981132076,0.13314840499306513,0.014893617021276562,1.0609756097560972
1d,runner_only_10_no_be,53,17,5300.0,4693.050907485817,0.8854813032992108,0.7735849056603774,0.7647058823529411,93.75000000000023,0.8612725028374568,12.944983818770295,160.33254156769596,713.304721030043,-90.90909090909105,6.723331615025203,0.0,0.0,0.0,0.1320754716981132,0.13314840499306513,0.016272189349112454,1.0609756097560972
