token_entity_id,token_symbol,final_outcome,primary_scenario,secondary_flags,anchor_event_id,anchor_event_type,return_1h,return_24h,return_7d,return_30d,return_90d,alt_adj_return_24h,alt_adj_return_30d,alt_adj_return_90d,recovery_90_sustained,recovery_100_sustained,never_recovered,pump20_flag,pump_and_dump_flag,fallback_used,manual_review_required
AEVO,AEVO,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,5166737bad9bfd8b,SPOT_PAIR_REMOVED,-0.002127659574468,-0.0553191489361701,-0.3191489361702126,-0.3042553191489361,-0.2672340425531915,-0.0143919312367429,-0.1881301758629961,-0.2544633325967863,,,,no,no,no,no
AGLD,AGLD,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,647ad916fd08af10,SPOT_PAIR_REMOVED,0.0060753341433779,0.0157958687727826,0.0243013365735116,0.1057108140947753,0.5455650060753343,-0.0592835017414754,-0.1803851185256546,0.149009187987284,,,,no,no,no,no
AI,AI,futures_only_delisting,FUTURES_ONLY_DELISTING,,7e6a6cb0c5c61571,FUTURES_CONTRACT_DELISTING_ANNOUNCED,-0.0216244725738397,0.0232067510548523,-0.0949367088607594,-0.0949367088607594,,0.0256401498098588,-0.1068502557832532,,yes,no,no,no,no,no,no
AIA,AIA,futures_only_delisting,FUTURES_ONLY_DELISTING,,214469775942af84,FUTURES_CONTRACT_DELISTING_ANNOUNCED,,,,,,,,,,,unknown,no,no,no,no
AIGENSYN,AIGENSYN,seed_tag_only,SEED_TAG_ONLY,,985f155bf6212672,SEED_TAG_ADDED,,,,,,,,,no,no,no,no,no,no,no
AIXBT,AIXBT,seed_tag_only,SEED_TAG_ONLY,,1ae1cb6585b456f5,SEED_TAG_ADDED,,,,,,,,,yes,yes,no,no,no,no,no
AKRO,AKRO,delisted_without_known_tag,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,FALLBACK_PROVIDER_UNAVAILABLE,2ebc47e2d093dcb6,SPOT_TOKEN_DELISTING_ANNOUNCED,-0.006908462867012,-0.1799654576856649,-0.661139896373057,,,-0.1174512200335604,,,no,no,yes,no,no,no,no
ALCX,ALCX,still_tagged,TEMPORARY_PANIC_THEN_RECOVERY,,4a1694681090a940,MONITORING_TAG_ADDED,-0.0541082164328657,-0.1402805611222445,,,,-0.0905670286268705,,,yes,no,no,no,no,no,no
ALGO,ALGO,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,922120190eaec312,SPOT_PAIR_REMOVED,0.007569386038688,0.0950378469301935,0.3402018502943649,-0.0353238015138772,-0.2178301093355761,0.0829799807740517,-0.0789985412565812,-0.174122579187698,,,,no,no,no,no
ALICE,ALICE,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,3db6f65d1efbc52b,SPOT_PAIR_REMOVED,0.0,0.0091575091575091,-0.0347985347985347,-0.3003663003663004,-0.2992673992673993,-0.0190252506246559,-0.2309599433696604,-0.3162652134186903,,,,no,no,no,no
ALLO,ALLO,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,919d74acc6af7242,SPOT_PAIR_REMOVED,0.0,-0.0011820330969265,-0.0685579196217494,0.4456264775413714,0.4172576832151302,0.0015529738654569,0.6923226212305866,0.6473905284329896,,,,no,no,no,no
ALPACA,ALPACA,delisted_after_tag,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,FALLBACK_PROVIDER_UNAVAILABLE;TAG_TO_DELISTING,064b0dde744232dc,MONITORING_TAG_ADDED,-0.0364321608040201,-0.0841708542713567,-0.0590452261306534,-0.4183417085427136,,-0.1403237391401943,-0.3218626218437069,,yes,yes,no,yes,yes,no,no
ALPHA,ALPHA,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PROVIDER_UNAVAILABLE,cdee2c69a544c7e6,MONITORING_TAG_ADDED,-0.0738255033557047,-0.0637583892617449,-0.0201342281879194,-0.1912751677852349,,-0.1003837752582829,-0.1836634894804998,,yes,no,no,no,no,no,no
ALPINE,ALPINE,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,4ca8233d5ce56c02,SPOT_PAIR_REMOVED,-0.0012798634812285,-0.0059726962457337,0.0686860068259385,0.1113481228668942,-0.1953924914675767,-0.0947721812016248,-0.2144723112852054,-0.3086087306994036,,,,no,no,no,no
ALT,ALT,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,6b39412df6fdbdec,SPOT_PAIR_REMOVED,-0.002510460251046,-0.006694560669456,-0.0251046025104602,-0.3138075313807531,-0.4200836820083682,0.0024623011445588,-0.0553948110861252,-0.1553735338613341,,,,no,no,no,no
AMB,AMB,delisted_without_known_tag,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,FALLBACK_PROVIDER_UNAVAILABLE,78605f349f17de8a,SPOT_TOKEN_DELISTING_ANNOUNCED,-0.0726643598615917,-0.2698961937716264,-0.889273356401384,,,-0.2338012747575761,,,no,no,yes,no,no,no,no
AMP,AMP,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,6a14293b0e184c78,SPOT_PAIR_REMOVED,0.0027624309392264,-0.0200276243093924,0.1049723756906078,0.5220994475138119,1.304558011049724,-0.0086162701103256,-0.0641340009597998,0.2196774753489274,,,,no,no,no,no
ANIME,ANIME,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,f79a87078c8f4c4f,SPOT_PAIR_REMOVED,0.0093304061470911,0.0323819978046102,0.2173435784851809,0.566410537870472,-0.114709110867179,-0.0002932391509775,0.5736931726627126,-0.3037494781273999,,,,no,no,no,no
ANKR,ANKR,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,b51a995746a14f73,SPOT_PAIR_REMOVED,0.0,-0.0503035559410234,-0.1283607979184735,-0.2298352124891587,-0.3564614050303556,-0.0168615027787874,-0.0507286085786091,-0.0718314457761345,,,,no,no,no,no
ANT,ANT,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PROVIDER_UNAVAILABLE,e0c4360ac0bda986,MONITORING_TAG_ADDED,-0.0026609898882383,0.0149015433741352,0.1750931346460884,0.0345928685470995,,0.0104692499873288,0.0363759953579581,,yes,yes,no,yes,no,no,no
APE,APE,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,ebe56fdb3ecddc19,SPOT_PAIR_REMOVED,0.0149041873669268,0.0610361958836054,0.0255500354861604,0.1866572036905607,0.0837473385379701,-0.0140431746306526,-0.0994387289298692,-0.3128084795500802,,,,no,no,no,no
API3,API3,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,6181991dcb4a55eb,SPOT_PAIR_REMOVED,-0.0162995594713656,-0.0387665198237885,-0.1213656387665199,-0.2803964757709252,-0.3541850220264316,-0.0199625390123307,0.0380197739521209,-0.0269522910932773,,,,no,no,no,no
APT,APT,futures_only_delisting,FUTURES_ONLY_DELISTING,,85a23d2b7c759ced,FUTURES_CONTRACT_DELISTING_ANNOUNCED,-0.0056140350877192,-0.008,-0.0430877192982456,-0.0430877192982456,-0.0430877192982456,0.0035733885805295,0.1529267794558441,0.0095676888514144,yes,no,no,no,no,no,no
AR,AR,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,838a4ec07d91e5f0,SPOT_PAIR_REMOVED,0.008533747090768,-0.0217222653219549,0.200413757434704,0.8533747090768036,1.5857253685027155,-0.0103109111228882,0.2671412606031919,0.500844832801919,,,,no,no,no,no
ARB,ARB,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,e1cf8d5895458fbf,SPOT_PAIR_REMOVED,-0.0135324311712551,-0.0242650489967334,-0.1712552496500232,-0.4377041530564629,-0.4638357442837144,-0.0054610681852756,-0.1192879033334167,-0.1366030133505601,,,,no,no,no,no
ARDR,ARDR,still_tagged,TEMPORARY_PANIC_THEN_RECOVERY,,afca87c30daaf7ba,MONITORING_TAG_ADDED,-0.0242811501597444,-0.0828541001064961,0.3661341853035145,1.5243876464323751,0.7054313099041534,-0.0944652801952081,1.4383744288253646,0.6804669055746325,yes,yes,no,no,no,no,no
ARKM,ARKM,unknown,UNKNOWN_MANUAL_REVIEW,,b2adc292a6e4dba6,SPOT_PAIR_REMOVED,,,,,,,,,,,,no,no,no,yes
ARPA,ARPA,spot_pair_removed_only,PAIR_REMOVAL_ONLY,,3b26fa020d4bb06d,SPOT_PAIR_REMOVED,-0.0213086526043909,0.0307791648730091,0.0884631941455014,0.0970727507533362,0.2604390873869995,0.0114930979872243,-0.2090406378372812,-0.3133146543499037,,,,no,no,no,no
AST,AST,delisted_after_tag,TAG_TO_DELISTING_TO_COLLAPSE,FALLBACK_PRICE_USED,c9bba63a0a1d11c1,MONITORING_TAG_ADDED,-0.0376984126984126,0.0476190476190476,-0.121031746031746,-0.9682738095238096,-0.9561507936507936,-0.0085338372497899,-0.8717947228248029,-0.9526947265269776,no,no,no,no,no,yes,no
ASTER,ASTER,seed_tag_only,SEED_TAG_ONLY,,bf371e4022e600c3,SEED_TAG_ADDED,,,,,,,,,no,no,no,no,no,no,no
