token_symbol,signal_type,original_1h_signal_time,refined_15m_entry_time,refined_15m_entry_price,refined_15m_stop_price,refined_stop_distance_pct,refined_mae_before_mfe,refined_mfe_24h,refined_mfe_3d,refined_mfe_7d,refined_rr_24h,refined_rr_3d,refined_rr_7d,wick_risk_flag,single_candle_artifact_flag,missed_15m_signal_flag,false_breakout_warning_flag,liquidity_at_15m_entry,volume_zscore_at_15m_entry,time_to_20_target_hours,time_to_50_target_hours,time_to_100_target_hours,stop_failed,refinement_notes
EPIC,HIGHER_LOW_BREAKOUT,2026-06-01T05:00:00+00:00,2026-06-01T05:00:00+00:00,0.262,0.18816,-0.2818320610687023,-0.01908396946564883,0.46183206106870234,1.2442748091603053,2.145038167938931,1.6386782231852657,4.414951245937162,7.611050920910076,no,no,no,no,23332.8131,1.2199423748459535,5.5,24.75,53.25,no,low_15m_entry_liquidity
COOKIE,SLOW_BLEED_SQUEEZE_BREAKOUT,2026-05-29T11:00:00+00:00,2026-05-29T11:00:00+00:00,0.0117,0.011172,-0.045128205128205146,0.0,0.17948717948717952,0.17948717948717952,0.17948717948717952,3.977272727272726,3.977272727272726,3.977272727272726,no,no,no,yes,7929.9909,1.4914010102862285,nan,nan,nan,yes,low_15m_entry_liquidity
HEI,NO_15M_SIGNAL,2026-05-28T04:00:00+00:00,,,,,,,,,,,,,,no,,,,,,,,strong_rebound_exists_but_15m_structure_did_not_form_clean_higher_low_breakout
