event_id,token_entity_id,token_symbol,event_type,scenario,event_time,symbol_pair,market_type,is_research_eligible,data_quality_score,confidence_level,entry_reference_price,entry_reference_type,return_1h,return_4h,return_24h,return_7d,return_30d,max_adverse_excursion_24h,max_favorable_excursion_24h,max_adverse_excursion_7d,max_favorable_excursion_7d,time_to_mfe,time_to_mae,post_event_low_time,post_event_high_time,rebound_after_initial_drop,vwap_reclaim_failure,sustained_close_above_entry,sustained_close_below_entry,path_data_available_24h,path_data_available_7d
9b7bd3558b791b76,1000CHEEMS,1000CHEEMS,SEED_TAG_ADDED,SEED_TAG_ONLY,2025-02-09T07:10:31Z,1000CHEEMSUSDT,spot,no,0.75,medium,,event_price,,,,,,,,,,,,,,unknown,unknown,unknown,unknown,no,no
a8f1073b97c72c99,1000SATS,1000SATS,SEED_TAG_ADDED,SEED_TAG_ONLY,2023-12-12T06:09:30Z,1000SATSUSDT,spot,no,0.825,medium,,event_price,,,,,,,,,,,,,,unknown,unknown,unknown,unknown,no,no
44395bed70e6b38d,1000WHY,1000WHY,FUTURES_CONTRACT_DELISTING_ANNOUNCED,FUTURES_ONLY_DELISTING,2026-03-13T14:14:19Z,1000WHYUSDT,futures,yes,0.967,high,9.9e-06,event_price,-0.0404040404040403,-0.0303030303030303,-0.1616161616161616,-0.6565656565656566,-0.6565656565656566,0.21212121212121215,0.2222222222222221,0.18181818181818188,2.1935483870967745,89.76138888888889,20.761388888888888,2026-03-17T08:00:00Z,2026-03-14T11:00:00Z,no,yes,no,yes,yes,yes
8a75f9eb3a0e4920,1000X,1000X,FUTURES_CONTRACT_DELISTING_ANNOUNCED,FUTURES_ONLY_DELISTING,2025-11-10T13:45:00Z,1000XUSDT,futures,yes,1.0,high,0.03337,event_price,-0.006892418339826,-0.0326640695235239,-0.069523524123464,-0.2343422235540904,-0.2343422235540904,0.2634102487264012,0.11233333333333317,0.061132753970632336,0.39798910766652695,78.25,0.25,2025-11-13T20:00:00Z,2025-11-10T14:00:00Z,no,yes,no,yes,yes,yes
51f8479890f4f59e,1MBABYDOGE,1MBABYDOGE,SEED_TAG_ADDED,SEED_TAG_ONLY,2024-09-16T05:45:02Z,1MBABYDOGEUSDT,spot,no,0.825,medium,,event_price,,,,,,,,,,,,,,unknown,unknown,unknown,unknown,no,no
2d5454a0a438f476,42,42,FUTURES_CONTRACT_DELISTING_ANNOUNCED,FUTURES_ONLY_DELISTING,2026-01-28T10:14:09Z,42USDT,futures,yes,1.0,high,0.0252,event_price,-0.019047619047619,-0.0634920634920634,-0.1309523809523809,0.1825396825396825,0.1825396825396825,0.4702380952380951,0.2593703148425788,0.46785714285714297,0.2593703148425788,18.764166666666668,45.76416666666667,2026-01-29T05:00:00Z,2026-01-30T08:00:00Z,yes,yes,yes,no,yes,yes
1fc6e5215a5c6f00,A2Z,A2Z,MONITORING_TAG_ADDED,TAG_TO_DELISTING_TO_COLLAPSE,2026-03-13T09:00:23Z,A2ZUSDT,spot,no,0.776,medium,0.000807,event_price,-0.003717472118959,0.0123915737298636,-0.0408921933085502,-0.3804213135068153,-0.8995910780669145,0.052044609665427455,0.08906882591093113,0.07930607187112759,0.7392241379310345,161.9936111111111,88.99361111111111,2026-03-20T03:00:00Z,2026-03-17T02:00:00Z,no,no,no,yes,yes,yes
dccc644ea3175a5f,ACA,ACA,MONITORING_TAG_ADDED,TAG_TO_DELISTING_TO_COLLAPSE,2026-01-02T10:59:57Z,ACAUSDT,spot,yes,1.0,high,0.0103,event_price,-0.1747572815533979,-0.1553398058252427,-0.1067961165048544,-0.2718446601941747,-0.4563106796116505,0.0,0.25609756097560976,0.0,0.3918918918918919,143.00083333333333,0.0008333333333333334,2026-01-08T10:00:00Z,2026-01-02T11:00:00Z,no,yes,no,yes,yes,yes
b21fc9440b923c0f,ACT,ACT,SEED_TAG_ADDED,SEED_TAG_ONLY,2024-11-11T05:39:29Z,ACTUSDT,spot,no,0.912,high,,event_price,,,,,,,,,,,,,,unknown,unknown,unknown,unknown,no,no
38c04165abb74100,ACX,ACX,SEED_TAG_ADDED,SEED_TAG_ONLY,2024-12-06T08:34:18Z,ACXUSDT,spot,no,0.825,medium,,event_price,,,,,,,,,,,,,,unknown,unknown,unknown,unknown,no,no
