view,cost_bps,n_trades,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,median_mae,median_mfe,profit_factor
confirmed_or_inferred_shortable,20,52,0.4807692307692308,-0.1686666666666665,0.05985233526499372,-0.1686666666666666,0.4265714285714286,-0.1686666666666667,0.4265714285714288,0.2685554371002132,0.3882334650278022,1.6834258747869288
confirmed_or_inferred_shortable,50,52,0.4807692307692308,-0.1716666666666665,0.05685233526499372,-0.1716666666666666,0.4235714285714286,-0.1716666666666667,0.4235714285714288,0.2685554371002132,0.3882334650278022,1.637825552056024
confirmed_or_inferred_shortable,100,52,0.4807692307692308,-0.1766666666666665,0.05185233526499371,-0.1766666666666666,0.4185714285714286,-0.1766666666666667,0.4185714285714288,0.2685554371002132,0.3882334650278022,1.5652665479621959
confirmed_or_inferred_shortable,200,52,0.46153846153846156,-0.1866666666666664,0.041852335264993726,-0.1866666666666666,0.4085714285714286,-0.1866666666666667,0.4085714285714288,0.2685554371002132,0.3882334650278022,1.4315583649238113
confirmed_or_inferred_shortable,500,52,0.4423076923076923,-0.2166666666666665,0.01185233526499372,-0.2166666666666666,0.3785714285714286,-0.2166666666666667,0.3785714285714288,0.2685554371002132,0.3882334650278022,1.1043552218798063
inferred_from_futures_klines,20,50,0.46,-0.1686666666666665,0.045183571532736326,-0.1686666666666666,0.3105890313390315,-0.1686666666666667,0.4265714285714288,0.2685554371002132,0.3801505636781166,1.4960866439694376
inferred_from_futures_klines,50,50,0.46,-0.1716666666666665,0.04218357153273633,-0.1716666666666666,0.3075890313390314,-0.1716666666666667,0.4235714285714288,0.2685554371002132,0.3801505636781166,1.4550547090910066
inferred_from_futures_klines,100,50,0.46,-0.1766666666666665,0.037183571532736305,-0.1766666666666666,0.3025890313390314,-0.1766666666666667,0.4185714285714288,0.2685554371002132,0.3801505636781166,1.3897649007624355
inferred_from_futures_klines,200,50,0.44,-0.1866666666666664,0.027183571532736334,-0.1866666666666666,0.2925890313390314,-0.1866666666666667,0.4085714285714288,0.2685554371002132,0.3801505636781166,1.2695212550262647
inferred_from_futures_klines,500,50,0.42,-0.2166666666666665,-0.002816428467263676,-0.2166666666666666,0.26258903133903144,-0.2166666666666667,0.3785714285714288,0.2685554371002132,0.3801505636781166,0.9761561904631916
funding_available,20,51,0.49019607843137253,-0.1686666666666665,0.06433310000875177,-0.1686666666666666,0.4265714285714286,-0.1686666666666667,0.4265714285714288,0.2449999999999998,0.3933823529411766,1.7481730238171955
funding_available,50,51,0.49019607843137253,-0.1716666666666665,0.061333100008751765,-0.1716666666666666,0.4235714285714286,-0.1716666666666667,0.4235714285714288,0.2449999999999998,0.3933823529411766,1.7008188425197175
funding_available,100,51,0.49019607843137253,-0.1766666666666665,0.05633310000875177,-0.1766666666666666,0.4185714285714286,-0.1766666666666667,0.4185714285714288,0.2449999999999998,0.3933823529411766,1.6254691074992036
funding_available,200,51,0.47058823529411764,-0.1866666666666664,0.04633310000875178,-0.1866666666666666,0.4085714285714286,-0.1866666666666667,0.4085714285714288,0.2449999999999998,0.3933823529411766,1.4865850081815994
funding_available,500,51,0.45098039215686275,-0.2166666666666665,0.01633310000875176,-0.2166666666666666,0.3785714285714286,-0.2166666666666667,0.3785714285714288,0.2449999999999998,0.3933823529411766,1.146412376015132
oi_available,20,7,0.8571428571428571,0.2202222222222223,0.1632423604258467,0.1419821646243664,0.23631908831908838,-0.1686666666666666,0.3345384615384617,0.0149253731343284,0.2222222222222223,7.774880571033167
oi_available,50,7,0.8571428571428571,0.2172222222222223,0.16024236042584672,0.1389821646243664,0.23331908831908837,-0.1716666666666666,0.3315384615384616,0.0149253731343284,0.2222222222222223,7.534154502801518
oi_available,100,7,0.8571428571428571,0.2122222222222222,0.15524236042584663,0.1339821646243664,0.22831908831908831,-0.1766666666666666,0.3265384615384616,0.0149253731343284,0.2222222222222223,7.151112394231662
oi_available,200,7,0.8571428571428571,0.2022222222222223,0.14524236042584673,0.1239821646243664,0.21831908831908842,-0.1866666666666666,0.3165384615384616,0.0149253731343284,0.2222222222222223,6.446588515969252
oi_available,500,7,0.8571428571428571,0.1722222222222222,0.11524236042584667,0.0939821646243664,0.18831908831908833,-0.2166666666666666,0.2865384615384617,0.0149253731343284,0.2222222222222223,4.723214721450433
no_binance_perp_evidence,20,37,0.6756756756756757,0.1125631067961165,0.12918645834665687,-0.1686666666666666,0.4265714285714286,-0.1686666666666667,0.4265714285714288,0.180940892641737,0.3816666666666668,3.3616101575228785
no_binance_perp_evidence,50,37,0.6756756756756757,0.1095631067961165,0.12618645834665687,-0.1716666666666666,0.4235714285714286,-0.1716666666666667,0.4235714285714288,0.180940892641737,0.3816666666666668,3.2664558052554877
no_binance_perp_evidence,100,37,0.6756756756756757,0.1045631067961165,0.12118645834665685,-0.1766666666666666,0.4185714285714286,-0.1766666666666667,0.4185714285714288,0.180940892641737,0.3816666666666668,3.1150466786916535
no_binance_perp_evidence,200,37,0.6486486486486487,0.0945631067961165,0.1111864583466569,-0.1866666666666666,0.4085714285714286,-0.1866666666666667,0.4085714285714288,0.180940892641737,0.3816666666666668,2.8308507304555897
no_binance_perp_evidence,500,37,0.6216216216216216,0.0645631067961165,0.08118645834665687,-0.2166666666666666,0.3785714285714286,-0.2166666666666667,0.3785714285714288,0.180940892641737,0.3816666666666668,2.1391163542990324
api_unavailable,20,0,,,,,,,,,,
api_unavailable,50,0,,,,,,,,,,
api_unavailable,100,0,,,,,,,,,,
api_unavailable,200,0,,,,,,,,,,
api_unavailable,500,0,,,,,,,,,,
manual_review_needed,20,2,1.0,0.4265714285714286,0.4265714285714286,0.4265714285714286,0.4265714285714286,0.4265714285714286,0.4265714285714286,0.2397562094744045,0.5669012186547927,
manual_review_needed,50,2,1.0,0.4235714285714286,0.4235714285714286,0.4235714285714286,0.4235714285714286,0.4235714285714286,0.4235714285714286,0.2397562094744045,0.5669012186547927,
manual_review_needed,100,2,1.0,0.4185714285714286,0.4185714285714286,0.4185714285714286,0.4185714285714286,0.4185714285714286,0.4185714285714286,0.2397562094744045,0.5669012186547927,
manual_review_needed,200,2,1.0,0.4085714285714286,0.4085714285714286,0.4085714285714286,0.4085714285714286,0.4085714285714286,0.4085714285714286,0.2397562094744045,0.5669012186547927,
manual_review_needed,500,2,1.0,0.3785714285714286,0.3785714285714286,0.3785714285714286,0.3785714285714286,0.3785714285714286,0.3785714285714286,0.2397562094744045,0.5669012186547927,
medium_feasibility_plus_confirmed_or_inferred_shortable,20,30,0.5666666666666667,0.11785294117647065,0.1055059363459094,-0.1686666666666666,0.4265714285714286,-0.1686666666666667,0.4265714285714288,0.12834790963563594,0.36966728855721387,2.443529077399187
medium_feasibility_plus_confirmed_or_inferred_shortable,50,30,0.5666666666666667,0.11485294117647066,0.10250593634590939,-0.1716666666666666,0.4235714285714286,-0.1716666666666667,0.4235714285714288,0.12834790963563594,0.36966728855721387,2.377973752222831
medium_feasibility_plus_confirmed_or_inferred_shortable,100,30,0.5666666666666667,0.10985294117647071,0.0975059363459094,-0.1766666666666666,0.4185714285714286,-0.1766666666666667,0.4185714285714288,0.12834790963563594,0.36966728855721387,2.273662448640327
medium_feasibility_plus_confirmed_or_inferred_shortable,200,30,0.5666666666666667,0.09985294117647064,0.08750593634590939,-0.1866666666666666,0.4085714285714286,-0.1866666666666667,0.4085714285714288,0.12834790963563594,0.36966728855721387,2.081804158122507
medium_feasibility_plus_confirmed_or_inferred_shortable,500,30,0.5666666666666667,0.06985294117647065,0.05750593634590938,-0.2166666666666666,0.3785714285714286,-0.2166666666666667,0.3785714285714288,0.12834790963563594,0.36966728855721387,1.6124892628558398
