event_id,token_symbol,symbol_pair,futures_symbol,event_time,entry_time,entry_price,primary_scenario,event_half,stop_loss,take_profit,holding_days,trailing_variant,roundtrip_cost_bps,status,exit_time,exit_price,exit_reason,gross_return,net_return,win,mae,mfe,time_to_stop_hours,time_to_tp_hours,time_to_trailing_hours,holding_time_hours,stop_hit,tp_hit,trailing_hit,timeout_exit
0530e835539c12c2,ZEC,ZECUSDT,ZECUSDT,2024-01-04T07:00:09Z,2024-01-04T09:59:59Z,24.47,TAG_REMOVED_AND_RECOVERED,2024H1,0.15,0.2,30,trail20_after_30,100,ok,2024-01-09T10:59:59Z,19.576,take_profit,0.25,0.24,yes,0.04209235798937483,0.32270270270270274,,121.00027750000001,,121.00027750000001,no,yes,no,no
0530e835539c12c2,ZEC,ZECUSDT,ZECUSDT,2024-01-04T07:00:09Z,2024-01-04T09:59:59Z,24.47,TAG_REMOVED_AND_RECOVERED,2024H1,0.15,0.3,1,none,100,ok,2024-01-05T09:59:59Z,23.67,timeout,0.03379805661174462,0.023798056611744618,yes,0.024111156518185517,0.11126248864668487,,,,24.0002775,no,no,no,yes
0530e835539c12c2,ZEC,ZECUSDT,ZECUSDT,2024-01-04T07:00:09Z,2024-01-04T09:59:59Z,24.47,TAG_REMOVED_AND_RECOVERED,2024H1,0.15,0.3,1,breakeven_after_10,100,ok,2024-01-05T09:59:59Z,23.67,timeout,0.03379805661174462,0.023798056611744618,yes,0.024111156518185517,0.11126248864668487,,,,24.0002775,no,no,no,yes
0530e835539c12c2,ZEC,ZECUSDT,ZECUSDT,2024-01-04T07:00:09Z,2024-01-04T09:59:59Z,24.47,TAG_REMOVED_AND_RECOVERED,2024H1,0.15,0.3,1,trail15_after_20,100,ok,2024-01-05T09:59:59Z,23.67,timeout,0.03379805661174462,0.023798056611744618,yes,0.024111156518185517,0.11126248864668487,,,,24.0002775,no,no,no,yes
0530e835539c12c2,ZEC,ZECUSDT,ZECUSDT,2024-01-04T07:00:09Z,2024-01-04T09:59:59Z,24.47,TAG_REMOVED_AND_RECOVERED,2024H1,0.15,0.3,1,trail20_after_30,100,ok,2024-01-05T09:59:59Z,23.67,timeout,0.03379805661174462,0.023798056611744618,yes,0.024111156518185517,0.11126248864668487,,,,24.0002775,no,no,no,yes
0530e835539c12c2,ZEC,ZECUSDT,ZECUSDT,2024-01-04T07:00:09Z,2024-01-04T09:59:59Z,24.47,TAG_REMOVED_AND_RECOVERED,2024H1,0.15,0.3,7,none,100,ok,2024-01-11T09:59:59Z,24.2,timeout,0.011157024793388315,0.0011570247933883147,yes,0.024111156518185517,0.32270270270270274,,,,168.00027749999998,no,no,no,yes
0530e835539c12c2,ZEC,ZECUSDT,ZECUSDT,2024-01-04T07:00:09Z,2024-01-04T09:59:59Z,24.47,TAG_REMOVED_AND_RECOVERED,2024H1,0.15,0.3,7,breakeven_after_10,100,ok,2024-01-11T09:59:59Z,24.2,timeout,0.011157024793388315,0.0011570247933883147,yes,0.024111156518185517,0.32270270270270274,,,,168.00027749999998,no,no,no,yes
0530e835539c12c2,ZEC,ZECUSDT,ZECUSDT,2024-01-04T07:00:09Z,2024-01-04T09:59:59Z,24.47,TAG_REMOVED_AND_RECOVERED,2024H1,0.15,0.3,7,trail15_after_20,100,ok,2024-01-10T21:59:59Z,21.275,trailing_stop,0.15017626321974142,0.14017626321974141,yes,0.024111156518185517,0.32270270270270274,,,156.00027749999998,156.00027749999998,no,no,yes,no
0530e835539c12c2,ZEC,ZECUSDT,ZECUSDT,2024-01-04T07:00:09Z,2024-01-04T09:59:59Z,24.47,TAG_REMOVED_AND_RECOVERED,2024H1,0.15,0.3,7,trail20_after_30,100,ok,2024-01-10T22:59:59Z,22.2,trailing_stop,0.10225225225225221,0.09225225225225221,yes,0.024111156518185517,0.32270270270270274,,,157.00027749999998,157.00027749999998,no,no,yes,no
0530e835539c12c2,ZEC,ZECUSDT,ZECUSDT,2024-01-04T07:00:09Z,2024-01-04T09:59:59Z,24.47,TAG_REMOVED_AND_RECOVERED,2024H1,0.15,0.3,30,none,100,ok,2024-02-03T09:59:59Z,22.06,timeout,0.10924750679963746,0.09924750679963747,yes,0.04209235798937483,0.32270270270270274,,,,720.0002774999999,no,no,no,yes
