hold_window,stop_model,be_model,token_trades,clusters,total_margin_usdt,total_pnl_usdt,roi_on_margin,token_win_rate,cluster_win_rate,median_token_pnl,median_cluster_roi,p25_token_pnl,p75_token_pnl,best_token_pnl,worst_token_pnl,profit_factor,stopped_out_rate,breakeven_exit_rate,median_mfe,median_mae,max_mae
12h,no_stop,be_after_10,53,17,5300.0,2579.2242091197386,0.4866460771924035,0.6981132075471698,0.7647058823529411,25.579536370903266,0.3356674477847555,0.0,72.57203842049087,847.8109798471161,-126.1008807045636,10.280389707114166,0.0,0.1509433962264151,0.0938967136150235,0.012525252525252384,0.21346770499312884
12h,no_stop,be_after_15,53,17,5300.0,3062.2707856054017,0.5777869406802645,0.7735849056603774,0.8235294117647058,44.00000000000004,0.36054661193566795,8.26446280991755,83.41463414634154,847.8109798471161,-126.1008807045636,7.891197446285595,0.0,0.03773584905660377,0.0938967136150235,0.012746234067207318,0.23715415019762864
12h,no_stop,be_after_20,53,17,5300.0,3467.300364015733,0.6542076158520251,0.8113207547169812,0.8235294117647058,48.19277108433728,0.36054661193566795,10.410094637224088,84.15841584158423,847.8109798471161,-126.1008807045636,8.802657925068697,0.0,0.0,0.0938967136150235,0.012746234067207318,0.23715415019762864
12h,no_stop,be_after_5,53,17,5300.0,2192.9637670509114,0.413766748500172,0.5283018867924528,0.7647058823529411,8.26446280991755,0.25579536370903266,0.0,57.14285714285716,847.8109798471161,-48.57363145720905,24.220762005710114,0.0,0.39622641509433965,0.08074534161490687,0.010714285714285676,0.19247626004382767
12h,no_stop,no_be,53,17,5300.0,3467.300364015733,0.6542076158520251,0.8113207547169812,0.8235294117647058,48.19277108433728,0.36054661193566795,10.410094637224088,84.15841584158423,847.8109798471161,-126.1008807045636,8.802657925068697,0.0,0.0,0.0938967136150235,0.012746234067207318,0.23715415019762864
12h,stop_10,be_after_10,53,17,5300.0,2375.4549599541724,0.44819904904795704,0.6792452830188679,0.7058823529411765,19.543973941368087,0.3138322197099941,0.0,72.57203842049087,847.8109798471161,-90.90909090909105,6.59525170929823,0.05660377358490566,0.1320754716981132,0.09162303664921478,0.012525252525252384,0.19247626004382767
12h,stop_10,be_after_15,53,17,5300.0,2583.126441558399,0.4873823474638489,0.7358490566037735,0.7058823529411765,31.237643337287402,0.3138322197099941,0.0,81.90476190476193,847.8109798471161,-90.90909090909105,5.260008173131531,0.09433962264150944,0.03773584905660377,0.09162303664921478,0.012746234067207318,0.19247626004382767
12h,stop_10,be_after_20,53,17,5300.0,2988.15601996873,0.5638030226356094,0.7735849056603774,0.7058823529411765,44.00000000000004,0.3138322197099941,8.26446280991755,83.41463414634154,847.8109798471161,-90.90909090909105,5.9279697899647665,0.09433962264150944,0.0,0.09162303664921478,0.012746234067207318,0.19247626004382767
12h,stop_10,be_after_5,53,17,5300.0,1954.0027280898726,0.36867976001695707,0.5094339622641509,0.7058823529411765,1.1303692539563759,0.2550795224902935,0.0,48.19277108433728,847.8109798471161,-90.90909090909105,8.073109065075615,0.03773584905660377,0.37735849056603776,0.08015833745670453,0.010714285714285676,0.19247626004382767
12h,stop_10,no_be,53,17,5300.0,2988.15601996873,0.5638030226356094,0.7735849056603774,0.7058823529411765,44.00000000000004,0.3138322197099941,8.26446280991755,83.41463414634154,847.8109798471161,-90.90909090909105,5.9279697899647665,0.09433962264150944,0.0,0.09162303664921478,0.012746234067207318,0.19247626004382767
