cluster_id,cluster_date_utc,hold_window,stop_model,be_model,tokens_count,total_margin_usdt,total_notional_usdt,total_pnl_usdt,roi_on_margin,winning_tokens,losing_tokens,stopped_tokens,breakeven_tokens,median_token_pnl,worst_token_pnl,best_token_pnl,tokens
2024-01-04,2024-01-04,12h,no_stop,be_after_10,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,no_stop,be_after_15,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,no_stop,be_after_20,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,no_stop,be_after_5,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,no_stop,no_be,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_10,be_after_10,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_10,be_after_15,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_10,be_after_20,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_10,be_after_5,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_10,no_be,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_15,be_after_10,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_15,be_after_15,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_15,be_after_20,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_15,be_after_5,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_15,no_be,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_20,be_after_10,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_20,be_after_15,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_20,be_after_20,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_20,be_after_5,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_20,no_be,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_30,be_after_10,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_30,be_after_15,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_30,be_after_20,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_30,be_after_5,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_30,no_be,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_50,be_after_10,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_50,be_after_15,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_50,be_after_20,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_50,be_after_5,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,12h,stop_50,no_be,3,300.0,3000.0,29.498766980480596,0.09832922326826865,2,1,0,0,13.698630136986356,-21.00189361335858,36.80203045685282,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,14d,no_stop,be_after_10,3,300.0,3000.0,-115.41452792036088,-0.3847150930678696,0,1,0,2,0.0,-115.41452792036088,0.0,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,14d,no_stop,be_after_15,3,300.0,3000.0,-115.41452792036088,-0.3847150930678696,0,1,0,2,0.0,-115.41452792036088,0.0,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,14d,no_stop,be_after_20,3,300.0,3000.0,-165.41452792036083,-0.5513817597345361,0,2,0,1,-49.999999999999936,-115.41452792036088,0.0,"ANT,ZEC,ZEN"
2024-01-04,2024-01-04,14d,no_stop,be_after_5,3,300.0,3000.0,-115.41452792036088,-0.3847150930678696,0,1,0,2,0.0,-115.41452792036088,0.0,"ANT,ZEC,ZEN"
