token_symbol,fallback_provider_unavailable,true_data_gap,expected_post_delisting_missing,low_liquidity_fallback,suspicious_fallback_spike,fallback_exchange,fallback_pair,fallback_rows_count,fallback_quote_volume,reason,notes
TNSR,no,yes,no,no,no,,,0,nan,true_data_gap,
TOKEN,no,no,no,no,no,,,0,nan,,
TOMO,no,yes,no,no,no,,,0,nan,true_data_gap,
TON,no,yes,no,no,no,,,0,nan,true_data_gap,
TORN,no,no,no,no,yes,ccxt_mexc,TORN/USDT,130,7862737.353285,,manual_review_recommended
TOWNS,no,no,no,no,no,,,0,nan,,
TRB,no,no,no,no,no,,,0,nan,,
TREE,no,no,no,no,no,,,0,nan,,
TROY,yes,yes,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
TRU,yes,yes,yes,no,no,ccxt_gateio,TRU/USDT,405,98709421.00377786,benchmark_gap;expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
TRUMP,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
TRX,no,yes,no,no,no,,,0,nan,true_data_gap,
TST,no,yes,no,no,no,,,0,nan,true_data_gap,
TURBO,no,yes,no,no,no,,,0,nan,true_data_gap,
TURTLE,no,no,no,no,no,,,0,nan,,
TUSD,no,no,no,no,no,,,0,nan,,
TWT,no,no,no,no,no,,,0,nan,,
UFT,yes,yes,yes,no,no,,,0,nan,expected_post_delisting_missing;fallback_provider_unavailable;true_data_gap,
UMA,no,no,no,no,no,,,0,nan,,
UNFI,no,no,no,no,no,ccxt_gateio,UNFI/USDT,494,463645597.12056434,,
UNI,no,yes,no,no,no,,,0,nan,benchmark_gap;true_data_gap,
USTC,no,no,no,no,no,,,0,nan,,
USUAL,no,yes,no,no,no,,,0,nan,true_data_gap,
UTK,no,yes,no,no,no,,,0,nan,true_data_gap,
UXLINK,no,no,no,no,no,,,0,nan,,
