token_symbol,final_outcome,spot_pair,spot_missing,futures_pair,futures_missing,exact_futures_contract,futures_class,fallback_required,fallback_provider,fallback_market
TNSR,seed_tag_only,TNSRUSDT,no,TNSRUSDT,no,,,no,,
TOKEN,futures_only_delisting,,yes,TOKENUSDT,no,,,no,,
TOMO,spot_pair_removed_only,TOMOUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
TON,seed_tag_only,TONUSDT,no,TONUSDT,no,,,no,,
TORN,delisted_without_known_tag,TORNUSDT,no,,yes,,no_usdm_pair_in_exchange_info,yes,ccxt_mexc,TORN/USDT
TOWNS,spot_pair_removed_only,TOWNSUSDT,no,TOWNSUSDT,no,,,no,,
TRB,spot_pair_removed_only,TRBUSDT,no,TRBUSDT,no,,,no,,
TREE,spot_pair_removed_only,TREEUSDT,no,TREEUSDT,no,,,no,,
TROY,delisted_after_tag,TROYUSDT,no,TROYUSDT,no,,,no,,
TRU,delisted_after_tag,TRUUSDT,no,TRUUSDT,no,,,yes,ccxt_gateio,TRU/USDT
TRUMP,seed_tag_only,TRUMPUSDT,no,TRUMPUSDT,no,,,no,,
TRX,futures_only_delisting,TRXUSDT,no,TRXUSDT,no,TRXBUSD,normal_contract_sunset_or_migration_review,no,,
TST,seed_tag_only,TSTUSDT,no,TSTUSDT,no,,,no,,
TURBO,seed_tag_only,TURBOUSDT,no,TURBOUSDT,no,,,no,,
TURTLE,spot_pair_removed_only,TURTLEUSDT,no,TURTLEUSDT,no,,,no,,
TUSD,spot_pair_removed_only,TUSDUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
TWT,spot_pair_removed_only,TWTUSDT,no,TWTUSDT,no,,,no,,
UFT,delisted_after_tag,UFTUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
UMA,spot_pair_removed_only,UMAUSDT,no,UMAUSDT,no,,,no,,
UNFI,delisted_after_tag,UNFIUSDT,no,UNFIUSDT,no,,,yes,ccxt_gateio,UNFI/USDT
UNI,spot_pair_removed_only,UNIUSDT,no,UNIUSDT,no,,,no,,
USTC,spot_pair_removed_only,USTCUSDT,no,USTCUSDT,no,,,no,,
USUAL,seed_tag_only,USUALUSDT,no,USUALUSDT,no,,,no,,
UTK,spot_pair_removed_only,UTKUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
UXLINK,futures_only_delisting,,yes,UXLINKUSDT,no,UXLINKUSDT,risk_relevant_or_contract_specific_review,no,,
