token_symbol,anchor_event_id,anchor_event_type,baseline_price,recovery_90_touch,recovery_100_touch,recovery_90_sustained,recovery_100_sustained,never_recovered,missing_price_flag,fallback_used
TNSR,c8ed675ed7deb479,SEED_TAG_ADDED,1.6558,yes,yes,no,no,no,no,no
TOKEN,3803f5715e2aa04e,FUTURES_CONTRACT_DELISTING_ANNOUNCED,0.004301482855858175,yes,yes,yes,no,no,no,no
TON,9652501f42d74aaf,SEED_TAG_ADDED,6.218,yes,yes,yes,yes,no,no,no
TORN,890d16cda52aee13,SPOT_TOKEN_DELISTING_ANNOUNCED,nan,unknown,unknown,unknown,unknown,unknown,yes,yes
TROY,db0cdaac498440e7,MONITORING_TAG_ADDED,0.004765558132924448,yes,yes,yes,no,no,no,no
TRU,4623eb2e7750ecc2,MONITORING_TAG_ADDED,0.008318386421137192,yes,no,no,no,no,no,yes
TRUMP,d4d2f2d9c9ba1e4e,SEED_TAG_ADDED,46.5,yes,yes,no,no,no,no,no
TRX,32ffd73104a9d547,FUTURES_CONTRACT_DELISTING_ANNOUNCED,0.07979991180393543,yes,no,yes,no,no,no,no
TST,d90047f85e2a671e,SEED_TAG_ADDED,0.2245,yes,yes,no,no,no,no,no
TURBO,b6c2089d5b124417,SEED_TAG_ADDED,0.004622,yes,yes,yes,yes,no,no,no
UFT,93a4361a2732433c,MONITORING_TAG_ADDED,0.13879179235378966,yes,yes,no,no,no,no,no
UNFI,bcbb33fb0a078dbd,MONITORING_TAG_ADDED,7.002862662429184,yes,no,no,no,no,no,yes
USUAL,996d4ac7e05a1138,SEED_TAG_ADDED,0.628332076552292,yes,yes,yes,yes,no,no,no
UXLINK,13c2c6fa9e5b8d76,FUTURES_CONTRACT_DELISTING_ANNOUNCED,0.08938245581711589,yes,yes,no,no,no,no,no
